	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	N8lgrc4EMZs	쑈통령 지랄병하고자빠졌네	['쑈', '통령', '지랄병', '하고', '자빠졌네']	0.3863841374128965	0.23
1	1	N8lgrc4EMZs	이제는 문재앙이다.	['이제', '는', '문', '재앙', '이다']	-1.357334527339578	-0.8
2	2	N8lgrc4EMZs	독재에 저항했던, 부당함과 억압과 탄압에 맞서 싸웠던, 문재인이 우리의 대통령인것이 자랑스럽다.	['독재', '에', '저항', '했던', '부당함과', '억압', '과', '탄압', '에', '맞서', '싸웠던', '문재인', '이', '우리', '의', '대통령', '인', '것', '이', '자랑스럽다']	4.032416458728116	1.75
3	3	N8lgrc4EMZs	나는 대통령님 진짜 좋음..	['나', '는', '대통령', '님', '진짜', '좋음']	3.1577007488945217	1.78
4	4	N8lgrc4EMZs	문재인대통령님 ~  항상  지지합니다.  응원 합니다.	['문재인', '대통령', '님', '항상', '지지', '합니다', '응원', '합니다']	1.8170064549048384	0.95
5	5	N8lgrc4EMZs	진짜 이때 박근혜는 모했냐 처죽일년	['진짜', '이', '때', '박근혜', '는', '모', '했냐', '처', '죽일', '년']	0.4551067105564896	0.23
6	6	N8lgrc4EMZs	정치색을 떠나서 강동원 정떨	['정치', '색', '을', '떠나서', '강동원', '정', '떨']	2.3688735135611623	1.28
7	7	N8lgrc4EMZs	자신의 할아버지가 친일행각을 모르고 지내던 강동원 자랑스러워했다던 강동원이지만 난중에 반성하는 강동원을 보며... 연좌제..솔직히 친일파 각인이 새겨지길 않기를....	['자신', '의', '할아버지', '가', '친일', '행각', '을', '모르고', '지내던', '강동원', '자랑스러워', '했다던', '강동원', '이지만', '난중', '에', '반성', '하는', '강동원', '을', '보며', '연좌제', '솔직히', '친일파', '각인', '이', '새겨지길', '않기를']	2.9867597176874088	1.22
8	8	N8lgrc4EMZs	빨갱이들 정신차려라 ㅋ	['빨갱이', '들', '정신차려라']	0.058159376939430574	0.04
9	9	N8lgrc4EMZs	문목사님, 잘계시지요!<br>조금  있으면 저도 목사님 계시는 천당으로 갈겁니다.<br>가시기전 부산대학 운동장에서 손을 잡았는데 그렇게  까칠하시더니...   가족들에게는 미안합니더<br>그렇지만  목사님과 저는 영원한깁니더	['문', '목사', '님', '잘', '계시지요', '조금', '있으면', '저', '도', '목사', '님', '계시는', '천당', '으로', '갈', '겁니다가시', '기전', '부산', '대학', '운동장', '에서', '손', '을', '잡았는데', '그렇게', '까칠하시더니', '가족', '들', '에게는', '미안합니', '더', '그렇지만', '목사', '님', '과', '저', '는', '영원한', '깁니', '더']	4.6991234167748885	1.81
10	10	N8lgrc4EMZs	진짜 북한을 좋아하고 김정은 좋아하는 정신병자 빨갱이가 우리나라에 몇명이나된다고 전국민 다수를 빨갱이로 몰아갈까	['진짜', '북한', '을', '좋아하고', '김정은', '좋아하는', '정신병', '자', '빨갱이', '가', '우리나라', '에', '몇', '명', '이나', '된다고', '전', '국민', '다수', '를', '빨갱이', '로', '몰아', '갈까']	4.522273341817494	1.9
