	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	6_GsyZK-SzE	@호현 ㄴㄴ 다굴 안맞아도 1대1에서 짐	['호현', '다', '굴', '안', '맞아도', '1', '대', '1', '에서', '짐']	-1.1800283011132735	-0.59
1	1	6_GsyZK-SzE	다굴처맞음	['다', '굴처', '맞음']	0.0	0.0
2	2	6_GsyZK-SzE	셀레스티얼이  오딘도 이김?	['셀레스티', '얼', '이', '오딘', '도', '이김']	-0.7129184630371319	-0.4
3	3	6_GsyZK-SzE	네셀레스티얼은절대토르아빠못이겨요<br>겔럭투스가토르한테발리는시리즈가있는데오딘이못이기겠어요?MCU에서도타노스도오딘한테쫄아서행동개시못한거잔어요	['네', '셀레스티', '얼은', '절대', '토르', '아빠', '못', '이겨요', '겔럭투스', '가', '토르', '한테', '발리는', '시리즈', '가', '있는데', '오딘', '이', '못', '이기', '겠어요', 'MCU', '에서도', '타', '노스', '도', '오딘', '한테', '쫄', '아', '서', '행동', '개시못', '한', '거', '잔어요']	2.0949907406537567	0.82
4	4	6_GsyZK-SzE	그때 토르포스 토르는 오딘을 이미 넌릉 상태고 갤럭투스도 셀레들이 쳐 바릅니다 토르포스 다음이 룬킹토르고 룬킹토르는 한 구간에 우주가 되지만 셀레스티얼은 우주 창조 신이고 오딘이가 셀레 한마리한테 덤벼도 셀레가 이김	['그때', '토르', '포스', '토르', '는', '오딘', '을', '이미', '넌릉', '상태', '고', '갤럭투스', '도', '셀레들', '이', '쳐', '바릅니다', '토르', '포스', '다음', '이', '룬킹토르', '고', '룬킹토르', '는', '한', '구간', '에', '우주', '가', '되지만', '셀레스티', '얼은', '우주', '창조', '신', '이고', '오딘', '이', '가', '셀레', '한', '마리', '한테', '덤벼', '도', '셀레', '가', '이김']	-2.000337656303286	-0.74
5	5	6_GsyZK-SzE	에고 봤죠?걔는 걍 셀레스티얼의 갓난아기 입니다.셀레스티얼 ㅈㄴ 쌥니다. 오딘?ㅈ밥임	['에고', '봤죠', '걔', '는', '걍', '셀레스티', '얼', '의', '갓난아기', '입니다', '셀레스티', '얼', '쌥니', '다', '오딘', '밥임']	-2.1140150779475397	-0.96
6	6	6_GsyZK-SzE	서인영  에고는 셀레스티얼 중에 최약체....	['서인영', '에고', '는', '셀레스티', '얼', '중', '에', '최', '약체']	-0.9822215309340918	-0.5
7	7	6_GsyZK-SzE	최민하 오딘이 셀레스티얼을 이긴다니 참.... 겔럭투스가 토르한테진건 겔북이가 많이배고픈 상태여서 힘이 약한상태였고요 그리고 겔북이 이겻을당시 토르가 오딘이랑 비슷할거같은데 그 오딘이 셀레를 이긴다뇨... 제대로 알고오세요	['최민', '하', '오딘', '이', '셀레스티', '얼', '을', '이긴다니', '참', '겔럭투스', '가', '토르', '한테', '진건', '겔북이', '가', '많이', '배고픈', '상태', '여서', '힘', '이', '약', '한상태', '였고요', '그리고', '겔북', '이', '이', '겻', '을', '당시', '토르', '가', '오딘', '이랑', '비슷할거', '같은데', '그', '오딘', '이', '셀레', '를', '이긴다', '뇨', '제대로', '알고오세요']	0.40075895860712296	0.15
8	8	6_GsyZK-SzE	토르아부지&lt;셀레스티얼&lt;갓킬러 ????	['토르', '아부지', 'lt', '셀레스티', '얼', 'lt', '갓', '킬러']	2.418875083976315	1.27
9	9	6_GsyZK-SzE	@킹크림슨 한두명이 아니라 다수도 이깁니다	['킹', '크림슨', '한두', '명', '이', '아니라', '다수', '도', '이깁니다']	0.0	0.0
