	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	IDnApIl9jas	믿을 수가 없네요... 아니 보통 이런 영화 엔딩은 국정원의 추악한 진실이 대중에게 공개되고 그걸로 인해 국장은 파멸(보통 체포되거나 체포될 것 같으니까 자살함.)하고 끝나지 않는지.. 그리고 민씨라는 양반은 그 흔한 죽은 아들이 생각나 클리셰도 없이 주인공을 돕는다니 이게 무슨 말인지. 더구나 장사질 하려고 하던 게 목적이라면서. 잘 생각은 안나는데 아예 돕는 이유 자체를 전혀 모르게(즉 어떤 근거도 내밀지 않아서 유추조차 못하게 함.) 해서 신기하게 만드는 경우는 있던데.. 보통 이런 경우 자신을 희생시키면서 주인공을 돕고 주인공이 그 이유를 물으면 &quot;왜 그랬을까 진짜?&quot;라며 역시 이유를 말 안하고...	['믿을', '수가', '없네요', '아니', '보통', '이런', '영화', '엔딩', '은', '국정원', '의', '추악한', '진실', '이', '대중', '에게', '공개', '되고', '그', '걸', '로', '인해', '국장', '은', '파멸', '보통', '체포', '되거나', '체포', '될', '것', '같으니까', '자살', '함', '하고', '끝나지', '않는지', '그리고', '민씨', '라는', '양반', '은', '그', '흔한', '죽은', '아들', '이', '생각나', '클리셰', '도', '없이', '주인공', '을', '돕는다니', '이', '게', '무슨', '말', '인지', '더구나', '장사', '질', '하려고', '하던', '게', '목적', '이라', '면서', '잘', '생각', '은', '안나는데', '아예', '돕는', '이유', '자체', '를', '전혀', '모르게', '즉', '어떤', '근거', '도', '내', '밀지', '않아서', '유추', '조차', '못', '하게', '함', '해서', '신기하게', '만드는', '경우', '는', '있던데', '보통', '이런', '경우', '자신', '을', '희생', '시키면서', '주인공', '을', '돕고', '주인공', '이', '그', '이유', '를', '물으면', 'quot', '왜', '그랬을까', '진짜', 'quot', '라며', '역시', '이유', '를', '말', '안', '하고']	-15.813905125392187	-5.11
1	1	IDnApIl9jas	감독의 잘못이 80% 이상이다.	['감독', '의', '잘못', '이', '80', '이상', '이다']	-2.831045424075511	-1.53
2	2	IDnApIl9jas	세상 재미없음	['세상', '재미없음']	0.0	0.0
3	3	IDnApIl9jas	내 인생 최악의 영화.... 개연성과 현실성 제로	['내', '인생', '최악', '의', '영화', '개연', '성과', '현실', '성', '제로']	-4.4515929331665625	-2.23
4	4	IDnApIl9jas	하아 정말  도그 쓰으래에기이 영화 였어요.... ㅠ	['하아', '정말', '도그', '쓰으래', '에', '기이', '영화', '였어요']	-0.4515929331665631	-0.24
5	5	IDnApIl9jas	골드  쓰래기  ㅈㄴ  재미없음  이게  영화냐?  시간 ㅈㄴ  아까움  ㅆㅂ	['골드', '쓰래', '기', '재미없음', '이', '게', '영화', '냐', '시간', '아까', '움']	-0.302618638444636	-0.15
6	6	IDnApIl9jas	난 왜 재밋었지 ㅋㅋㅋㅋㅋ	['난', '왜', '재밋었', '지']	0.0	0.0
7	7	IDnApIl9jas	워낙이 일본작품들 특유의 (짜임새있지만 밋밋함) 감성은 우리나라에 맞지가않아  스펙타클하게 만들려니 스토리가 과하게되어 원작의 느낌을 훼손하게되는 경우가 많은것같아요. 너무 과해!!!	['워낙', '이', '일', '본', '작품', '들', '특유', '의', '짜임새', '있지만', '밋밋함', '감성', '은', '우리나라', '에', '맞지가', '않아', '스펙', '타', '클하게', '만들려니', '스토리', '가', '과', '하게', '되어', '원작', '의', '느낌', '을', '훼손', '하게', '되는', '경우', '가', '많은것', '같아요', '너무', '과', '해']	-7.052846276156763	-2.71
8	8	IDnApIl9jas	정말..이런 캐스팅으로 이런 망작을 다시 만들수있을까	['정말', '이런', '캐스팅', '으로', '이런', '망작', '을', '다시', '만들수있을까']	-0.2410958398893797	-0.12
9	9	IDnApIl9jas	재미드럽게없긴하드라ㅡㅡ	['재미', '드럽게', '없긴', '하드', '라']	2.0	1.18
