	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	S0IgBPfJwUY	저꼬맹이 많이컷네	['저', '꼬맹이', '많이', '컷', '네']	-0.8287097869804709	-0.49
1	1	S0IgBPfJwUY	ㅋㅋㅋㅋㅋㅋㅋㅋㅋ윤아언니 진짜 재밌게 잘하셨어요 ㅎㅎ 미모는 역시 이쁘고~	['윤아', '언니', '진짜', '재밌게', '잘', '하셨어요', '미모', '는', '역시', '이쁘고']	1.3587510239056362	0.68
2	2	S0IgBPfJwUY	현빈매력존나멋있어♥♥♥♥♥♥	['현빈', '매력', '존나', '멋있어']	1.1712902130195313	0.73
3	3	S0IgBPfJwUY	아 윤아 이뻐죽겄네... 연기도 잘하고ㅎㅎ 더케이투보고 좋아짐...	['아', '윤아', '이뻐죽겄', '네', '연기', '도', '잘', '하고', '더', '케이', '투', '보고', '좋아짐']	2.1260062354617197	1.01
4	4	S0IgBPfJwUY	차기성 개새끼 ㅅㅂ 존나 웃겨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	['차기', '성', '개새끼', '존나', '웃겨']	-3.65741957396094	-2.15
5	5	S0IgBPfJwUY	아 진짜 현빈ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ크으으으으으으으으읍ㅠㅠ너무 멋져ㅠ	['아', '진짜', '현빈', '크', '으으', '으으', '으으', '으으', '읍', '너무', '멋져']	2.116937131658747	1.04
6	6	S0IgBPfJwUY	여러분 공조 정말 재밌습니다	['여러분', '공조', '정말', '재밌습니다']	-0.8287097869804709	-0.52
7	7	S0IgBPfJwUY	윤아는 영원한 걸그룹의 비주얼 센터로 남을 듯.. 보통 걸그룹 애들 연기로 빠지면 가수할 때에 비해 안 꾸며서 그런지 아니면 여배우들에 비해 외모가 후달려서 그런지 많이 떨어져 보이던데 윤아는 전혀 안 그러네;; 머리에 저런 거적때기를 씌어나도 개예쁘다ㄷㄷ 다른 걸그룹들의 비주얼 센터 좋아하는 팬들에게는 미안하지만 윤아만큼은 뭔가 독보적인 것 같다 탈아이돌급ㅇㅇ 인성도 되게 착하고 예의바르다던데 역시 &quot;진짜로&quot; 예쁜 얘들은 마음씨까지 곱다	['윤아', '는', '영원한', '걸그룹', '의', '비주', '얼', '센터', '로', '남', '을', '듯', '보통', '걸그룹', '애', '들', '연기', '로', '빠지면', '가수', '할', '때', '에', '비해', '안', '꾸며서', '그런지', '아니면', '여배우', '들', '에', '비해', '외모', '가', '후', '달려서', '그런지', '많이', '떨어져', '보이던데', '윤아', '는', '전혀', '안', '그러네', '머리', '에', '저런', '거적', '때', '기를', '씌어나', '도', '개', '예쁘다', '다른', '걸그룹', '들', '의', '비주', '얼', '센터', '좋아하는', '팬', '들', '에게는', '미안하지만', '윤아', '만큼은', '뭔가', '독보', '적', '인', '것', '같다', '탈', '아이돌', '급', '인성', '도', '되게', '착하고', '예의', '바르다던데', '역시', 'quot', '진짜', '로', 'quot', '예쁜', '얘', '들', '은', '마음씨', '까지', '곱다']	-17.56286768605932	-5.89
8	8	S0IgBPfJwUY	현빈 너무 잘 생겼어ㅠㅜㅠㅜㅠㅜㅜ	['현빈', '너무', '잘', '생겼어']	3.0	1.87
9	9	S0IgBPfJwUY	윤아: 그 여자... 사랑해요?<br>해진: 기ㅋㅋㅋㅋ럼요 ㅋㅋㅋㅋㅋㅋ (들썩들썩)	['윤아', '그', '여자', '사랑', '해요', '해진', '기', '럼', '요', '들썩들썩']	3.4131041052664197	1.71
10	10	S0IgBPfJwUY	새벽 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	['새벽']	0.0	0.0
11	11	S0IgBPfJwUY	윤아 존예! 연기도 잘하고 귀엽다.	['윤아', '존예', '연기', '도', '잘', '하고', '귀엽다']	5.783425809422661	3.13
12	12	S0IgBPfJwUY	공조브금 너무좋음...	['공조', '브금', '너무', '좋음']	3.02774127811718	1.89
13	13	S0IgBPfJwUY	나이거 전에봤는데	['나이', '거', '전', '에', '봤는데']	0.0	0.0
14	14	S0IgBPfJwUY	연아 누구딸? 엄마딸	['연아', '누구', '딸', '엄마', '딸']	0.0	0.0
15	15	S0IgBPfJwUY	이거참보기좋아	['이', '거참', '보기', '좋아']	2.0	1.25
16	16	S0IgBPfJwUY	통일되믄.........??	['통일', '되', '믄']	-0.8287097869804709	-0.56
17	17	S0IgBPfJwUY	리퍼 TV 흐믓	['리퍼', 'TV', '흐믓']	0.0	0.0
18	18	S0IgBPfJwUY	아 진짜 잘생겼다...진짜 진짜 잘생겼다....진짜 진짜 잘생긴거같아..미쳤어 진짜	['아', '진짜', '잘생겼다', '진짜', '진짜', '잘생겼다', '진짜', '진짜', '잘생긴거', '같아', '미쳤어', '진짜']	0.11693713165874707	0.06
19	19	S0IgBPfJwUY	난 왜 이부분을 못 봤지?? 기분탓인가??	['난', '왜', '이', '부분', '을', '못', '봤지', '기분', '탓', '인가']	0.0	0.0
20	20	S0IgBPfJwUY	마지막 배경음악은  공조OST ..이고 너무좋아서 다운받아서 벨소리 칼라링 햇음	['마지막', '배경음악', '은', '공조', 'OST', '이고', '너무', '좋아서', '다운', '받아서', '벨소리', '칼라', '링', '햇음']	1.6574195739609388	0.77
21	21	S0IgBPfJwUY	cadzone70 다운어캐받음	['cadzone', '70', '다운', '어', '캐', '받음']	0.0	0.0
22	22	S0IgBPfJwUY	윤아ㅋㅋㅋㅋㅋㅋ	['윤아']	-0.10076653379216972	-0.1
23	23	S0IgBPfJwUY	전상미 공조TSO	['전상미', '공조', 'TSO']	0.0	0.0
24	24	S0IgBPfJwUY	i can&#39;t bear Yoona&#39; s face, not natural,...so sad	['i', 'can', '39', 't', 'bear', 'Yoona', '39', 's', 'face', 'not', 'naturalso', 'sad']	0.0	0.0
25	25	S0IgBPfJwUY	김정은도 벤츠 타듯이 북한은 벤츠 사랑~	['김정은', '도', '벤츠', '타듯이', '북한', '은', '벤츠', '사랑']	1.171290213019529	0.62
26	26	S0IgBPfJwUY	윤아때문에 공조영상 찾아보는중 윤아 이쁘다	['윤아', '때문', '에', '공조', '영상', '찾아보는', '중', '윤아', '이쁘다']	2.24181389224689	1.15
27	27	S0IgBPfJwUY	이 영화에선 통일되믄 좋겠는데 현실은 그러고 싶지 않나	['이', '영화', '에선', '통일', '되', '믄', '좋겠는데', '현실', '은', '그러고', '싶지', '않나']	-0.7942189861819409	-0.38
28	28	S0IgBPfJwUY	와..  s500  두대..  북한으로드가네..	['와', 's', '500', '두', '대', '북한', '으', '로드', '가네']	-0.8287097869804709	-0.42
29	29	S0IgBPfJwUY	그래. . 이쁜 애가 망가지면 보상심리로다가 더 좋아하게 되지. .ㅎ	['그래', '이쁜', '애가', '망가지면', '보상', '심리', '로', '다가', '더', '좋아하게', '되지']	2.0	0.98
30	30	S0IgBPfJwUY	통일되믄...	['통일', '되', '믄']	-0.8287097869804709	-0.56
31	31	S0IgBPfJwUY	윤아 존나 이쁘다	['윤아', '존나', '이쁘다']	1.0705236792273616	0.72
32	32	S0IgBPfJwUY	영화 끝나고 작가들 배우들 이름나올때 나오던데용	['영화', '끝나고', '작가', '들', '배우', '들', '이름나', '올', '때', '나오던데용']	0.034490800798530064	0.02
33	33	S0IgBPfJwUY	이거는 영화관에서 상영된것중 안나온거인가요?	['이', '거', '는', '영화관', '에서', '상영', '된것', '중', '안', '나온거인가요']	0.3425804260390604	0.17
34	34	S0IgBPfJwUY	엥 저오늘 이거봤는데 이영상말고 유해진이 평양가는것만 나오던데융	['엥', '저', '오늘', '이', '거', '봤는데', '이', '영상', '말고', '유해진', '이', '평양', '가는것만', '나오던데', '융']	1.0622320789157098	0.49
35	35	S0IgBPfJwUY	이나경 아!<br>감사합니다<br>제가 끝나고 바로나가서못봤네요 ㅎㅎ	['이나경', '아', '감사합니다', '제', '가', '끝나고', '바로', '나가서못', '봤네요']	0.0	0.0
36	36	S0IgBPfJwUY	존잘 ㅅㅂ	['존잘']	2.0	2.0
