	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	9wPrPZSBlY0	오늘도 유익하네요..  잘보고 갑니다..  영상이 요즘 자주 올라오네여..  감사합니다^^	['오늘', '도', '유익하네요', '잘', '보고', '갑니다', '영상', '이', '요즘', '자주', '올라오네여', '감사합니다']	2.4478608149746943	1.18
1	1	9wPrPZSBlY0	감사합니다~ 더 자주 올릴수 있도록 노력할게요~^^	['감사합니다', '더', '자주', '올릴수', '있도록', '노력', '할게요']	-0.2285151648026253	-0.12
2	2	2bYxmrP68ZY	IMF시기 본인은 5살 뜨문뜨문 기억나는건 어느 순간부터 아버지 출근 하실 때 어머니가 우리 3남매를 다 깨워서 인사하게 하신 것이다 <br><br><br>그때는 어려서 IMF가 뭔지 왜 그리 텔레비전에서 지속적으로 나오는지도 몰랐다 <br>현재 28살이 돼가면서 그것에 대해 이해하고 이 영화를 보니 여러 감정들이 교차한다<br><br>다행히도 아버지는 대기업이셨기에 지금까지도 다니고 계시고 듣기로는 대기업에서도 상당히 힘드셨다고..<br><br>영화에 대한 느낌은 주관적으로 수작이라 생각한다 물론 2시간의 런닝타임으론 모든걸 보여 줄 수 없지만 주축인물 3명을 통해 <br><br>위험을 막으려는자(구체적 대안은 없었지만) <br><br>위험을 통해 이익을 얻으려는 자(입체성을 표현하기 위해 나중에 돌연 자선사업 했으면 욕했을거 같다 도중 투자자 뺨 친 것도 좀..<br><br>그리고 그 위험에 노출 되어 피해를 입는자로 보여주어 좋았다 <br><br>굳이 어설프게 세 인물을 엮었다가 우연성에 기댄다고 까일 것 같았고 <br><br>딱 한 장면 실소를 금하지 못한 것이 김혜수 오빠가 손준호라는 점 <br><br>김혜수는 보고서 시점으로 약 17일 전부터 국가부도를 직감했고 7일 전부터는 정부사람과의 회의에서 국민의 피해를 막기 위해 알려야 한다고 했던 인물이다 뿐만 아니라 중소기업 발언도 많이 했고 <br><br>그런데 오빠가 기업을 운영 하는 것을 알고 있으면서 조금의 언질도 안해줬다? <br>시간 상 김혜수가 국가부도를 예상하고 아임에프 체결 사이에 손준호가 어음을 받은 것으로 보인다 <br><br>이전까지 손준호가 자살시도를 할때까진 와 이건 신파가 아니다 이건 허용범위이다고 생각했는데 손준호와 김혜수의 만남 뒤 김혜수의 눈물은..흠 어디까지나 주관적이니 다른 해석을 부정하지 않겠다 <br><br>쓰다보니 말이 길고 좀 딱딱 해졌는데 <br>올해 연이은 망작 사이에 그나마 숨통이 트이는 영화였다고 생각합니다	['IMF', '시기', '본인', '은', '5', '살', '뜨', '문', '뜨', '문', '기억나는건', '어느', '순간', '부터', '아버지', '출근', '하실', '때', '어머니', '가', '우리', '3', '남매', '를', '다', '깨워서', '인사', '하게', '하신', '것', '이다', '그때', '는', '어려서', 'IMF', '가', '뭔', '지', '왜', '그리', '텔레비전', '에서', '지속', '적', '으로', '나오는지도', '몰랐다', '현재', '28', '살이', '돼가면서', '그것', '에', '대해', '이해', '하고', '이', '영화', '를', '보니', '여러', '감정', '들', '이', '교차', '한다', '다행히도', '아버지', '는', '대기업', '이', '셨기', '에', '지금', '까지도', '다니고', '계시', '고', '듣기', '로는', '대기업', '에서도', '상당히', '힘드셨다고', '영화', '에', '대한', '느낌', '은', '주관', '적', '으로', '수작', '이라', '생각', '한다', '물론', '2시간', '의', '런닝타임', '으론', '모든', '걸', '보여', '줄', '수', '없지만', '주축', '인물', '3', '명', '을', '통해', '위험', '을', '막으려는', '자구', '체적', '대안', '은', '없었지만', '위험', '을', '통해', '이익', '을', '얻으려는', '자', '입체성', '을', '표현', '하기', '위해', '나중', '에', '돌연', '자선', '사업', '했으면', '욕', '했을거', '같다', '도중', '투자자', '뺨', '친', '것', '도', '좀', '그리고', '그', '위험', '에', '노출', '되어', '피해', '를', '입는', '자로', '보여주어', '좋았다', '굳이', '어설프게', '세', '인물', '을', '엮었다', '가', '우연', '성', '에', '기댄다고', '까', '일', '것', '같았고', '딱', '한', '장면', '실소', '를', '금', '하지', '못', '한', '것', '이', '김혜수', '오빠', '가', '손준호', '라는', '점', '김혜수', '는', '보고서', '시점', '으로', '약', '17일', '전', '부터', '국가부도', '를', '직감', '했고', '7일', '전', '부터는', '정부', '사람', '과의', '회의', '에서', '국민', '의', '피해', '를', '막기', '위해', '알려야', '한다고', '했던', '인물', '이다', '뿐', '만', '아니라', '중소기업', '발언', '도', '많이', '했고', '그런데', '오빠', '가', '기업', '을', '운영', '하는', '것', '을', '알', '고', '있으면서', '조금', '의', '언', '질도', '안', '해줬다', '시간', '상', '김혜수', '가', '국가부도', '를', '예상', '하고', '아', '임', '에프', '체결', '사이', '에', '손준호', '가', '어음', '을', '받은', '것', '으로', '보인다', '이전', '까지', '손준호', '가', '자살', '시도', '를', '할', '때', '까진', '와', '이건', '신파', '가', '아니다', '이건', '허용', '범위', '이다', '고', '생각', '했는데', '손준호', '와', '김혜수', '의', '만남', '뒤', '김혜수', '의', '눈물', '은', '흠', '어디', '까지나', '주관', '적', '이니', '다른', '해석', '을', '부정', '하지', '않겠다', '쓰다', '보니', '말', '이', '길고', '좀', '딱', '딱', '해졌는데', '올해', '연', '이', '은', '망작', '사이', '에', '그나마', '숨통', '이', '트이는', '영화', '였다고', '생각', '합니다']	-38.316529896088866	-10.85
3	3	2bYxmrP68ZY	당시 국민들의 어려움에 대한 공감대 형성도 영화의 중요한 부분이라고 생각하는데, 김혜수만 혼자 나와서 정부 관료와 IMF와 싸운다? 그것이 영화의 전부라면 그것도 참 허무맹랑한 시나리오네요. 영화관에 오는사람들이 전부다 전문지식이 많은 사람이라고 생각하시면 안됩니다. 감독은 여러 세대와 계층이 함께 공감할 수 있는 부분을 생각했을꺼같네요. 요즘 리뷰들이 좀 필요이상으로 비판적인 부분들이 있네요.	['당시', '국민', '들', '의', '어려움', '에', '대한', '공감', '대', '형성', '도', '영화', '의', '중요한', '부분', '이라고', '생각', '하는데', '김혜수', '만', '혼자', '나와서', '정부', '관료', '와', 'IMF', '와', '싸운다', '그것', '이', '영화', '의', '전부', '라면', '그것', '도', '참', '허무맹랑', '한', '시나리오', '네', '요', '영화관', '에', '오는', '사람', '들', '이', '전부', '다', '전', '문', '지식', '이', '많은', '사람', '이라고', '생각', '하시면', '안됩니다', '감독', '은', '여러', '세대', '와', '계층', '이', '함께', '공감', '할', '수', '있는', '부분', '을', '생각', '했을꺼', '같네요', '요즘', '리뷰', '들', '이', '좀', '필요', '이상', '으로', '비판', '적', '인', '부분', '들', '이', '있네요']	-5.91505899811568	-2.0
4	4	2bYxmrP68ZY	이영화 김혜수와 정치인 유승민이 캡쳐되더라	['이영화', '김혜수', '와', '정치인', '유승민', '이', '캡쳐', '되더라']	-0.8704440480808269	-0.46
5	5	2bYxmrP68ZY	다 좋으나 경제의 대한 설명부족<br>잘몰라도 그럭저럭 볼수있는선에서 경제관련 영화를 만들었으나<br><br>모라토리엄에 어떠한 부가설명도 없고<br>디폴트에대해서도 자세히 다루질않음 <br>(디폴트가 국가부도이긴 하다만)<br>또한 유아인이 거리 걷는신에서는 배경을 모자이크하고 인물에만 집중했는데 <br><br>공장 아저씨 걷는신에서는<br>오뎅끼데스까와 세븐일레븐은 진심으로 당황함	['다', '좋으나', '경제', '의', '대한', '설명', '부족', '잘', '몰라도', '그럭저럭', '볼수있는', '선', '에서', '경제', '관련', '영화', '를', '만들었으나', '모라토리엄', '에', '어떠한', '부가', '설명', '도', '없고', '디폴트', '에', '대해', '서도', '자세히', '다루질', '않음', '디폴트', '가', '국가부도', '이긴', '하다만', '또한', '유아인', '이', '거리', '걷는', '신', '에서는', '배경', '을', '모자이크', '하고', '인물', '에만', '집중', '했는데', '공장', '아저씨', '걷는', '신', '에서는', '오뎅', '끼', '데스', '까와', '세븐일레븐', '은', '진심', '으로', '당황', '함']	-2.5542918791238534	-0.9
6	6	2bYxmrP68ZY	뭘 이렇게 15분이나 들을 내용은 아니네요.. <br>감독의 감정이입이 지나쳤다고해도 나역시 그때를 겪은 사람이라 공감에 문제없었고. <br>냉정한 역사의 장을 원했다면 다큐를 보시던가	['뭘', '이렇게', '15분', '이나', '들을', '내용', '은', '아니네요', '감독', '의', '감정이입', '이', '지나쳤다고', '해도', '나', '역시', '그때', '를', '겪은', '사람', '이라', '공감', '에', '문제', '없었고', '냉정한', '역사', '의', '장', '을', '원했다면', '다큐', '를', '보시던가']	-3.6294811531961977	-1.43
7	7	2bYxmrP68ZY	캬ㅋㅋㅋ리뷰 좋다ㅋㅋ <br>우리나라 영화는 대부분이 관객을 가르칠려고하고 감성팔이하는게 전부ㅋㅋㅋ	['캬', '리뷰', '좋다', '우리나라', '영화', '는', '대부분', '이', '관객', '을', '가르칠', '려고', '하고', '감성', '팔이하는게', '전부']	1.8156525371196688	0.82
8	8	2bYxmrP68ZY	정부가 무능한 것이 아니라  정부가 재벌의 부채를 국민에게 재벌의 부채를  떠 넘긴거죠<br>정부가 국민을 버린거죠  이 사실이 IMF의 본질이며 사실입니다	['정부', '가', '무능한', '것', '이', '아니라', '정부', '가', '재벌', '의', '부채', '를', '국민', '에게', '재벌', '의', '부채', '를', '떠', '넘긴거죠', '정부', '가', '국민', '을', '버린거죠', '이', '사실', '이', 'IMF', '의', '본질', '이며', '사실', '입니다']	-4.827580713627032	-1.91
9	9	2bYxmrP68ZY	본격 사실 왜곡 영화. <br>국제시장이 자본주의 만세를 맹목적으로 찬양하고 있다면, 이 영화는 자유주의는 잘못된것이고 사회지도층은 모두 나쁜놈이다라고 맹목적으로 비판하고 있다.<br>그래서...머 혁명을 일으키자는 얘기인가? <br>지극히 프롤레탈리아 사상의 지지자들이 만든 영화 티가 팍팍난다. 졸작.	['본격', '사실', '왜곡', '영화', '국제', '시장', '이', '자본주의', '만세', '를', '맹목', '적', '으로', '찬양', '하고', '있다면', '이', '영화', '는', '자유', '주의', '는', '잘', '못', '된것이고', '사', '회지', '도', '층', '은', '모두', '나쁜', '놈이다라고', '맹목', '적', '으로', '비판', '하고', '있다', '그래', '서머', '혁명', '을', '일으키자는', '얘기', '인가', '지극히', '프', '롤레', '탈리아', '사상', '의', '지지자', '들', '이', '만든', '영화', '티', '가', '팍팍', '난다', '졸작']	-7.140157923114573	-2.56
