	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	l8-cvZUGsRk	이분은 무슨 영화를 보면서 깔거없나 찾으면서 보는듯, 간만에 재미있게 본 영화구만<br>비웃는듯한 말투도 참... ㅋㅋㅋ	['이분', '은', '무슨', '영화', '를', '보면서', '깔거', '없나', '찾으면서', '보는듯', '간만', '에', '재미있게', '본', '영', '화구', '만', '비웃는듯', '한', '말투', '도', '참']	6.018877276960387	2.57
1	1	l8-cvZUGsRk	영화가 허술한 구성은 동감하지만 리뷰에서 별에 별 꼬투리를 잡고 늘어지는거 그냥 까는  리뷰	['영화', '가', '허', '술', '한', '구성은', '동감', '하', '지만', '리뷰', '에서', '별', '에', '별', '꼬투리', '를', '잡고', '늘어지는거', '그냥', '까는', '리뷰']	0.061624873450254865	0.03
2	2	l8-cvZUGsRk	반전 공개 전까지 엄청 흥미로웠다. 장항준 감독이 정말 실력있는 사람이구나 라고 생각하던중 반전 공개부터는 엥? ....... 제발 이러지마 안돼~ 를 마음속으로 외쳐댔다 ㅋ 뒤에 설명이 많은 이유는 &#39;내가  이렇게 치밀하게  구축해 놓은 반전장치들을 이제 알려줄게 어때? 쩔지? 뒷통수 맞은거 같지?&#39; 하는 것을 과시하려는 감독의 의도가 있었기 때문이 아닐까. 근데  안 치밀했다... ㅇ ㅏ 앞에는 쩔었는데 진짜 아까운 영화다.	['반전', '공개', '전', '까지', '엄청', '흥미로웠다', '장항준', '감독', '이', '정말', '실력', '있는', '사람', '이구나', '라고', '생각', '하던', '중', '반전', '공개', '부터는', '엥', '제발', '이러지마', '안', '돼', '를', '마음속', '으로', '외쳐', '댔다', '뒤', '에', '설명', '이', '많은', '이유', '는', '39', '내', '가', '이렇게', '치밀하게', '구축', '해', '놓은', '반', '전', '장치', '들', '을', '이제', '알려줄게', '어때', '쩔지', '뒷', '통수', '맞은거', '같지', '39', '하는', '것', '을', '과시', '하려는', '감독', '의', '의도', '가', '있었기', '때문', '이', '아닐까', '근데', '안', '치밀했다', '앞', '에는', '쩔었는데', '진짜', '아까운', '영화', '다']	-10.269714175884689	-3.52
3	3	l8-cvZUGsRk	처음에 형을설명하는 부분이 나레이션으로 된부분 처음볼땐 설명충 같았으나 반전부분이 지나면 강하늘이 최면에 걸렸다는점 마치 문성근이 입력한 정보를 확인하는 작업처럼 느껴지지는 않나요?	['처음', '에', '형', '을', '설명', '하', '는', '부분', '이', '나레이션', '으로', '된', '부분', '처음', '볼땐', '설명', '충', '같았으나', '반', '전', '부분', '이', '지나면', '강하늘', '이', '최면', '에', '걸렸다는', '점', '마치', '문성근', '이', '입력', '한', '정보', '를', '확인', '하는', '작업', '처럼', '느껴지지는', '않나요']	-0.9947588497485228	-0.38
4	4	l8-cvZUGsRk	오 유투브 하면서 영화리뷰를 찾아봤는데 ㄱㅊ네요. 여자목소리분꺼 듣다가 남자로 바뀌어서 조금 어색하지만 , 뭔가 리뷰가 더 깊이있고 분석적인 측면이 마음에듬 주관도 저랑 비슷한듯 ㅎ 앞으로 자주 이용해야겠슴돠.	['오', '유투브', '하면서', '영화리뷰', '를', '찾아봤는데', '네요', '여자', '목소리', '분', '꺼', '듣다가', '남자', '로', '바뀌어서', '조금', '어색하지만', '뭔가', '리뷰', '가', '더', '깊이', '있고', '분석', '적', '인', '측면', '이', '마음', '에', '듬', '주관', '도', '저', '랑', '비슷한듯', '앞', '으로', '자주', '이용', '해야겠', '슴돠']	-0.8460649251719972	-0.32
5	5	l8-cvZUGsRk	제 장래희망이 영화감독인데 저는 인생영화일 정도로 여운도 엄청 남고 너무 재밌었거든요. 리뷰 라고는 하지만 너무 억지라고 할정도로 까네요. 까는 이유도 들어보면 다 의견 차이로 볼 수 있을 것 같은데... 왠지 자기는 재미없었고 흥미롭지 못했다는걸 떼쓰면서 자기 생각을 일반화하는 느낌이네요. 이거 리뷰니까 자기 생각 들어가는건 맞습니다. 하지만 좀 과하고 듣기 거북해서 댓글 남깁니다. 장항준 감독한테 원한 있으신가요?ㅋㅋ	['제', '장래희망', '이', '영화감독', '인데', '저', '는', '인생', '영', '화일', '정도', '로', '여운', '도', '엄청', '남고', '너무', '재밌었거든요', '리뷰', '라고는', '하지만', '너무', '억지', '라고', '할', '정도', '로', '까네요', '까는', '이유', '도', '들어', '보면', '다', '의견', '차이', '로', '볼', '수', '있을', '것', '같은데', '왠지', '자기', '는', '재미없었고', '흥미롭지', '못', '했다는걸', '떼쓰면서', '자기', '생각', '을', '일반', '화하는', '느낌이네요', '이', '거', '리뷰', '니까', '자기', '생각', '들어가는건', '맞습니다', '하지만', '좀', '과', '하고', '듣기', '거북해서', '댓글', '남깁니다', '장항준', '감독', '한테', '원한', '있으신', '가요']	-12.895762053622635	-4.46
6	6	l8-cvZUGsRk	클리셰가 뭔대요?	['클리셰', '가', '뭔', '대요']	0.13535040716767874	0.08
7	7	l8-cvZUGsRk	자신이 알아채지 못한 것을 까내리는듯	['자신', '이', '알아채지', '못', '한', '것', '을', '까', '내리는듯']	-0.009452215144688192	-0.0
8	8	l8-cvZUGsRk	스포일러 텍스트 화면의 압박ㅋㅋㅋㅋㅋㅋ 네 하지만 전 꿋꿋이 보겠습니다.	['스포일러', '텍스트', '화면', '의', '압박', '네', '하지만', '전', '꿋꿋', '이', '보겠습니다']	1.6546645662673911	0.81
9	9	l8-cvZUGsRk	전개가 약간 억지스러움...그래도 재밌게봤음..	['전개', '가', '약간', '억지스러', '움', '그래도', '재밌게', '봤음']	1.007649655763774	0.53
10	10	l8-cvZUGsRk	중간중간 너무 비웃으시는데 듣기 불편해요..	['중간', '중간', '너무', '비웃으시는데', '듣기', '불편해요']	-0.992350344236226	-0.56
11	11	l8-cvZUGsRk	귀신이 나오는 장면이 아예 의미가 없진 않아요!<br>강하늘이 죽인 두 여자 중 한명이 강하늘 기억의 무의식 중에 나온거라 생각합니다~ 그 집은 과거에 강하늘이 두 여자를 죽인 공간이니까요!	['귀신', '이', '나오는', '장면', '이', '아예', '의미', '가', '없진', '않아요', '강하늘', '이', '죽인', '두', '여자', '중', '한', '명', '이', '강하늘', '기억', '의', '무의식', '중', '에', '나온거라', '생각', '합니다', '그', '집은', '과거', '에', '강하늘', '이', '두', '여자', '를', '죽인', '공간', '이니까', '요']	-4.803308481809732	-1.84
12	12	l8-cvZUGsRk	내가 라이너 리뷰 절대안본다<br>영화를비판할거면 지가 만들어보든가<br>참한심하다. ㅉㅉ	['내', '가', '라이너', '리뷰', '절', '대안', '본다', '영화', '를', '비판', '할거면', '지가', '만들어', '보든가', '참', '한심하다']	-1.023497243491092	-0.46
13	13	l8-cvZUGsRk	저도 영화보고 너무 실망했어요. 반전도 그저그렇고 마지막 부분도 너무 억지스럽고유치해서 싫었음... 리뷰에 덧붙이자면 저만 그렇게 생각한지는 모르겠는데 예고편에서 형제끼리 의심한다고 나오는데 그게 마치 동생은 기억을 잃은 형을 의심하고 납치당한 형은 동생이 납치에 가담했다거나 그런식으로 의심한다는 것처럼 들려서 저는 &#39;와 어떻게 이야기를 풀어나갈까&#39; 하면서 기대하면서 봤거든요. 저는 연기도 맘에 안들긴 했는데(보는 내내 집중이 안됨) 어쨌든 감독의 역량이든 뭐든 전 가장 실망스러웠던 점은 예고편이 거짓말을 해서 관객으로하여금 다른 걸 기대하게 했다는 점입니다! 주변에서 하도 기억의 밤 극찬해서 그 소리 너무 듣기 싫었었는데 시원시원한 리뷰 감사합니다!	['저', '도', '영화', '보고', '너무', '실망했어요', '반전', '도', '그저', '그렇고', '마지막', '부분', '도', '너무', '억지스럽고', '유치해서', '싫었음', '리뷰', '에', '덧붙이자면', '저만', '그렇게', '생각', '한지', '는', '모르겠는데', '예고편', '에서', '형제', '끼리', '의심', '한다고', '나오는데', '그게', '마치', '동생', '은', '기억', '을', '잃은', '형', '을', '의심', '하고', '납치', '당', '한', '형', '은', '동생', '이', '납치', '에', '가담', '했다거나', '그런', '식', '으로', '의심', '한다는', '것', '처럼', '들려서', '저', '는', '39', '와', '어떻게', '이야기', '를', '풀어', '나갈까', '39', '하면서', '기대하면서', '봤거든요', '저', '는', '연기', '도', '맘', '에', '안', '들긴', '했는데', '보는', '내내', '집중', '이', '안됨', '어쨌든', '감독', '의', '역량', '이든', '뭐', '든', '전', '가장', '실망', '스러웠던', '점', '은', '예고편', '이', '거짓말', '을', '해서', '관객', '으로', '하여금', '다른', '걸', '기대하게', '했다는', '점', '입니다', '주변', '에서', '하도', '기억', '의', '밤', '극찬', '해서', '그', '소리', '너무', '듣기', '싫었었는데', '시원시원한', '리뷰', '감사합니다']	-16.40493404299115	-5.25
14	14	l8-cvZUGsRk	내 17분 사라졌다...하..책임지세요!	['내', '17분', '사라졌다하', '책임지세요']	0.0	0.0
15	15	l8-cvZUGsRk	생각안하고 보면 쟈밌음 ㅋㅋㅋ	['생각', '안', '하고', '보면', '쟈밌음']	-1.4243173505137932	-0.84
16	16	l8-cvZUGsRk	(스포포함)너무 공감가는 리뷰입니다. 저는 개인적으로 첫번째 반전으로 나온 잃어버린 기억을 소재에 누구나 소설이나 영화에서 한번이상 봤다는 &quot;최면요법&quot;이라는 엄청 진부한 플롯을 쓴 것에, 그리고 셔터아일랜드의 반전인 사실 주인공말고 다 연극하는 거였어!를 시전하는 것에... 영화관을 나오고 싶었습니다. 그래도 반전 포인트가 빨리 나오길래 불안당처럼 색다른 진행으로 가려나 보다! 역시 장항준감독이 살아나나! 네이버 평점이 틀리지 않은건가! 하며 끝까지 영화를 봤습니다. 결과는 리뷰어님처럼 네이버에 1점 짜리 평점 달려고 컴퓨터를 켰었더랬죠 ㅎ... 제 개인 생각이지만 올해 봤던 영화중에 미이라 다음으로 억지스럽고 개연성 없는 영화였습니다.	['스포', '포함', '너무', '공감', '가는', '리뷰', '입니다', '저', '는', '개인', '적', '으로', '첫', '번째', '반전', '으로', '나온', '잃어버린', '기억', '을', '소재', '에', '누구', '나', '소설', '이나', '영화', '에서', '한번', '이상', '봤다는', 'quot', '최면', '요법', 'quot', '이라는', '엄청', '진부한', '플롯', '을', '쓴', '것', '에', '그리고', '셔터', '아일랜드', '의', '반전', '인', '사실', '주인공', '말고', '다', '연극', '하는', '거', '였어를', '시전', '하는', '것', '에', '영화관', '을', '나오고', '싶었습니다', '그래도', '반전', '포인트', '가', '빨리', '나오길래', '불안', '당', '처럼', '색다른', '진행', '으로', '가려나', '보다', '역시', '장항준', '감독', '이', '살아나나', '네이버', '평점', '이', '틀리지', '않은', '건가', '하며', '끝', '까지', '영화', '를', '봤습니다', '결과', '는', '리뷰', '어', '님', '처럼', '네이버', '에', '1', '점', '짜리', '평점', '달려고', '컴퓨터', '를', '켰었더랬', '죠', '제', '개인', '생각', '이지만', '올해', '봤던', '영화', '중', '에', '미이라', '다음', '으로', '억지스럽고', '개연', '성', '없는', '영화', '였습니다']	5.484462469461623	1.76
17	17	l8-cvZUGsRk	제 생각에는 클리셰의 향연이라기보다는 명작 영화들의 특징을 뽑아낸 느낌이 강하더라고요. 발 저는거는 유주얼 서스펙트, 후반부에 둘이 자살하는 거는 올드 보이 결말, 주인공 빼고 다 무언가를 숨기고 있는것 같은 건 셔터 아일랜드 같은 느낌? 의사가 보험금 타내려고 아내 살인교사한 게 좀 아니다 여겨졌던거 빼고는 볼 만하다고 여겨진 작품이네요. (그런데 몇년 전에 Y대 출신 의사가 만삭인 아내를 목졸라 죽인 사건이나 올해에는 모 치과 의사가 아내 재산 가로챌 목적으로 약물로 살해한 사건을 보면 가능할 수도 있겠다 싶더군요)	['제', '생각', '에는', '클리셰', '의', '향연', '이라기보다는', '명작', '영화', '들', '의', '특징', '을', '뽑아', '낸', '느낌', '이', '강하더라고요', '발', '저', '는', '거', '는', '유주', '얼', '서', '스펙', '트', '후반', '부', '에', '둘', '이', '자살', '하는', '거', '는', '올드', '보이', '결말', '주인공', '빼고', '다', '무언가', '를', '숨기', '고', '있는것', '같은', '건', '셔터', '아일랜드', '같은', '느낌', '의사', '가', '보험금', '타', '내', '려고', '아내', '살인', '교사', '한', '게', '좀', '아니다', '여겨졌던거', '빼고는', '볼', '만', '하다고', '여겨진', '작품', '이네', '요', '그런데', '몇', '년', '전', '에', 'Y', '대', '출신', '의사', '가', '만삭', '인', '아내', '를', '목', '졸라', '죽인', '사건', '이나', '올해', '에는', '모', '치과', '의사', '가', '아내', '재산', '가로', '챌', '목적', '으로', '약물', '로', '살해', '한', '사건', '을', '보면', '가능할', '수도', '있겠다', '싶더군요']	-14.182517409985733	-4.62
18	18	l8-cvZUGsRk	그래. 결말부분에서 이음새가 매끄럽지 않은 건 사실. 하지만 매끄러운 결말 전개, 탄탄한 인과에 의한 종결만이 옳은 서사인가? 절대 그렇지 않다. 이 영화의 결말은 나름대로의 메세지를 정확히 전달하고 있다(메세지가 불분명하다고 해서 영화가 좋지 않은 것도 아니지만) 이 유투버의 말 마냥 억지로 맞춘 서사 또한 아니다.     결말에는 나름의 이유가 분명 있었고 이해할만한 두 인물의 자살이었다. 진실을 찾고 나름의 정의를 실현하려했던 자, 그리고 자신의 봉인된 기억, 그것도 엄청난 고뇌와 아픔 절실함의 복합체인 기억이 떠오른 자의 자살은 충분히 개연성있는 결말이다. 또한 유투버는 뜬금없는 귀신의 등장이라고 했는데 전혀 그렇지 않다. 그 귀신은 강하늘 역이 죽인 여자 중 한명임이 명확하다.	['그래', '결말', '부분', '에서', '이음', '새', '가', '매끄럽지', '않은', '건', '사실', '하지만', '매끄러운', '결말', '전개', '탄탄한', '인과', '에', '의한', '종결', '만이', '옳은', '서사', '인가', '절대', '그렇지', '않다', '이', '영화', '의', '결말', '은', '나름', '대로의', '메세지', '를', '정확히', '전달', '하고', '있다', '메세지', '가', '불분명', '하다고', '해서', '영화', '가', '좋지', '않은', '것', '도', '아니지만', '이', '유투버', '의', '말', '마냥', '억지로', '맞춘', '서사', '또한', '아니다', '결말', '에는', '나름', '의', '이유', '가', '분명', '있었고', '이해', '할만', '한', '두', '인물', '의', '자살', '이었다', '진실', '을', '찾고', '나름', '의', '정의', '를', '실현', '하려', '했던', '자', '그리고', '자신', '의', '봉인', '된', '기억', '그것', '도', '엄청난', '고뇌', '와', '아픔', '절실', '함', '의', '복합', '체인', '기억', '이', '떠오른', '자의', '자살', '은', '충분히', '개연', '성', '있는', '결말', '이다', '또한', '유투버', '는', '뜬금', '없는', '귀신', '의', '등장', '이라고', '했는데', '전혀', '그렇지', '않다', '그', '귀신', '은', '강하늘', '역', '이', '죽인', '여자', '중', '한', '명임', '이', '명확하다']	10.417168004357114	3.3
19	19	l8-cvZUGsRk	억지인 설정은 내가 느끼기에 하나임. 대학병원 의사가 돈에 쪼들려서 아내를 죽이라고 살인청부 한 것.	['억지', '인', '설정', '은', '내', '가', '느끼기에', '하나', '임', '대학병원', '의사', '가', '돈', '에', '쪼들려서', '아내', '를', '죽', '이라고', '살인', '청부', '한', '것']	-7.033703676609108	-2.98
20	20	l8-cvZUGsRk	ㄹㅣ뷰ㅋㅋㅋㅋㅋ 재밌게 해주시네요!	['뷰', '재밌게', '해주시네요']	0.33588321858792364	0.23
21	21	l8-cvZUGsRk	인트로 블루 크리스마스 누구 버전이에영	['인트', '로', '블루', '크리스마스', '누구', '버전', '이', '에', '영']	0.33588321858792364	0.17
