	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	A1vCWMvkhME	뭔가했더니 영화 예고였어	['뭔가', '했더니', '영화', '예고', '였어']	-1.8517545114791305	-1.09
1	1	A1vCWMvkhME	영화는 개씹노잼 3류인데 패러디가 본편보다 재밋네ㅋㅋㅋㅋ	['영화', '는', '개', '씹', '노잼', '3', '류', '인데', '패러디', '가', '본', '편', '보다', '재밋', '네']	-5.469006015305508	-2.51
2	2	A1vCWMvkhME	ㅇㄱㄹㅇ에서 욕먹었던 분이 조교님이시다!!	['에서', '욕먹었던', '분', '이', '조교', '님', '이', '시', '다']	-0.617251503826378	-0.32
3	3	A1vCWMvkhME	진짜 영화 예고편인줄 ㅋㅋㅋㅋ<br>연출도 좋네요 ㅋㅋㅋ	['진짜', '영화', '예고편', '인', '줄', '연출', '도', '좋네요']	-1.0862575191318895	-0.57
4	4	A1vCWMvkhME	시부레 광고였어ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	['시', '부레', '광고', '였어']	-1.2345030076527557	-0.77
5	5	A1vCWMvkhME	헐 ㅋㅋㅋㅋ그냥 학생들이 만든 용상인줄알아썽여....광고였다니...진짜속았당...	['헐', '그냥', '학생', '들', '이', '만든', '용상', '인', '줄알', '아', '썽', '여', '광고', '였다니', '진짜', '속았', '당']	-0.979337343537008	-0.44
6	6	A1vCWMvkhME	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅁㅊㅋㅋ	[]	0.0	-0.0
7	7	A1vCWMvkhME	조교가 교수같이생겼어 ㅋㅋㅋㅋ	['조교', '가', '교수', '같이', '생겼어']	0.25516566411574804	0.15
8	8	A1vCWMvkhME	저 아픈척하는 애 나올때<br>녹턴 다단조 유작 아니냐 ㅋㅋㅋㅋㅋㅋㅋ 아 브금 선정보소	['저', '아픈', '척', '하', '는', '애', '나올', '때', '녹턴', '다단조', '유작', '아니냐', '아', '브금', '선정', '보소']	-3.77052426859114	-1.71
9	9	A1vCWMvkhME	뭐야 마지막 갑자기 광고가	['뭐', '야', '마지막', '갑자기', '광고', '가']	-0.6172515038263783	-0.35
10	10	A1vCWMvkhME	연플리 준모 ㅎㅎ	['연', '플리', '준모']	0.0	0.0
11	11	A1vCWMvkhME	ㅋㅋㅋ뜬금포	['뜬금', '포']	0.0	0.0
12	12	A1vCWMvkhME	광고였네....(그래도재밋었음)	['광고', '였네', '그래도', '재', '밋었', '음']	-0.3620858397106299	-0.2
13	13	A1vCWMvkhME	난저기에미모좀끼어져있으면좋겟다...	['난', '저기', '에', '미모', '좀', '끼어져있으면', '좋겟다']	0.0	0.0
14	14	A1vCWMvkhME	대학가서 진짜  저런사람만날까봐 소름끼친다	['대학가', '서', '진짜', '저런', '사람', '만날까봐', '소름끼친다']	-0.8724171679421232	-0.47
15	15	A1vCWMvkhME	재수해서 대학은 내년에가서 모르지만 2번째는 질하는거아닌가요?	['재수', '해서', '대학', '은', '내년', '에가', '서', '모르지만', '2', '번', '째', '는', '질', '하는거', '아닌가요']	-0.10692017559488164	-0.05
16	16	A1vCWMvkhME	이거 말하면 대부분 가해자가 남 피해자는 나라는 식인거 같은데요	['이', '거', '말', '하면', '대부분', '가해자', '가', '남', '피해자', '는', '나라', '는', '식', '인거', '같은데요']	-1.8517545114791307	-0.85
17	17	A1vCWMvkhME	이게 더 재밌음 ㄹㅇ	['이', '게', '더', '재밌음']	0.0	0.0
18	18	A1vCWMvkhME	꾼 요거 재미있음	['꾼', '요', '거', '재미있음']	0.0	0.0
19	19	A1vCWMvkhME	그래서 조별과제&quot;꾼&quot; 이거 언제 상영하죠? 이런 배우분들이 있엇나?	['그래서', '조', '별', '과제', 'quot', '꾼', 'quot', '이', '거', '언제', '상영', '하죠', '이런', '배우', '분들', '이', '있', '엇', '나']	-2.4946959480124034	-1.09
20	20	A1vCWMvkhME	영화네 영화 ㅋㅋㅋㅋㅋ	['영화', '네', '영화']	-0.6172515038263748	-0.42
21	21	A1vCWMvkhME	조별과제를? ? 이거 남자비하하는거 아니냐? 이런짓들을 남자들이 많이한다고??? 내가 보기엔 여자들이 안하려고하고 떠넘기는걸 많이봤는데 사기도 많이치고	['조', '별', '과제', '를', '이', '거', '남자', '비하하는거', '아니냐', '이런', '짓', '들', '을', '남자', '들', '이', '많이', '한다고', '내', '가', '보기', '엔', '여자', '들', '이', '안', '하려고하고', '떠', '넘기는걸', '많이', '봤는데', '사기', '도', '많이', '치', '고']	-0.6984817467143721	-0.27
22	22	A1vCWMvkhME	조별과제ㅋㅋ	['조', '별', '과제']	0.0	0.0
23	23	A1vCWMvkhME	한 명 빼놓고 남자들만 까네...ㅋㅋㅋ 여자들이 더 심한데 말이지ㅜ	['한', '명', '빼놓고', '남자', '들', '만', '까네', '여자', '들', '이', '더', '심한데', '말', '이지']	0.0	0.0
24	24	A1vCWMvkhME	ㅈㄴ자연스럽닼ㅋㅋㅋㅋㄱㅋㅋㅋㅋ	['자연스럽', '닼']	0.0	0.0
25	25	A1vCWMvkhME	1번 꾼 혼자 다하는 케이스는 좋지않나?..	['1', '번', '꾼', '혼자', '다', '하는', '케이스', '는', '좋지', '않나']	-1.5991839684053772	-0.8
26	26	A1vCWMvkhME	존나 멋있다	['존나', '멋있다']	2.025689932706891	1.56
27	27	A1vCWMvkhME	지니어스 생각나네 ㅋㅋㅋㅋ 개잘만듬	['지니어스', '생각나네', '개', '잘만', '듬']	0.0	0.0
