	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	dXNRdoELCFw	정말 컨텐츠 좋네요. 앞으로도 좋은 내용 부탁드립니다 bbb	['정말', '컨텐츠', '좋네요', '앞', '으로도', '좋은', '내용', '부탁드립니다', 'bbb']	2.4855018913162845	1.27
1	1	dXNRdoELCFw	Duckhyun Lee 감사합니다^^	['Duckhyun', 'Lee', '감사합니다']	0.4855018913162822	0.33
2	2	dXNRdoELCFw	구수해서 그런지 귀에 잘 들어 오네요. 강의 잘 들었습니다. 감사합니다	['구수해서', '그런지', '귀', '에', '잘', '들어', '오네요', '강의', '잘', '들었습니다', '감사합니다']	1.9446906712683536	0.95
3	3	dXNRdoELCFw	Godside 구수했군요ㄷㄷㄷㄷ	['Godside', '구수했군요']	0.0	0.0
4	4	dXNRdoELCFw	언제나 좋은 게시물 감사합니다. <br>교수님 덕분에 요즘 역사란 무엇인가를 열심히 읽고 있는데<br>책 내용중에 휘그적 사고라는 것이 나오는데 <br>이게 구체적으로 어떤 건지 설명해주실수 있나요?<br>토리당 휘그당의 그 휘그당 같은데 정확하게 설명이 나와 있는 곳이 없는 것 같아서<br>질문드립니다. 귀찮게 해서 죄송합니다.	['언제나', '좋은', '게시', '물', '감사합니다', '교수', '님', '덕분', '에', '요즘', '역사', '란', '무엇', '인가', '를', '열심히', '읽고', '있는데', '책', '내용', '중', '에', '휘', '그', '적', '사고', '라는', '것', '이', '나오는데', '이', '게', '구체', '적', '으로', '어떤', '건지', '설명', '해주실수', '있나요', '토리당', '휘그당', '의', '그', '휘그당', '같은데', '정확하게', '설명', '이', '나와', '있는', '곳', '이', '없는', '것', '같아서', '질문', '드립니다', '귀찮게', '해서', '죄송합니다']	-3.154964054666539	-1.13
5	5	dXNRdoELCFw	감사합니다. 교수님 <br>매번 친절한 답변 다시 한번 감사드립니다. <br>언젠가 이 책을 봐야겠다 생각을 했으면서도 <br>손대지 못하다가 교수님 강의를 보다가 보게 되었습니다. <br>역사에 대한 지식이 부족해서 지금 몇번째 읽어보고 있는데 생각보다 이해가 되질 않는 <br>부분이 많아서 힘들었습니다. <br>인터넷 찾아보니까 나름 해설 비슷하게 해놓은것도 있는 것 같은데<br>그렇게접하기는 싫다보니 완전히 이해하기가 쉽질않네요. <br>&#39;역사란 현재와 과거 사이의 끊임없는 대화이다.&quot;가 제가 아는 카의 전부였는데<br>그게 이렇게 어려운 이야기 일 줄은 몰랐습니다. <br>강의 정말 잘 보고 있습니다. 덕분에 정말 많이 배우게 됩니다.	['감사합니다', '교수', '님', '매번', '친절한', '답변', '다시', '한번', '감사', '드립니다', '언젠가', '이', '책', '을', '봐야겠다', '생각', '을', '했으면서도', '손대지', '못', '하다가', '교수', '님', '강의', '를', '보다가', '보게', '되었습니다', '역사', '에', '대한', '지식', '이', '부족해서', '지금', '몇번', '째', '읽어', '보고', '있는데', '생각', '보다', '이해', '가', '되질', '않는', '부분', '이', '많아서', '힘들었습니다', '인터넷', '찾아보니까', '나름', '해설', '비슷하게', '해놓은', '것', '도', '있는', '것', '같은데', '그렇게', '접', '하기는', '싫다', '보니', '완전히', '이해', '하기가', '쉽질', '않네요', '39', '역사', '란', '현재', '와', '과거', '사이', '의', '끊임없는', '대화', '이다', 'quot', '가', '제', '가', '아는', '카', '의', '전부', '였는데', '그게', '이렇게', '어려운', '이야기', '일', '줄', '은', '몰랐습니다', '강의', '정말', '잘', '보고', '있습니다', '덕분', '에', '정말', '많이', '배우게', '됩니다']	-11.894770280813976	-3.91
6	6	dXNRdoELCFw	뜨아아악..... 무척 어려운 질문을 주셨군요ㅠㅠ 네, 짐작하신 대로 휘그적 사고라는 것은 영국의 토리당, 휘그당에서 따온게 맞습니다. 영국에서 시민 혁명이 일어난 후 역사관도 토리적 사관과 휘그적 사관으로 나뉘게 되는데요, 토리적 사관은 영국에서 발생한 시민 혁명에 대해 비판적인 견해를 제시한 사관이었습니다. 토리당은 기본적으로 혁명을 반란으로 규정하고 있었습니다(기본적으로 토리당 자체에는 왕당파가 좀 섞여있었지요) 마치 오늘날 5.18을 두고 민주화 운동이냐 폭동이냐로 논쟁하는 것과 비슷하다랄까요?<br><br>물론 토리적 사관은 19C에 휘그적 사관이 대두되면서 논파 되었고, 휘그적 사관에 의해 영국에서 있었던 시민 혁명은 본격적으로 혁명으로 대우를 받게 됩니다. 그런데 문제는 휘그적 사관 또한 한 가지 명확한 한계성을 가지고 있었는데, 바로 현재에 맞춰 과거를 해석하는 문제점이 있었지요.<br><br>무슨 이야기냐면 결과적으로 19C에 영국은 입헌군주제와 의회 민주주의가 정착된 상황이고 이것이 성공적이었다는 것을 인정한 상황입니다. 이러한 분위기에서 &quot;거봐 지금 우리가 성공한걸 보면 그 때 있었던 혁명은 옳은 선택이었다니까?&quot;라는 식의 논조가 성립되는 것이지요. 물론, 이게 정파적인 논리라면 이런 말도 가능은 하겠습니다만 역사라는 학문은 제가 누차 설명 드렸다시피 귀납법이 아닌 연역법적인 사고가 필수이입니다. 즉 원인을 찾고 그에 따른 과정과 결과를 도출해야 하는데, 휘그적 사관은 이미 이상적인 결과를 도출해놓고 거기에 끼워 맞춰 역사적 근거들을 물색하는 방식을 쓰는 거지요.<br><br>따라서 휘그적 사관은 1930년대 버터필드 교수가 저술한 &lt;휘그적인 역사해석&gt;이라는 논저에서 논파를 당하게 됩니다(아마 이건 책에도 씌여있는 말일겁니다^^) 물론 그렇다고 해서 영국 사람들이 시민 혁명을 부정하는건 아닙니다. 하지만 현재 결과가 좋았다고 과정도 무조건 다 좋았냐는건 좀 별개의 문제지요. 적어도 버터필드 교수의 논파로 사람들이 역사를 결과론적으로 해석하는 것은 문제가 있다는 인식은 갖게 되었습니다.<br><br>설명이 충분했는지 잘 모르겠습니다만 대략 요약하면 &quot;휘그적 사관은 현재의 결과를 토대로 과거의 역사를 짜맞추기로 해석하는 방식&quot;이라고 보시면 됩니다. 그리고 EH.카는 과거의 입장에서 과거를 이해해야 진정한 역사를 알 수 있고 그 방법을 바로 과거의 역사적 사실에 대해 끊임 없이 왜? 라고 묻는 것이라고 했던 것입니다^^	['뜨아', '아악', '무척', '어려운', '질문', '을', '주셨군요', '네', '짐작', '하신', '대로', '휘', '그', '적', '사고', '라는', '것', '은', '영국', '의', '토리당', '휘그당', '에서', '따온게', '맞습니다', '영국', '에서', '시민', '혁명', '이', '일어난', '후', '역사관', '도', '토리', '적', '사관', '과', '휘', '그', '적', '사관', '으로', '나뉘게', '되는데요', '토리', '적', '사관', '은', '영국', '에서', '발생', '한', '시민', '혁명', '에', '대해', '비판', '적', '인', '견해', '를', '제시', '한', '사관', '이었습니다', '토리당', '은', '기본', '적', '으로', '혁명', '을', '반란', '으로', '규정', '하고', '있었습니다', '기본', '적', '으로', '토리당', '자체', '에는', '왕당파', '가', '좀', '섞여있었지요', '마치', '오늘날', '518', '을', '두고', '민주화', '운동', '이냐', '폭동', '이냐', '로', '논쟁', '하는', '것', '과', '비슷하다', '랄', '까요', '물론', '토리', '적', '사관', '은', '19', 'C', '에', '휘', '그', '적', '사관', '이', '대두', '되면서', '논파', '되었고', '휘', '그', '적', '사관', '에', '의해', '영국', '에서', '있었던', '시민', '혁명', '은', '본격', '적', '으로', '혁명', '으로', '대우', '를', '받게', '됩니다', '그런데', '문제', '는', '휘', '그', '적', '사관', '또한', '한', '가지', '명확한', '한계', '성', '을', '가지', '고', '있었는데', '바로', '현재', '에', '맞춰', '과거', '를', '해석', '하는', '문제점', '이', '있었지요', '무슨', '이야기', '냐', '면', '결과', '적', '으로', '19', 'C', '에', '영국', '은', '입헌군주제', '와', '의회', '민주주의', '가', '정착', '된', '상황', '이고', '이', '것', '이', '성공', '적', '이었다는', '것', '을', '인정', '한', '상황', '입니다', '이러한', '분위기', '에서', 'quot', '거', '봐', '지금', '우리', '가', '성공한', '걸', '보면', '그', '때', '있었던', '혁명', '은', '옳은', '선택', '이었다니까', 'quot', '라는', '식', '의', '논', '조가', '성립', '되는', '것', '이지', '요', '물론', '이', '게', '정', '파적', '인', '논리', '라면', '이런', '말', '도', '가능', '은', '하겠습니다만', '역사', '라는', '학문', '은', '제', '가', '누차', '설명', '드렸다시피', '귀납법', '이', '아닌', '연역법', '적', '인', '사고', '가', '필수', '이', '입니다', '즉', '원인', '을', '찾고', '그', '에', '따른', '과정', '과', '결과', '를', '도출', '해야', '하는데', '휘', '그', '적', '사관', '은', '이미', '이상', '적', '인', '결과', '를', '도출', '해놓고', '거기', '에', '끼워', '맞춰', '역사', '적', '근거', '들', '을', '물색', '하', '는', '방식', '을', '쓰는', '거지', '요', '따라서', '휘', '그', '적', '사관', '은', '1930년', '대', '버터', '필드', '교수', '가', '저술', '한', 'lt', '휘', '그', '적', '인', '역사', '해석', 'gt', '이라는', '논저', '에서', '논파', '를', '당하게', '됩니다', '아마', '이건', '책', '에도', '씌', '여', '있는', '말일', '겁니다', '물론', '그렇다고', '해서', '영국', '사람', '들', '이', '시민', '혁명', '을', '부정', '하는건', '아닙니다', '하지만', '현재', '결과', '가', '좋았다고', '과정', '도', '무조건', '다', '좋았냐는', '건', '좀', '별개', '의', '문', '제지', '요', '적어도', '버터', '필드', '교수', '의', '논', '파로', '사람', '들', '이', '역사', '를', '결과', '론', '적', '으로', '해석', '하는', '것', '은', '문제', '가', '있다는', '인식', '은', '갖게', '되었습니다', '설명', '이', '충분했는지', '잘', '모르겠습니다만', '대략', '요약', '하면', 'quot', '휘', '그', '적', '사관', '은', '현재', '의', '결과', '를', '토대', '로', '과거', '의', '역사', '를', '짜', '맞추기로', '해석', '하는', '방식', 'quot', '이라고', '보시', '면', '됩니다', '그리고', 'EH', '카', '는', '과거', '의', '입장', '에서', '과거', '를', '이해해', '야', '진정한', '역사', '를', '알', '수', '있고', '그', '방법', '을', '바로', '과거', '의', '역사', '적', '사실', '에', '대해', '끊', '임', '없이', '왜', '라고', '묻는', '것', '이라고', '했던', '것', '입니다']	-55.96264726409374	-15.19
7	7	dXNRdoELCFw	좋은 영상 고맙습니다. 이상한 댓글들도 많이 보이는데<br>상처받지 마시길 바랍니다!<br>정말 재밌게 봤어요~	['좋은', '영상', '고맙습니다', '이상한', '댓글', '들', '도', '많이', '보이는데', '상처', '받지', '마시길', '바랍니다', '정말', '재밌게', '봤어요']	0.7279738801379299	0.33
8	8	dXNRdoELCFw	뭐... 이젠 일상입니다ㅋㅋ	['뭐', '이', '젠', '일상', '입니다']	-0.4591887799520665	-0.27
9	9	dXNRdoELCFw	언제 이전한거 다시보냐 ㅜㅜ	['언제', '이', '전', '한', '거', '다시', '보냐']	-0.08086983423715223	-0.04
