	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	GxxVydVFsjE	"직접 부른겁니다!! 구독해 주세요~!!<br>공지사항과 음원 다운로드는 &#39;자세히 보기&#39; 클릭!<br>↓↓↓↓(음원다운)↓↓↓↓<br><a href=""https://marshmelody.net/view/2017062966787"">https://marshmelody.net/view/2017062966787</a><br><br>제가 너의 이름은 더빙도 해봤습니다!<br><a href=""https://www.youtube.com/watch?v=vTNofba5A6I"">https://www.youtube.com/watch?v=vTNofba5A6I</a><br><br>마지막으로 자주 물어보시는 질문에 관한 답볍입니다!<br><br>1. 다른 너의 이름은 ost도 부르시나요?<br>- 넵, 제작중에 있습니다! <br>아무것도 아니야 &amp; 스파클을 제작중입니다.<br>(아무것도 아니야는 2월안에 업로드 될 예정입니다)<br><br>2. 번역이 틀린거 아닌가요?<br>- 버터플라이 한국판을 생각 하시면 편하실 것 같습니다.<br>원곡에서 키워드만 가지고 오고 싹다 제 나름의 색깔로 리메이크 하는것이죠 ㅎㅎ<br>전세라는 말은 한국에서 안쓰이는 말이라 의미가 같은 전생으로 바꾸기도 했습니다!<br>노래를 굳이 직역 할 필요가 없다고 생각합니다. <br>소설이라면 모를까 노래를 &#39;번역&#39; 할 이유는 없는 것 같습니다.<br>지금까지 한글화 한 노래들도 그랬고 앞으로 나올 노래들도 <br>원곡 가사에서 키워드만 따오고 가사들은 제가 쓰고 싶은데로 쓸겁니다!<br>(원곡 파괴라고 하셔도 제가 할말은 없습니다)<br><br>3.  개사를 사용하거나 음원을 사용해도 될까요?<br>- 넵, 출처만 잘 남겨주신다면 얼마든지 사용하셔도 좋습니다~"	['직접', '부른', '겁니다', '구독', '해', '주세요', '공지', '사항', '과', '음원', '다운로드', '는', '39', '자세히', '보기', '39', '클릭', '음원', '다운', 'httpsmarshmelodynetview', '2017062966787', '제', '가', '너', '의', '이름', '은', '더빙', '도', '해봤습니다', 'httpswwwyoutubecomwatchvvTNofba', '5', 'A', '6', 'I', '마지막', '으로', '자주', '물어보시는', '질문', '에', '관', '한', '답볍입니', '다', '1', '다른', '너', '의', '이름', '은', 'ost', '도', '부르시나요', '넵', '제작', '중', '에', '있습니다', '아무', '것', '도', '아니야', 'amp', '스파', '클을', '제작', '중', '입니다', '아무', '것', '도', '아니야는', '2월', '안에', '업로드', '될', '예정', '입니다', '2', '번역', '이', '틀린거', '아닌가요', '버터플라이', '한국판', '을', '생각', '하시면', '편하실', '것', '같습니다', '원', '곡', '에서', '키', '워드', '만', '가지', '고', '오고', '싹', '다', '제', '나름', '의', '색깔', '로', '리메이크', '하는것이죠', '전세', '라는', '말', '은', '한국', '에서', '안', '쓰이는', '말', '이라', '의미', '가', '같은', '전생', '으로', '바꾸기도', '했습니다', '노래', '를', '굳이', '직역', '할', '필요', '가', '없다고', '생각', '합니다', '소설', '이', '라면', '모를까', '노래', '를', '39', '번역', '39', '할', '이유', '는', '없는', '것', '같습니다', '지금', '까지', '한글화', '한', '노래', '들', '도', '그랬고', '앞', '으로', '나올', '노래', '들', '도', '원', '곡', '가사', '에서', '키', '워드', '만', '따오고', '가사', '들', '은', '제', '가', '쓰고', '싶은데로', '쓸', '겁니다', '원', '곡', '파괴', '라고', '하셔도', '제', '가', '할말은', '없습니다', '3', '개사', '를', '사용', '하', '거나', '음원', '을', '사용', '해도', '될까', '요', '넵', '출처', '만', '잘', '남겨', '주신다면', '얼마', '든지', '사용', '하셔도', '좋습니다']	33.32609779586203	10.0
1	1	GxxVydVFsjE	노래 개좋다	['노래', '개', '좋다']	2.9016822269826044	1.96
2	2	GxxVydVFsjE	이노래 취향저격!!!	['이노', '래', '취향', '저격']	1.0494088528019816	0.66
3	3	GxxVydVFsjE	이츠라님, 제가 친구랑 전전전세 부르려는데 일본어가 좀 어려워서 한국어로 찾고 있었는데 개사지만 부르기도 편하고 딱 좋아요! 그래서 혹시 부를 때 이 가사를 써도 괜찮을까요?	['이츠라님', '제', '가', '친구', '랑', '전전', '전세', '부르려는데', '일본어', '가', '좀', '어려워서', '한국어', '로', '찾고', '있었는데', '개사', '지만', '부르', '기도', '편하고', '딱', '좋아요', '그래서', '혹시', '부를', '때', '이', '가사', '를', '써도', '괜찮을까요']	11.27334243594284	4.5
4	4	GxxVydVFsjE	네 알겠습니다^^	['네', '알겠습니다']	0.0	0.0
5	5	GxxVydVFsjE	소녀 tv 겜소녀 댓글창 상단에 고정한 공지댓글을 참고해 주세요~	['소녀', 'tv', '겜', '소녀', '댓글', '창', '상단', '에', '고정', '한', '공', '지', '댓글', '을', '참고', '해', '주세요']	-8.53307629966201	-3.83
6	6	GxxVydVFsjE	굿굿	['굿굿']	0.0	0.0
7	7	GxxVydVFsjE	고 민tv good!	['고', '민', 'tv', 'good']	0.0	0.0
8	8	GxxVydVFsjE	계사 겁나 잘했다 ㄷㄷ	['계사', '겁나', '잘', '했다']	2.0494088528019816	1.28
9	9	GxxVydVFsjE	계사 겁나 잘했다 ㄷㄷ	['계사', '겁나', '잘', '했다']	2.0494088528019816	1.28
