	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	DiGfRDKmtLQ	잘 보았습니다. 열쇠를 잃어버려서....그냥 잠겨있는 자물통이 있는데....잘 활용해 보겠습니다. ^^	['잘', '보았습니다', '열쇠', '를', '잃어버려서', '그냥', '잠겨있는', '자물통', '이', '있는데잘', '활용', '해', '보겠습니다']	-4.627758630048025	-2.19
1	1	DiGfRDKmtLQ	+ho gu “ho gu ob ppa” lee 네, 도움이 되셨으면 합니다. 감사합니다 :)	['ho', 'gu', 'ho', 'gu', 'ob', 'ppa', 'lee', '네', '도움', '이', '되셨으면', '합니다', '감사합니다']	0.8212366952420082	0.39
2	2	DiGfRDKmtLQ	샤이니 만능열쇠키~	['샤이니', '만능', '열쇠', '키']	0.16790648152717869	0.1
3	3	DiGfRDKmtLQ	신기하네요	['신기하네요']	0.0	0.0
4	4	DiGfRDKmtLQ	예전어릴때 손톱깝기에 칼달린거 그칼로 두번째 영상 나온 열쇠 열어봤는데 ~초중딩때 진짜 잘열림ㅡㅡ	['예전', '어릴', '때', '손톱', '깝기', '에', '칼', '달린거', '그', '칼', '로', '두번째', '영상', '나온', '열쇠', '열어', '봤는데', '초', '중딩', '때', '진짜', '잘', '열림']	2.734569504516557	1.16
5	5	DiGfRDKmtLQ	악용금지!!	['악용', '금지']	0.0	0.0
6	6	DiGfRDKmtLQ	저...실톱같은게 없는데<br>어떻게 자르나요?	['저', '실톱', '같은게', '없는데', '어떻게', '자르나요']	0.0649574661674055	0.04
7	7	DiGfRDKmtLQ	참 좋았읍니다	['참', '좋았', '읍니', '다']	0.0	0.0
8	8	DiGfRDKmtLQ	참 좋은 꿀팁입니다	['참', '좋은', '꿀팁', '입니다']	2.1679064815271785	1.35
9	9	DiGfRDKmtLQ	+안형준 칭찬 감사합니다 :)	['안형준', '칭찬', '감사합니다']	2.1679064815271785	1.47
10	10	DiGfRDKmtLQ	와‥감사합니다 자전거가 창고에 들어가있었는대 <br>키를 잃어 버렸거든요‥ㅠㅜ <br>이번에 자물쇠 땟어요ㅠㅜ 감사합니다<br>악용은 하지 않겠습니다	['와', '감사합니다', '자전거', '가', '창고', '에', '들어가있었는대', '키', '를', '잃어', '버렸거든요', '이번', '에', '자물쇠', '땟어', '요', '감사합니다', '악용', '은', '하지', '않겠습니다']	0.3779983268522293	0.16
11	11	DiGfRDKmtLQ	철봉티비 감사합니다ㅠㅜ	['철봉', '티비', '감사합니다']	0.16790648152717869	0.11
12	12	DiGfRDKmtLQ	+매론맛 요거트- - 도움이 되셨다니 다행입니다 :)	['매', '론맛', '요거트', '도움', '이', '되셨다니', '다행', '입니다']	1.167906481527179	0.61
13	13	DiGfRDKmtLQ	섬낼 자물쇠 이쁨	['섬낼', '자물쇠', '이쁨']	0.0	0.0
14	14	DiGfRDKmtLQ	그거불법아니야?........	['그거', '불법', '아', '니야']	-1.561238021585872	-0.97
15	15	DiGfRDKmtLQ	이선옥 그딴법 없어요~	['이선옥', '그딴', '법', '없어요']	-0.9693967944137296	-0.61
16	16	DiGfRDKmtLQ	나이거 클립으로 땀 ㅋㅋ	['나이', '거', '클립', '으로', '땀']	-0.4595899806378986	-0.27
17	17	DiGfRDKmtLQ	통자물쇠같은거 딸때는 엄청 유용하겠네요 그놈은 절단도 안되니 ㅋㅋㅋㅋ	['통', '자물쇠', '같은거', '딸때', '는', '엄청', '유용하겠네요', '그', '놈', '은', '절단', '도', '안되니']	1.0306032055862704	0.49
18	18	DiGfRDKmtLQ	투명자물쇠그거 4만원 넘는거 그거인가요? 더산거없나영?	['투명', '자물쇠', '그거', '4만원', '넘는거', '그거', '인가요', '더', '산거', '없', '나영']	0.4387619784141281	0.21
19	19	DiGfRDKmtLQ	+볼링소년 인터넷에서 최저가 만원 정도면 구매 가능 하실겁니다. 락픽 도구와 함께 파는 세트 상품을 보신것 같습니다 :)	['볼링', '소년', '인터넷', '에서', '최저', '가', '만원', '정도', '면', '구매', '가능', '하실', '겁니다', '락픽', '도구', '와', '함께', '파는', '세트', '상품', '을', '보신것', '같습니다']	2.683185785970293	1.14
20	20	DiGfRDKmtLQ	자동차문도 가능한가요?	['자동차', '문도', '가능한가요']	0.0	0.0
21	21	DiGfRDKmtLQ	이상훈 열쇠로 열수이습니다.	['이상훈', '열쇠', '로', '열수이습니다']	0.16790648152717869	0.1
22	22	DiGfRDKmtLQ	이모빌라이저(키보안)가 내장된 건 불가능 한걸로 알고 있습니다 :)	['이', '모', '빌라이', '저', '키', '보안', '가', '내장', '된', '건', '불가능', '한', '걸', '로', '알', '고', '있습니다']	-0.2746065518818165	-0.12
23	23	DiGfRDKmtLQ	와이퍼를 대신할 수 있는것이 있을까요!	['와이퍼', '를', '대신', '할', '수', '있는것이', '있을까요']	0.0	0.0
24	24	DiGfRDKmtLQ	+Toast _Meat 안녕하세요? 락픽시리즈 4편에서 답을 찾으실 수 있을겁니다. 감사합니다 :)	['Toast', 'Meat', '안녕하세요', '락', '픽시', '리즈', '4', '편', '에서', '답', '을', '찾으실', '수', '있을', '겁니다', '감사합니다']	-0.19270678415212106	-0.09
25	25	DiGfRDKmtLQ	아... 이렇게 하는거구나 ㄷㄷ	['아', '이렇게', '하는거구나']	0.8205113602612222	0.56
26	26	DiGfRDKmtLQ	저걸로집문따볼께여ㅎㅎ	['저걸', '로', '집문', '따', '볼께여']	0.0	0.0
27	27	DiGfRDKmtLQ	걍 범프 키 써야지	['걍', '범프', '키', '써야지']	0.0	0.0
28	28	DiGfRDKmtLQ	와이퍼 하나살빠엔 그냥 자물쇠부스고 한개살듯	['와이퍼', '하나살빠', '엔', '그냥', '자물쇠', '부스', '고', '한개', '살듯']	-0.4027763311271513	-0.21
29	29	DiGfRDKmtLQ	승우 싸우는거 아닙니다 괜찮아요!	['승', '우', '싸우는거', '아닙니다', '괜찮아요']	-0.4846983972068648	-0.29
30	30	DiGfRDKmtLQ	이런걸로 싸우지마세요 죄송합니다	['이런', '걸', '로', '싸우지마', '세', '요', '죄송합니다']	-3.2824376550985512	-1.78
31	31	DiGfRDKmtLQ	완존 도둑놈이네..  다 털어가것다	['완존', '도둑', '놈', '이네', '다', '털어가것다']	-0.8320935184728213	-0.47
32	32	DiGfRDKmtLQ	@이광철 ㅋㅋ 도둑심보 누구안주노	['이광철', '도둑', '심보', '누구', '안주', '노']	-2.789908154674952	-1.57
33	33	DiGfRDKmtLQ	철봉티비 이미 보고 배웠음.  언제가는 털어야지..  ㅋㅋㅋ	['철봉', '티비', '이미', '보고', '배웠음', '언제', '가는', '털어야지']	0.16790648152717869	0.09
