	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	kMpdOCHuy8o	와...모아나 처음에 학교에서 틀어줬을때 뭐야 저 듣보는 하고잤는데 여기서 나는 모아나!하고 노래하는부분에서 진짜 소름이 쫙돋음...ㄹㅇ 진짜 ㅜㅜㅠㅜㅠㅠ	['와', '모아나', '처음', '에', '학교', '에서', '틀어줬을', '때', '뭐', '야', '저', '듣보는', '하고', '잤는데', '여기', '서', '나', '는', '모아나하고', '노래', '하는', '부분', '에서', '진짜', '소름', '이', '쫙', '돋음', '진짜']	-6.438642202907438	-2.61
1	1	kMpdOCHuy8o	"<a href=""http://www.youtube.com/watch?v=kMpdOCHuy8o&amp;t=3m41s"">3:41</a>  라푼젤출연"	['341', '라푼젤', '출연']	-0.2682250221800304	-0.18
2	2	kMpdOCHuy8o	헐 안나 나올때 라푼젤부부 나온다	['헐', '안나', '나올', '때', '라푼젤', '부부', '나온다']	-1.097695686674129	-0.59
3	3	kMpdOCHuy8o	모아나는 예뺘서 부럽고 수영잘해서부럽고 노래 잘불러서 부러움	['모아나는', '예뺘', '서', '부럽고', '수영', '잘', '해서', '부럽고', '노래', '잘불러서', '부러', '움']	1.0215059793129695	0.49
4	4	kMpdOCHuy8o	모아나는 진심 한국이 잘부른듯	['모아나는', '진심', '한국', '이', '잘', '부른듯']	0.9580656812705496	0.54
5	5	kMpdOCHuy8o	모아나 노래는 지금까지 디즈니 노래 중에 제일 좋은거같아요! 더빙 노래들은 대부분 듣기 좋지 않은데 모아나는 더빙 노래도 엄청 좋아용	['모아나', '노래', '는', '지금', '까지', '디즈니', '노래', '중', '에', '제일', '좋은', '거', '같아요', '더빙', '노래', '들', '은', '대부분', '듣기', '좋지', '않은데', '모아나는', '더빙', '노래', '도', '엄청', '좋아용']	4.470000897822996	1.84
6	6	kMpdOCHuy8o	도깨비님 티비로 잘봤습니다 제가 도깨비님을 티비로볼줄은 상상도 못했는데 대단하시데요	['도깨비', '님', '티비', '로', '잘', '봤습니다', '제', '가', '도깨비', '님', '을', '티비', '로', '볼줄은', '상상', '도', '못', '했는데', '대단하시데요']	3.7131648551271312	1.63
7	7	kMpdOCHuy8o	모아나보고 않좋다는 사람솔찍히 이해안감	['모아나', '보고', '않', '좋다는', '사람', '솔', '찍히', '이해', '안감']	-0.3700608751475385	-0.19
8	8	kMpdOCHuy8o	영화관에서  I&#39;m moana!! 라고할때눈에서땀남ㅠㅠ	['영화관', '에서', 'I', '39', 'm', 'moana', '라고', '할', '때눈', '에서', '땀남']	0.2055792665100024	0.1
9	9	kMpdOCHuy8o	미녀와 야수 파주영어캠프에서 뮤지컬로 봤는데 벨좋아하는남자에게 완전 웃긴옷을 입힘ㅋㅋㅋ (코쟁이안경은 덤)	['미녀', '와', '야수', '파주', '영어', '캠프', '에서', '뮤지컬', '로', '봤는데', '벨', '좋아하는', '남자에게', '완전', '웃긴', '옷', '을', '입힘', '코', '쟁이', '안경', '은', '덤']	4.202547969867686	1.78
10	10	kMpdOCHuy8o	"<a href=""http://www.youtube.com/watch?v=kMpdOCHuy8o&amp;t=3m41s"">3:41</a>에 라푼젤 나만 보임?"	['341', '에', '라푼젤', '나', '만', '보임']	-0.8849404289800689	-0.5
11	11	kMpdOCHuy8o	모아나 못생겼단  사람 지 얼굴보삼 ㅋㅋㅋ<br>나:거울보는중<br>나:거울안에 오징어가 있따 ㅎ 배고파	['모아나', '못', '생겼단', '사람', '지', '얼굴', '보삼', '나거', '울보', '는', '중', '나', '거울', '안', '에', '오징어', '가', '있', '따', '배고파']	-2.1101823427432285	-0.92
12	12	kMpdOCHuy8o	디즈니 노래 대부분 너무 명곡이많음 <br>렛잇고부터 모아나 나언젠가 떠날거야 등등 너무 내취향이고 중독성 쩜	['디즈니', '노래', '대부분', '너무', '명곡', '이', '많음', '렛잇고', '부터', '모아나', '나', '언젠가', '떠날거야', '등등', '너무', '내', '취향', '이고', '중독', '성', '쩜']	-2.8196228465170687	-1.21
13	13	kMpdOCHuy8o	저거 거꾸로 된 물음표가 아니라 마우이 갈고리 아닌가염...? 기분 나쁘셨으면 죄송합니다...ㅠ	['저', '거', '거꾸로', '된', '물음표', '가', '아니라', '마우이', '갈고리', '아닌', '가염', '기분', '나쁘셨으면', '죄송합니다']	-3.832782336054315	-1.79
14	14	kMpdOCHuy8o	우와 미녀와 야수까지	['우와', '미녀', '와', '야수', '까지']	0.2766637380810553	0.16
15	15	kMpdOCHuy8o	재가 좋아하는 모아나 노래내용~♡♡♡	['재', '가', '좋아하는', '모아나', '노래', '내용']	2.0846631798312902	1.17
16	16	kMpdOCHuy8o	라푼젤 안나가 태어나서 처음으로 궁전에서 나옴	['라푼젤', '안나', '가', '태어나서', '처음', '으로', '궁전', '에서', '나옴']	-0.9742522578628976	-0.5
17	17	kMpdOCHuy8o	맨날겨울왕국조아햇는데 ,모아나보고 취양바 끔	['맨날', '겨울왕국', '조', '아', '햇', '는데', '모아나', '보고', '취양바', '끔']	-0.06264575567002817	-0.03
18	18	kMpdOCHuy8o	모아나 노래 개취적	['모아나', '노래', '개취', '적']	0.08466317983129024	0.05
19	19	kMpdOCHuy8o	썸넬 라그나로스인가?	['썸넬', '라그', '나', '로스', '인가']	-0.17766944565539822	-0.1
20	20	kMpdOCHuy8o	왜나데노~	['왜', '나데노']	0.0	0.0
21	21	kMpdOCHuy8o	모아나VS엘사 (안나)  노래배틀!!!!!  승자는??????  나는 모아나!!!	['모아나', 'VS', '엘사', '안나', '노래', '배틀', '승자', '는', '나', '는', '모아나']	0.04272886110183993	0.02
22	22	kMpdOCHuy8o	3분 40초에 라푼젤이 나와여...후덜덜	['3분', '40초', '에', '라푼젤', '이', '나와', '여후', '덜덜']	-0.2682250221800304	-0.14
23	23	kMpdOCHuy8o	여기겨울왕국에서 라푼젤나온다!!	['여기', '겨울왕국', '에서', '라푼젤', '나온다']	-2.3846884214858006	-1.4
24	24	kMpdOCHuy8o	아 모아나 노래 진짜 좋아요!~감동😢	['아', '모아나', '노래', '진짜', '좋아요', '감동']	2.266581738334203	1.27
25	25	kMpdOCHuy8o	너무나도 감동	['너무나도', '감동']	2.0	1.54
26	26	kMpdOCHuy8o	"<a href=""http://www.youtube.com/watch?v=kMpdOCHuy8o&amp;t=3m40s"">3:40</a>초 라푼젤 ㅋㅋㅋㅋㅋㅋㅋ"	['340초', '라푼젤']	-0.2682250221800304	-0.21
27	27	kMpdOCHuy8o	모아나 노래 겁나 좋아.... 와	['모아나', '노래', '겁나', '좋아', '와']	1.7152056358465573	1.01
28	28	kMpdOCHuy8o	모아나 봤는데 노래가 아주 소름돋음.. 그다음 말은 삼과하겠다	['모아나', '봤는데', '노래', '가', '아주', '소름', '돋음', '그다음', '말', '은', '삼', '과', '하겠다']	-4.832714421056847	-2.29
29	29	kMpdOCHuy8o	"<a href=""http://www.youtube.com/watch?v=kMpdOCHuy8o&amp;t=3m40s"">3:40</a>초에<br>라푼젤..?"	['340초', '에라푼젤']	0.0	0.0
30	30	kMpdOCHuy8o	모아나 못봤는데..ㅠㅠ 내용을 알게 되었어<br>....답글 달지마세요ㅜㅠ	['모아나', '못', '봤는데', '내용', '을', '알', '게', '되었어답', '글', '달', '지', '마세요']	-0.9171218784639924	-0.44
31	31	kMpdOCHuy8o	모아나옷안졌나요?	['모아나', '옷', '안졌나요']	0.00025572242414528823	0.0
32	32	kMpdOCHuy8o	모아나는 노래 진짜 ㄹㅇ 명곡 하루만에다외울정도..	['모아나는', '노래', '진짜', '명곡', '하루', '만', '에다', '외울', '정도']	-0.05795197767336412	-0.03
33	33	kMpdOCHuy8o	엘사 옷뀌기전에 머리앞으로 넘길떄 어깨관통	['엘사', '옷뀌기전', '에', '머리', '앞', '으로', '넘길떄', '어깨', '관통']	-0.13091866311900735	-0.07
34	34	kMpdOCHuy8o	노래 만점	['노래', '만점']	-0.5323079493928935	-0.41
35	35	kMpdOCHuy8o	좀그레요무서윤며서	['좀', '그', '레', '요', '무', '서윤', '며', '서']	0.0	0.0
36	36	kMpdOCHuy8o	으	['으']	0.0	0.0
