	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	1A0pgvf3UK8	이전 미이라보다 못함 영화관에서보고 후회함	['이전', '미이라', '보다', '못', '함', '영화관', '에서', '보고', '후회', '함']	-3.7083273417997686	-1.85
1	1	1A0pgvf3UK8	리뷰 내용중 조금 잘못된 부분이 있네요. 박사가  세트를 굳이 불러내려고 한것은 산자의 몸에 부활시켜 완전히 죽이려는 이유를 갖고있었기때문이고 그로인해 여주인공이 박사과 언쟁을 나누는 부분도 나옵니다. 주인공이 희생양으로서 묘사되는 대화도 나누고요 .	['리뷰', '내용', '중', '조금', '잘', '못', '된', '부분', '이', '있네요', '박사', '가', '세트', '를', '굳이', '불러내려고', '한', '것', '은', '산자', '의', '몸', '에', '부활', '시켜', '완전히', '죽이려는', '이유', '를', '갖고있었기', '때문', '이고', '그로', '인해', '여', '주인공', '이', '박사', '과', '언쟁', '을', '나누는', '부분', '도', '나옵니다', '주인공', '이', '희생양', '으로서', '묘사', '되는', '대화', '도', '나누고요']	-3.982659125820621	-1.46
2	2	1A0pgvf3UK8	아마네트와 계약했기때문에 수천년간 나오지 못했던거고 아마네트는 그동안 죽은게아니라 산채로 봉인당했던겁니다. 아마네트가 죽게된다면 다시 누군가와의 계약을 통해 다시 나타날수 있으니 주인공을 이용하려한것이죠.	['아마', '네트', '와', '계약', '했기', '때문', '에', '수', '천년', '간', '나오지', '못', '했던거고', '아마', '네트', '는', '그동안', '죽은게', '아니라', '산채', '로', '봉인', '당했던', '겁니다', '아마', '네트', '가', '죽게', '된다면', '다시', '누군가', '와의', '계약', '을', '통해', '다시', '나타날수', '있으니', '주인공', '을', '이용', '하려', '한', '것', '이', '죠']	-9.580229148442957	-3.6
3	3	1A0pgvf3UK8	별로라고 생각하지 않는다.<br>우리나라에는 &#39;리얼&#39; 이라는 영화가 있다.	['별로', '라고', '생각', '하지', '않는다', '우리나라', '에는', '39', '리얼', '39', '이라는', '영화', '가', '있다']	-1.816446177125521	-0.85
4	4	1A0pgvf3UK8	미이라 정말 제 인생작 ..너무ㅜ재밋었는데ㅜㅜㅜ	['미이라', '정말', '제', '인생', '작', '너', '무재', '밋었', '는데']	-0.8870660308590941	-0.45
5	5	1A0pgvf3UK8	마지막 bgm이 워3 호드노래군요!!	['마지막', 'bgm', '이', '워', '3', '호드', '노래군요']	-0.36646867478489203	-0.2
6	6	1A0pgvf3UK8	리뷰를 보니 어떤 망작일까 더 궁금하네요 ㅋㅋ	['리뷰', '를', '보니', '어떤', '망', '작일', '까', '더', '궁금하네요']	-1.1709101191318003	-0.6
7	7	1A0pgvf3UK8	그냥 주관임	['그냥', '주관', '임']	-1.146681823676832	-0.78
8	8	1A0pgvf3UK8	미이라안봣는데 그래도트랜스포머보단더하겠습니까	['미이라', '안봣', '는데', '그래도', '트랜스포머', '보단', '더하겠습니까']	-0.5305842798069594	-0.29
9	9	1A0pgvf3UK8	이거 예고편보고 기대 엄청 했는데 그냥 예고편 그대로임 별거 없음 그냥 영화만 보면 괜찮은데 예고편으로 사란들 나무 기대하게 해서 그런듯	['이', '거', '예고편', '보고', '기대', '엄청', '했는데', '그냥', '예고편', '그대로', '임', '별거', '없음', '그냥', '영화', '만', '보면', '괜찮은데', '예고편', '으로', '사', '란', '들', '나무', '기대하게', '해서', '그런듯']	0.4338865518212933	0.18
10	10	1A0pgvf3UK8	영화 리뷰 못봐주겠다 톰이 루시퍼(세트)를 정신력으로만 극복한게 아니지 단검에 나오는 보석이 죽음의신과의 연결고리고 가장 중요한 설정을 가짐 또한 단검없는 보석으로 세트를 강림시킬수 없었음 하지민 톰은 아마네트랑 싸우는도중 보석에 금이갈정도로 내려찍음 그래서 죽음의신의 힘이 약해진거 그렇기때문에 톰은 반신 빈인이 된걸수도 있고 아직 세트릉 완벽하게 제어를 하지못하고 오락가락 하는 모습도 보여줌 영화리뷰할거면 떡밥부터 잘 챙겨봐라	['영화', '리뷰', '못', '봐주겠다', '톰', '이', '루시퍼', '세트', '를', '정신', '력', '으로만', '극복', '한', '게', '아니지', '단검', '에', '나오는', '보석', '이', '죽음', '의', '신', '과의', '연결고리', '고', '가장', '중요한', '설정', '을', '가짐', '또한', '단검', '없는', '보석', '으로', '세트', '를', '강림', '시킬수', '없었음', '하', '지민', '톰', '은', '아마', '네트', '랑', '싸우는', '도중', '보석', '에', '금', '이', '갈', '정도', '로', '내려', '찍음', '그래서', '죽음', '의', '신의', '힘', '이', '약해진거', '그렇기', '때문', '에', '톰', '은', '반신', '빈인이', '된', '걸수도', '있고', '아직', '세트', '릉', '완벽하게', '제어', '를', '하지못하고', '오락가락', '하는', '모습', '도', '보여줌', '영화리뷰', '할거면', '떡밥', '부터', '잘', '챙겨', '봐라']	-24.751356669389924	-8.3
11	11	1A0pgvf3UK8	쓸데없이 놀래키는호러장면은 많기만하고 시바꺼 재미도없고 몰입도안되서 끔찍했던영화<br>그래도 제일좋았던거 과거회상때 아마네트랑 현재의 아마네트가 너무섹시해서좋았다	['쓸데없이', '놀래', '키', '는', '호러', '장면', '은', '많', '기만', '하고', '시바', '꺼', '재미', '도', '없고', '몰입도', '안되서', '끔찍했던', '영화', '그래도', '제일', '좋았던거', '과거', '회상', '때', '아마', '네트', '랑', '현재', '의', '아마', '네트', '가', '너무', '섹시해서', '좋았다']	-10.071729321677934	-3.94
