	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	RrjdzzZmpak	이새끼 차단해도 떠 이도저이닌 새끼가<br>연애인병 처걸려서 ㅂㅅ	['이', '새끼', '차단', '해도', '떠', '이도', '저', '이', '닌', '새끼', '가', '연애', '인', '병', '처', '걸려서']	-2.6794160929396247	-1.22
1	1	RrjdzzZmpak	난 재밌게 잘 봄	['난', '재밌게', '잘', '봄']	1.0	0.62
2	2	RrjdzzZmpak	불륜을 로맨스로 만드네  저걸만든의도가 뭐야  바람피란얘기야?	['불륜', '을', '로맨스', '로', '만드', '네', '저걸', '만', '든', '의도', '가', '뭐', '야', '바람', '피란', '얘기', '야']	-0.3142440306052696	-0.14
3	3	RrjdzzZmpak	웃자고 만든영화를 다큐로 까고있네 ~이영화 돈주고 본사람들 바보된듯한 평가	['웃자고', '만든', '영화', '를', '다큐', '로', '까고있네', '이영화', '돈', '주고', '본', '사람', '들', '바보', '된듯', '한', '평가']	-6.372091313039506	-2.86
4	4	RrjdzzZmpak	궁합 리뷰해주세요!	['궁합', '리뷰', '해주세요']	0.6375626953589241	0.43
5	5	RrjdzzZmpak	저도 진짜 이 영화를 왜 만들었는지 남자친구랑 한참을 의논하게해준 영화에욬ㅋㅋ	['저', '도', '진짜', '이', '영화', '를', '왜', '만들었는지', '남자친구', '랑', '한참', '을', '의논', '하게', '해준', '영화', '에', '욬']	0.6719871204219863	0.3
6	6	RrjdzzZmpak	그래서  배드신있어 없어	['그래서', '배드', '신있어', '없어']	1.3282335628241504	0.83
7	7	RrjdzzZmpak	단적으로 대사들 말장난도 다 들어본 것밖에 없었던 듯	['단', '적', '으로', '대사', '들', '말장난', '도', '다', '들어', '본', '것', '밖에', '없었던', '듯']	-1.352985089496389	-0.63
8	8	RrjdzzZmpak	ㅇㅈㅇㅈ	[]	0.0	-0.0
9	9	RrjdzzZmpak	난 그냥 생각없이 보는게 재미있었습니다	['난', '그냥', '생각', '없이', '보는게', '재미있었습니다']	-3.452735989500161	-1.94
10	10	RrjdzzZmpak	뭐 별 생각없이 보는 영화 아닌가?	['뭐', '별', '생각', '없이', '보는', '영화', '아닌가']	-2.527685142842865	-1.37
11	11	RrjdzzZmpak	영화완성도가 떨어진다.= o<br>이런 주제의 영화를 만들면 안된다. = x	['영화', '완성', '도', '가', '떨어진다', 'o', '이런', '주제', '의', '영화', '를', '만들면', '안된다', 'x']	0.6084945348586309	0.28
12	12	RrjdzzZmpak	영화는 영화로만 봅시다	['영화', '는', '영화로', '만', '봅시다']	-1.2599926335451248	-0.74
