	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	l1oO0JjEf8w	ㅋㅋㅋ	[]	0.0	-0.0
1	1	l1oO0JjEf8w	이양반도 좀 웃김.	['이', '양반', '도', '좀', '웃김']	0.0	0.0
2	2	l1oO0JjEf8w	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아겁나웃곁ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	['아', '겁나', '웃곁']	0.6666666666666666	0.45
3	3	l1oO0JjEf8w	아 봐도 봐도 웃기네 ㅋㅋㅋㅋ	['아', '봐도', '봐도', '웃기', '네']	-1.056641667147436	-0.62
4	4	l1oO0JjEf8w	존나웃기네	['존나', '웃기', '네']	-1.3802595519275962	-0.93
5	5	l1oO0JjEf8w	핑크머리 당황연기 못하노 ㅋㅋㅋㅋㅋ	['핑크', '머리', '당황', '연기', '못', '하노']	0.2229460260470404	0.13
6	6	l1oO0JjEf8w	마지막 반전 ㅋㅋㅋㅋㅋㅋㅋㅋ 내가 조사불랑게!	['마지막', '반전', '내', '가', '조사', '불', '랑게']	-0.6666666666666666	-0.36
7	7	l1oO0JjEf8w	이제 2만원으로 올랐다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	['이제', '2만원', '으로', '올랐다']	-0.052001674667515374	-0.03
8	8	l1oO0JjEf8w	솔직히나는더블비가젤재밌음ㅋㅋ	['솔직히나는', '더블', '비', '가젤', '재밌음']	0.0	0.0
9	9	l1oO0JjEf8w	개콘 정태호 닮았다.	['개콘', '정태호', '닮았다']	0.0	0.0
10	10	l1oO0JjEf8w	시발 일리네어 일없니 이지랄하네	['시발', '일리네어', '일', '없니', '이', '지랄', '하', '네']	-0.3899750004807695	-0.2
11	11	l1oO0JjEf8w	ㅏㅋㅋㅋ	[]	0.0	-0.0
12	12	l1oO0JjEf8w	ㅋㅋㅋ	[]	0.0	-0.0
13	13	l1oO0JjEf8w	장첸하고 시발아줌마 대결 보고싶네 ㅋㅋㅋ	['장첸', '하고', '시발', '아줌마', '대결', '보고싶네']	-0.9805469959900249	-0.55
14	14	l1oO0JjEf8w	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	[]	0.0	-0.0
15	15	l1oO0JjEf8w	장첸많이해줘	['장첸', '많이', '해줘']	0.22294602604703798	0.15
16	16	l1oO0JjEf8w	이거 묘하게 중독성있네 <br>보이면 계속보게됨 ㅋㅋ	['이', '거', '묘', '하게', '중독', '성', '있네', '보이', '면', '계속', '보게', '됨']	-3.0	-1.44
17	17	l1oO0JjEf8w	더블비중 이 영상이 제일 재밌닼ㅋㅋㅋㅋㅋ	['더블', '비중', '이', '영상', '이', '제일', '재밌닼']	0.21461872992490785	0.12
18	18	l1oO0JjEf8w	여자 남친있대 ㅋㅋㅋㅋ후구짓했네ㅋㅋㅋ	['여자', '남친', '있대', '후', '구', '짓', '했네']	0.0	0.0
19	19	l1oO0JjEf8w	배짼다ㅋㅋㅋㅋㅋㅋ	['배', '짼다']	0.0	0.0
20	20	l1oO0JjEf8w	시 발 존 나 웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ크크크크크카카카카카카카카카ㅏㅋㅋㅋㅋ	['시', '발', '존', '나', '웃기', '네', '크크', '크크', '크', '카카', '카카', '카카', '카카', '카']	0.491310396110805	0.23
21	21	l1oO0JjEf8w	불가능한분장이대체뭐임	['불가능한', '분장', '이', '대체', '뭐임']	0.0	0.0
22	22	l1oO0JjEf8w	휴빙만 입나봨ㅋㅋㅋ	['휴', '빙', '만', '입나봨']	0.0	0.0
23	23	l1oO0JjEf8w	유쾌한사람들이네.<br>ㅋㅋㅋㅋㅋㅋ	['유쾌한', '사람', '들', '이네']	2.8525729153303176	1.78
24	24	l1oO0JjEf8w	더블비 이거로 처음 봤습니다 재밌어서 다 봄~	['더블', '비', '이', '거', '로', '처음', '봤습니다', '재밌어서', '다', '봄']	0.22735794522337704	0.11
25	25	l1oO0JjEf8w	편의점 알바생한테 사귀자하기ㅎㅎ 제빨	['편의점', '알바생', '한테', '사귀자', '하기', '제', '빨']	-0.4913103961108026	-0.27
26	26	l1oO0JjEf8w	이거보고 범죄도서 바로 보러 갔어여 ㅋㅋㅋㅋㅋㅋㅋ진짜 범죄도시 재밌어욬ㅋㅋㅋㅋㅋㅋㅋㅋ	['이', '거', '보고', '범죄', '도서', '바로', '보러', '갔어여', '진짜', '범죄', '도시', '재밌어', '욬']	-2.9603585598614544	-1.4
27	27	l1oO0JjEf8w	아진짜 너무 웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	['아', '진짜', '너무', '웃겨']	-0.5960329912571064	-0.37
28	28	l1oO0JjEf8w	보물섬 재밌긴한데 너무 주작티나요...걍 리얼인척말고 재밌는컨텐츠 올려주세요	['보물섬', '재밌긴한데', '너무', '주', '작', '티나', '요', '걍', '리얼', '인척', '말고', '재밌는', '컨텐츠', '올려주세요']	1.7799009322051116	0.83
29	29	l1oO0JjEf8w	NG많이났나봐요 엄청잘라붙였네	['NG', '많이', '났나', '봐요', '엄청', '잘라', '붙였네']	0.19669653382427532	0.11
30	30	l1oO0JjEf8w	마지막에ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	['마지막', '에']	-0.6666666666666666	-0.51
31	31	l1oO0JjEf8w	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	[]	0.0	-0.0
32	32	l1oO0JjEf8w	서정이 눈웃음 ㅁㅊㄷ;;	['서정', '이', '눈웃음']	0.0	0.0
33	33	l1oO0JjEf8w	전화 아이 받늬	['전화', '아이', '받늬']	-0.17535627055586406	-0.12
34	34	l1oO0JjEf8w	마지막 엔딩 브금좀 알수 있을까요?	['마지막', '엔딩', '브금', '좀', '알수', '있을까요']	-0.6666666666666666	-0.37
