	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	eSOmMb97WfM	엉중님 목소리 들으러 과거로 왔습니다 좋아요 누르면서 다시 한 번 정주행	['엉', '중', '님', '목소리', '들으러', '과거', '로', '왔습니다', '좋아요', '누르면서', '다시', '한', '번', '정', '주행']	1.0	0.46
1	1	eSOmMb97WfM	요새 조진웅 작품선택이 많이 안좋았는데 드디어 순풍을 만났구나... 리뷰 잘보고갑니다!	['요새', '조진웅', '작품', '선택', '이', '많이', '안좋았는데', '드디어', '순풍', '을', '만났구나', '리뷰', '잘', '보고', '갑니다']	1.52371901428583	0.7
2	2	eSOmMb97WfM	운동장에서 조진중 연기를 위해 중반부쯤 고구마만 먹인 이유가 있었음 ㅇㅇ대충 그런 반전이 있을거란 생각은 했지만 조진웅이 연기로 잘 풀어줘서 이성민을 더 응원하게 된것같음	['운동장', '에서', '조', '진중', '연기', '를', '위해', '중반', '부', '쯤', '고구마', '만', '먹인', '이유', '가', '있었음', '대충', '그런', '반전', '이', '있을거란', '생각', '은', '했지만', '조진웅', '이', '연기', '로', '잘', '풀어줘서', '이성민', '을', '더', '응원', '하게', '된것', '같음']	-2.47628098571417	-0.96
3	3	eSOmMb97WfM	그나저나 엉준님 구독자가 늘어야 할텐데 처음 구독한 그날부터 언제늘까 이 생각만해요	['그나저나', '엉', '준', '님', '구', '독자', '가', '늘어야', '할텐데', '처음', '구독', '한', '그날', '부터', '언제', '늘까', '이', '생각', '만해', '요']	0.0	0.0
4	4	eSOmMb97WfM	가벼운 오락영화라서 크게 기대안했는데 참 재미있게본 영화에요 ㅎㅎㅎ<br>정말 오랜만에 이게머야 라는 생각 한 번 없이 정말 재미있게봤습니다<br>한국 오락 영화가 이정도 하기 사실 쉽지않았눈데 ㅎㅎㅎㅎ	['가벼운', '오락', '영화', '라서', '크게', '기', '대안', '했는데', '참', '재미있게', '본', '영화', '에요', '정말', '오랜', '만', '에', '이', '게머', '야', '라는', '생각', '한', '번', '없이', '정말', '재미있게', '봤습니다', '한국', '오락', '영화', '가', '이정', '도', '하기', '사실', '쉽지', '않았', '눈데']	3.999999999999997	1.54
5	5	eSOmMb97WfM	중반부는 오히려 답답한걸 넘어서 불편할정도 ㅋㅋ	['중반', '부는', '오히려', '답답한', '걸', '넘어서', '불편할', '정도']	-5.0	-2.63
6	6	eSOmMb97WfM	이 영화 배경음악이 너무 없지 않앗나요?? 그리고 한국영화에서 나오는 남자배우는 주연배우급빼고 다나오는 영화인 것 같앗습니다 ㅋㅋㅋ감독이나 시나리오보다 캐스팅 팀에 박수를 :)	['이', '영화', '배경음악', '이', '너무', '없지', '않앗나요', '그리고', '한국영', '화', '에서', '나오는', '남자배우', '는', '주', '연', '배우', '급', '빼고', '다나', '오는', '영화인', '것', '같앗습니다', '감독', '이나', '시나리오', '보다', '캐스팅', '팀', '에', '박수', '를']	-2.5237190142858337	-1.0
7	7	eSOmMb97WfM	늘 시원한 해설 감사합니다. 화이팅^^	['늘', '시원한', '해설', '감사합니다', '화이팅']	1.0	0.59
8	8	eSOmMb97WfM	지도 기장에서 살아요	['지도', '기장', '에서', '살아요']	-0.5237190142858301	-0.33
9	9	eSOmMb97WfM	`웰컴투콜린우드`같은 느낌으로 보면 될까요?	['웰컴', '투', '콜린', '우드', '같은', '느낌', '으로', '보면', '될까', '요']	0.0	0.0
10	10	eSOmMb97WfM	안뇨~읔	['안뇨읔']	0.0	0.0
11	11	eSOmMb97WfM	엉준님 이영화리뷰해주셨네요<br>친구들하고 같이봤는데 극장에서 만족하고나왔네요 큰기대를 하지않아서 그런가봐요 ㅎㅎ	['엉', '준', '님', '이', '영화리뷰', '해주셨네요', '친구', '들', '하고', '같이', '봤는데', '극장', '에서', '만족하고', '나왔네요', '큰', '기대', '를', '하지', '않아서', '그런', '가봐요']	1.47628098571417	0.63
12	12	eSOmMb97WfM	부산 대도시 아닌가요?	['부산', '대도시', '아닌가요']	0.0	0.0
13	13	eSOmMb97WfM	AHA	['AHA']	0.0	0.0
14	14	eSOmMb97WfM	기장군은 개발이 진행중인 작은 소도시로 부산에 편입된 군입니다. 소속은 부산이지만 일반적인 군소도시와 비슷한 작은 도시기도 하고 영화안에서 대도시를 배경으로 하지 않고 작은 동네를 배경으로 하고 있어 얘기했습니다.	['기장군', '은', '개발', '이', '진행중', '인', '작은', '소도시', '로', '부산', '에', '편입', '된', '군입', '니', '다', '소속', '은', '부산', '이지만', '일반', '적', '인', '군소', '도시', '와', '비슷한', '작은', '도시', '기도', '하고', '영화', '안', '에서', '대도시', '를', '배경', '으로', '하지', '않고', '작은', '동네', '를', '배경', '으로', '하고', '있어', '얘기', '했습니다']	1.4762809857141663	0.55
15	15	eSOmMb97WfM	정말 리뷰 좋네요<br>분석이 굿	['정말', '리뷰', '좋네요', '분석', '이', '굿']	0.0	0.0
