	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	Pa8NU9_7Lw0	ㅁㅊㅋㅋㅋ뒤에티비ㅋㅋㅋㅋ시강 박나래ㅋㅋㅋ언니	['뒤', '에', '티비', '시', '강', '박나래', '언니']	-0.8842282173954801	-0.48
1	1	Pa8NU9_7Lw0	믿고보는 마동석.	['믿고', '보는', '마동석']	0.34731534781355977	0.24
2	2	Pa8NU9_7Lw0	난 마동석이 젤 웃겨 ㅋㅋㅋㅋㅋㅋㅋ	['난', '마동석', '이', '젤', '웃겨']	0.23154356520903985	0.14
3	3	Pa8NU9_7Lw0	부라더 꿀잼입니다.   적극  추천	['부라', '더', '꿀잼', '입니다', '적극', '추천']	1.7065136321165086	0.96
4	4	Pa8NU9_7Lw0	유민상 아닌가요? ㅋㅋ	['유민상', '아닌가요']	0.0	0.0
5	5	Pa8NU9_7Lw0	?? 조세호??	['조세호']	0.0	0.0
6	6	Pa8NU9_7Lw0	걱정멜롴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	['걱정', '멜롴']	-2.0	-1.54
7	7	Pa8NU9_7Lw0	상남자네 멋지다~~	['상남자', '네', '멋지다']	2.0	1.35
8	8	Pa8NU9_7Lw0	1편어디감??	['1', '편어디', '감']	0.0	0.0
9	9	Pa8NU9_7Lw0	"요깄지용~ ☞ <a href=""https://youtu.be/vauyiQApC-4"">https://youtu.be/vauyiQApC-4</a>"	['요', '깄', '지용', 'httpsyoutubevauyiQApC', '4']	0.0	0.0
10	10	Pa8NU9_7Lw0	썸네일부터 빵터진닼ㅋㅋㅋㅋ	['썸네일', '부터', '빵터진', '닼']	0.0	0.0
11	11	Pa8NU9_7Lw0	이거본날 재밌을거라 믿고 바로 cgv가서 부라더 기대하고 봤는데 ,, ㅠ	['이', '거', '본', '날', '재밌을거라', '믿고', '바로', 'cgv', '가서', '부라', '더', '기대하고', '봤는데']	2.578858913022598	1.22
12	12	Pa8NU9_7Lw0	마블리 넘나 기여운 것!	['마블리', '넘나', '기', '여운', '것']	0.0	0.0
13	13	Pa8NU9_7Lw0	도대체 어떻게 저렇게까지 분장을 하지 ? ㅋㅋㅋ<br>출연자마다 거의 쌍둥이네 ...	['도대체', '어떻게', '저렇게', '까지', '분장', '을', '하지', '출연자', '마다', '거의', '쌍둥이', '네']	0.4630871304180797	0.22
14	14	Pa8NU9_7Lw0	이거너무꿀잼인듯ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ앜ㅋㅋㅋㅋ봐도봐도웃겨	['이', '거너', '무꿀', '잼인듯', '앜', '봐도', '봐도', '웃겨']	0.0	0.0
15	15	Pa8NU9_7Lw0	헐 하트주셨었군요!! 복붙쇼잘보고있습니다 크크~	['헐', '하트', '주셨었군요', '복', '붙', '쇼', '잘', '보고있습니다', '크크']	1.0	0.51
16	16	Pa8NU9_7Lw0	기다렸어욬ㅋㅋㅋㅋㅋ 나래언니 너무좋아요ㅠㅠㅠ♡♡♡	['기다렸어', '욬', '나래', '언니', '너무', '좋아요']	0.23154356520903985	0.13
17	17	Pa8NU9_7Lw0	아이코~ 감사합니다~!!	['아이코', '감사합니다']	0.0	0.0
