	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	xslPddOWrcU	으핫! 중요한 오류가 있어 댓글로 남깁니다.<br>분노의 질주 5편이 &#39;언리미티드&#39;, 6편이 &#39;더 맥시멈&#39;인데 두 영화의 제목이 바뀌어 적혀 있습니다. 국내 제목이 비슷비슷하여 헷갈린 모양입니다. 더 확실히 모니터를 했어야 했는데 잘못된 정보를 전달해드린점 정말 죄송합니다. 앞으로는 이런 실수 없도록 더 세심히 살피겠습니다.	['으', '핫', '중요한', '오류', '가', '있어', '댓글', '로', '남깁니다', '분노', '의', '질주', '5', '편이', '39', '언리미티드', '39', '6', '편이', '39', '더', '맥시', '멈', '39', '인데', '두', '영화', '의', '제목', '이', '바뀌어', '적혀', '있습니다', '국내', '제목', '이', '비슷', '비슷하여', '헷갈린', '모양', '입니다', '더', '확실히', '모니터', '를', '했어야', '했는데', '잘', '못', '된', '정보', '를', '전달', '해드린', '점', '정말', '죄송합니다', '앞', '으로는', '이런', '실수', '없도록', '더', '세', '심히', '살피겠습니다']	-5.572477158092696	-1.98
1	1	xslPddOWrcU	천재이승국 (GeniusSKLee) 이거봤는데 진짜 한장면도지루한장면이없음 소리,액션 너무진짜멋있음 한마디로 강추하고 미친영화임	['천재', '이승', '국', 'GeniusSKLee', '이', '거', '봤는데', '진짜', '한', '장면', '도', '지루한', '장면', '이', '없음', '소', '리액션', '너무', '진짜', '멋있음', '한마디', '로', '강', '추하고', '미친', '영화', '임']	-6.375600129384083	-2.62
2	2	xslPddOWrcU	천재이승국 (GeniusSKLee)  화이팅	['천재', '이승', '국', 'GeniusSKLee', '화이팅']	-1.547411228938165	-0.91
3	3	xslPddOWrcU	말너무잘하시네용 구독	['말', '너무', '잘', '하시', '네', '용', '구독']	1.1314719276545842	0.61
4	4	xslPddOWrcU	승국형 제목바꼇어용	['승국', '형', '제목', '바꼇', '어', '용']	1.3877787807814454e-16	0.0
5	5	xslPddOWrcU	형 잘봤습니다 ㅠㅠㅠ 오늘 익스트림 봤는데 앞에거를 못봐서 이해안된데가 있었는데 도움이 됬네요 ㅎㅎ	['형', '잘', '봤습니다', '오늘', '익스트림', '봤는데', '앞', '에', '거', '를', '못', '봐서', '이해', '안된데가', '있었는데', '도움', '이', '됬네요']	5.545342236217698	2.46
6	6	xslPddOWrcU	와 이승국님 영상은 2배속으로해도 뭐라고하는지 다 들리네요 ㅋㅋ 발음좋으시다	['와', '이승', '국', '님', '영상', '은', '2', '배속', '으로', '해도', '뭐라고하는지', '다', '들리네요', '발음', '좋으시다']	-1.5106382621587071	-0.69
7	7	xslPddOWrcU	아그래서 브라이언.. 익스트림만봐서이해안댓으	['아', '그래서', '브라이언', '익스트림', '만', '봐서', '이', '해안', '댓', '으']	0.07203926893755573	0.04
8	8	xslPddOWrcU	도미닉.. 근데 데카드 쇼가 한 죽였는데 아무리 도와줬다지만 친해지는 건 좀.. 물론 9에 한이 나오지만 지젤은 언급도 안함..	['도미', '닉', '근데', '데', '카드', '쇼', '가', '한', '죽였는데', '아무리', '도와줬다지만', '친해지는', '건', '좀', '물론', '9', '에', '한', '이', '나오지만', '지젤', '은', '언급', '도', '안함']	-1.9735271089399784	-0.82
9	9	xslPddOWrcU	한마디로 ㄹㅇ 미친영화임	['한마디', '로', '미친', '영화', '임']	-1.7194774939415514	-1.01
10	10	xslPddOWrcU	테즈파커라는 사람 승국이 형하고 마니닮음	['테', '즈', '파커', '라는', '사람', '승국', '이', '형', '하고', '마니', '닮음']	-2.3981281528735545	-1.17
11	11	xslPddOWrcU	브라이언 오코너가분노의질주8에안나와구나	['브라이언', '오', '코너', '가', '분노의질주', '8', '에', '안', '나와구나']	0.4525887710618323	0.23
12	12	xslPddOWrcU	이런 정리(?)영상 찾고있었는데 감사합니다!	['이런', '정리', '영상', '찾고있었는데', '감사합니다']	1.7760071048502843	1.05
13	13	xslPddOWrcU	빈 디젤이 배신을 하겟니 ㅋㅋ 아들때문이지 마지막에 이름 브라이언으로 정할때 개 감동	['빈', '디젤', '이', '배신', '을', '하겟', '니', '아들', '때문', '이지', '마지막', '에', '이름', '브라이언', '으로', '정', '할', '때', '개', '감동']	2.314993982456698	1.01
14	14	xslPddOWrcU	천재이승국 팬이에요 화이팅~~~~~~~~~~!	['천재', '이승', '국', '팬', '이에요', '화이팅']	-1.5474112289381647	-0.87
15	15	xslPddOWrcU	설명이 집중이 잘 되네요😃<br> 시간 나시는 분들은 전편 다 보는 것도 진심으로 추천해드려요 이번에 8편 나오면서 시리즈 정주행 하게 되었는데  머릿속에 분노의 질주 밖에 없을 정도로 재밌네요 ㅠㅠ<br>	['설명', '이', '집중', '이', '잘', '되네요', '시간', '나시', '는', '분', '들', '은', '전편', '다', '보는', '것', '도', '진심', '으로', '추천', '해드려요', '이번', '에', '8', '편', '나오면서', '시리즈', '정', '주행', '하게', '되었는데', '머릿속', '에', '분노', '의', '질주', '밖에', '없을', '정도', '로', '재밌네요']	1.9114726727331852	0.73
16	16	xslPddOWrcU	브라이언이 실제로 죽은거에요?	['브라이언', '이', '실제', '로', '죽은거에요']	-0.24907757446969	-0.15
17	17	xslPddOWrcU	영화 속에서 브라이언 캐릭터를 맡았던 배우 폴 워커가 사망했습니다.	['영화', '속', '에서', '브라이언', '캐릭터', '를', '맡았던', '배우', '폴', '워커', '가', '사망', '했습니다']	0.0971239482575327	0.05
18	18	xslPddOWrcU	구에사는 사람 지 네	['구', '에', '사는', '사람', '지', '네']	-0.28052250605845114	-0.16
19	19	xslPddOWrcU	나 이거 봤는뎅 분노의 질주	['나', '이', '거', '봤는', '뎅', '분노', '의', '질주']	-2.6705965513192016	-1.4
20	20	xslPddOWrcU	난 분노의 질주 더 익스트림 만 봤는데.......~^^	['난', '분노', '의', '질주', '더', '익스트림', '만', '봤는데']	-2.2950190897236764	-1.21
21	21	xslPddOWrcU	시리즈 분노의 질주 넘나 재밌는 것	['시리즈', '분노', '의', '질주', '넘나', '재밌는', '것']	-0.8426628163225875	-0.46
22	22	xslPddOWrcU	이승국님이랑 테드파커가 닮은건 저 혼자의 생각인가여	['이승', '국', '님', '이랑', '테드', '파커', '가', '닮은건', '저', '혼자', '의', '생각', '인가', '여']	-2.559512793272189	-1.19
23	23	xslPddOWrcU	조만간 영화보러가는데 깔끔한 정리 감사드립니다 :) 전편 언제보나 걱정 내심 했어요 ㅎㅎㅎㅎ	['조만간', '영화', '보러가는데', '깔끔한', '정리', '감사', '드립니다', '전편', '언', '제보', '나', '걱정', '내심', '했어요']	4.58406069871642	2.14
24	24	xslPddOWrcU	진짜 전편 안보신분들은 이거 한번보시면 요번 애피소드 보는데 전~~~~~~~~혀 문제없어요!!!!! 정말 재밌는 영화니까 전편 모두 보시는것도 좋을거같아요!!!!	['진짜', '전편', '안보', '신분', '들', '은', '이', '거', '한번', '보시', '면', '요', '번', '애피', '소드', '보는데', '전혀', '문제', '없어요', '정말', '재밌는', '영화', '니까', '전편', '모두', '보시는것도', '좋을거', '같아요']	8.109193784602322	3.31
25	25	xslPddOWrcU	테즈가 여기있었네	['테즈', '가', '여기있었네']	0.0	0.0
26	26	xslPddOWrcU	어제 이 영상보고 흥미생겨서 방금 분노의질주 보고왔습니다... 덕분에 첨보는건데도 오잉?하는 내용없이 잘봤어요ㅠㅠ 넘 감사합니다ㅠㅜ 항상 재밌는 영상 잘보고있어요!!	['어제', '이', '영상', '보고', '흥미', '생겨서', '방금', '분노의질주', '보고왔습니다', '덕분', '에', '첨', '보는건데', '도', '오', '잉', '하', '는', '내용', '없이', '잘', '봤어요', '넘', '감사합니다', '항상', '재밌는', '영상', '잘', '보고있어요']	14.452118882082837	5.87
27	27	xslPddOWrcU	전 그 높은확률을 뚫었습니다ㅋㅋㅋㅋ	['전', '그', '높은', '확률', '을', '뚫었습니다']	1.0	0.56
28	28	xslPddOWrcU	말씀 잘하시네요~ b ㅎㅎ 분질 안본사람들 꼭 보면 이해잘갈듯	['말씀', '잘', '하시네요', 'b', '분질', '안', '본', '사람', '들', '꼭', '보면', '이해', '잘', '갈듯']	3.3190478506867853	1.55
29	29	xslPddOWrcU	솔직히 도쿄드리프트는 안봐도 별문제가	['솔직히', '도쿄', '드리프트', '는', '안', '봐도', '별문제', '가']	-2.4424906541753444e-15	-0.0
30	30	xslPddOWrcU	저 죄송한데 얼굴 보다는 영상을 더 보고 싶어요...	['저', '죄송한데', '얼굴', '보다는', '영상', '을', '더', '보고', '싶어요']	1.3837693152665291	0.71
31	31	xslPddOWrcU	잘봤습니다 근데 뒤에 똑딱똑딱소리 너무 거슬려요	['잘', '봤습니다', '근데', '뒤', '에', '똑', '딱', '똑', '딱', '소리', '너무', '거슬려요']	2.5298325781888824	1.22
32	32	xslPddOWrcU	26일날에 시험이라 5월달 초에 영화간에서 볼수잇는디 5월초까지 상영하나요?	['26일', '날에', '시험', '이라', '5월', '달', '초', '에', '영화', '간', '에서', '볼수', '잇는디', '5월', '초까지', '상영', '하나요']	3.1969184466626035	1.43
