	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	FKbWwfDeqMs	여러분의 &#39;좋아요&#39;와 &#39;구독&#39;은 더 많은 유튜브 이용자분들께서 영상과 채널을 즐기시는데 큰 도움이 됩니다.	['여러분', '의', '39', '좋아요', '39', '와', '39', '구독', '39', '은', '더', '많은', '유튜브', '이용자', '분들', '께서', '영상', '과', '채널', '을', '즐기시는데', '큰', '도움', '이', '됩니다']	7.523186766058633	3.14
1	1	FKbWwfDeqMs	이영화재밌었어여!	['이영화', '재밌었어여']	0.4000000000000001	0.31
2	2	FKbWwfDeqMs	성룡동생 좋은비평에 별 다섯개 ☆☆☆☆☆ <br>From. KADET LEE 😄 근데 tony zaa에 비교해서 원신연감독이나 원진선배를 너무 뛰워놓은것같애.  아마도 함철훈감독께서 동생에게 본인께서 예전에 잠깐씩하는 동작들을보고 토니자만큼됐다고 하는데,  사실 그렇지는 않아.<br>그당시 YMCA에서나 체육관에서 혈기좋은 시절 컨디션좋을때 선풍각 2회전같은건 가끔돌아기긴했지만 영화를 촬영할때 지속적으로 촬영에 쓸수있는것이 아닌 경우를 가지고 그동작이 된다라고 인정하기는 힘들어. 그리고 원신연감독같은경우는 NG가 한두번 정도난다면 토니자만큼 실력이된다라고도 하기도 힘들어, 체육관에서 컨디션좋을때 가끔되는걸가지고 그동작이 영화에 쓸수있다고 할수는 없는거야. 원진선배같은 경우는 벽쭈가리하면서 풀턴틀고하는걸 80년대 중반에 몇번보기는 했지만 영화에 보여준적은 한번도 없거든, 토니자같은 경우는 내가 태국에와서 스턴트맨들 선배급들 몇명에게 물어보니까 옹박에서 보여준것들은 완벽히 그이전에 이미 본인의 기본동작으로 세팅이 끝난사람 이더라구. 중요한건 그이상의 동작들도 할수있었던 사람이였구....<br>그래도 원진선배 전성기때 벽쭈가리풀턴, 앞쭈가리연결동작, 속고풀턴, 제자리 쭈가리잼뽀,  백핸드하프 이런동작은 최고였다고 생각해. 허나 그당시 gainer, corkscrew계열 tricking類 체조는 한국에서는 두사람은 명함도 내밀수없는 실력이야. Tony zaa같은 경우는 게이너나 콕스크류쪽은 기본이 완벽히 된사람이고 <br>체조동작을하면서 flip킥을찰때 터치파워 안배조절까지할수있는 실력자야.<br> 그리고 지금은 태국내에는 부분적으로는 토니자만큼 동작이되는 후배들도 많아, 지금와서 후세대에게 진실을 말하는게 중요하다고 봐요. 이전글들을 잃다보니  성가반 이인섭씨도 중국어도 안되면서 대충들은 얘기들 갖고 부풀려서 얘기하는것도 동생이 그대로 확인도 못하고 대중에게 전하는 내용도 안타깝고 ....국내에 어떤 80년대초 선배부터 시작해서 지금까지 토니자나 대만경극출신  무술연기자들만큼 튼튼하고, 여유있는 플립실력을 갖고있는 선배는 없었어. <br>항상 진실을 말하고, 윗세대의 과오는 정확히 비평하돼 과장은 없어야해. 카메라가 돌아가는동안 보여주지 못하는 기술은 절대 실력이 아니야.	['성룡', '동생', '좋은', '비평', '에', '별', '다섯', '개', 'From', 'KADET', 'LEE', '근데', 'tony', 'zaa', '에', '비교', '해서', '원신연', '감독', '이나', '원진', '선배', '를', '너무', '뛰워', '놓은', '것', '같', '애', '아마도', '함철훈감독', '께서', '동생', '에게', '본인', '께서', '예전', '에', '잠깐', '씩', '하는', '동작', '들', '을', '보고', '토니', '자', '만큼', '됐다고', '하는데', '사실', '그렇지는', '않아', '그', '당시', 'YMCA', '에서나', '체육관', '에서', '혈기', '좋은', '시절', '컨디션', '좋을', '때', '선풍', '각', '2회', '전같은건', '가끔', '돌아기', '긴', '했지만', '영화', '를', '촬영', '할', '때', '지속', '적', '으로', '촬영', '에', '쓸수있는것이', '아닌', '경우', '를', '가지', '고', '그', '동작', '이', '된다라고', '인정', '하기는', '힘들어', '그리고', '원신연', '감독', '같은', '경우', '는', 'NG', '가', '한두', '번', '정도', '난다면', '토니', '자', '만큼', '실력', '이', '된다라고도', '하기도', '힘들어', '체육관', '에서', '컨디션', '좋을', '때', '가끔', '되는걸', '가지', '고', '그', '동작', '이', '영화', '에', '쓸수있다고', '할수는', '없는거야', '원진', '선배', '같은', '경우', '는', '벽쭈', '가리하면서', '풀턴', '틀고하는걸', '80년', '대', '중반', '에', '몇번', '보기', '는', '했지만', '영화', '에', '보여준', '적은', '한번', '도', '없거든', '토니', '자', '같은', '경우', '는', '내', '가', '태국', '에', '와서', '스턴트맨', '들', '선배', '급', '들', '몇', '명', '에게', '물어보니까', '옹박', '에서', '보여준것', '들은', '완벽히', '그', '이전', '에', '이미', '본인', '의', '기', '본', '동작', '으로', '세팅', '이', '끝', '난사람', '이더라', '구', '중요한건', '그', '이상', '의', '동작', '들', '도', '할수있었던', '사람', '이', '였구', '그래도', '원진', '선배', '전성기', '때', '벽쭈', '가리', '풀턴', '앞쭈', '가리', '연결', '동작', '속', '고', '풀턴', '제자리', '쭈가리잼뽀', '백핸드', '하프', '이런', '동작', '은', '최고', '였다고', '생각', '해', '허나', '그', '당시', 'gainer', 'corkscrew', '계열', 'tricking', '체조', '는', '한국', '에서는', '두', '사람', '은', '명함', '도', '내', '밀수', '없는', '실력', '이야', 'Tony', 'zaa', '같은', '경우', '는', '게이', '너', '나', '콕스크류쪽', '은', '기본', '이', '완벽히', '된', '사람', '이고', '체조', '동작', '을', '하면서', 'flip', '킥', '을', '찰때', '터치', '파워', '안배', '조절', '까지', '할수있는', '실력', '자', '야', '그리고', '지금', '은', '태', '국내', '에는', '부분', '적', '으로는', '토니', '자', '만큼', '동작', '이', '되는', '후배', '들', '도', '많아', '지금', '와', '서', '후세', '대', '에게', '진실', '을', '말', '하는게', '중요하다고', '봐요', '이', '전', '글', '들', '을', '잃다', '보니', '성가', '반', '이인섭', '씨', '도', '중국어', '도', '안되면서', '대충', '들', '은', '얘기', '들', '갖고', '부풀려서', '얘기', '하는것도', '동생', '이', '그대로', '확인', '도', '못', '하고', '대중', '에게', '전하', '는', '내용', '도', '안타깝고', '국내', '에', '어떤', '80년', '대초', '선배', '부터', '시작', '해서', '지금', '까지', '토니', '자', '나', '대', '만', '경', '극', '출신', '무술', '연기자', '들', '만큼', '튼튼하고', '여유', '있는', '플립', '실력', '을', '갖고있는', '선배', '는', '없었어', '항상', '진실', '을', '말', '하고', '윗', '세', '대의', '과오', '는', '정확히', '비평', '하', '돼', '과장', '은', '없어야해', '카메라', '가', '돌아가는', '동안', '보여주지', '못', '하는', '기술', '은', '절대', '실력', '이', '아니야']	78.0347980498637	21.54
3	3	FKbWwfDeqMs	JACKIE PARK 형도 읽으면서 이미 동생이 안전을위해 쓴 내용인걸 느꼈어. 허나 형이 아주 객관적으로 국제액션 영화정서나 성룡동생의 이번 foreigner 편집도 그렇고 그정도의 과감한 편집포인트와 전후 액션에대한 동생의 이해는 한국내에서는 이미 액션부분의 편집에있어서는 최고수준 공간에 근접해 있다는걸 정확히 만인들 앞에 말할수있어. 다만 생산하는 과정과의 연계가 없기때문에 메이저바닥의 색동저고리식 편집하는 국내 무술감독들과 비교할수는없는것 뿐이지 하지만 국내는 액션영화쪽이 거품이 정말많은 공간이야. 아마 최고수준이라고 할수있을것 같아. 슛들어가서 백스텝 밟는 정서나 카메라가 롤링되는 시간동안의 창작활동으로 평가받으려는 실증적인 사람들은 극소수라고 보면돼, 그렇기때문에 동생이 비평을할때 솔직하고, 객관적이며 국제적인 개념에 입각하면 그누가 뭐라고 해봐야 본인의 식견이 부족하거나 거품있는 그바닥에서 생업으로나 연명하려고 자기합리화하는 놈들이라고 보면되는거라고 자신있게 말하고 싶어. 영화는 화면에 만들어진것으로 평가되는거야. 홍금보,성룡 다 지극히 그런 사고를 갖고있기 때문에 다소는 교만한 서양인들도 그사람들 앞에서 꼬리내리고 존중의 뜻을 비추는거고,<br>국내에서는 아직도 많은 비굴한 액션인들이 가장 많이 쓰는말이 있어 &quot;액션을 더 정확하게 표현하면 드라마를 손상시킬것 같아서~&quot; 30년전부터 지껄이는 자기합리화야<br>해외영화 스텝들 앞에서는 절대 앞에서그말할수 있는 사람도 없구... 액션이라는게 기본적으로는 드라마와는 순행코드는 아니야. 허나 그걸 조화있게 만들기위해 논하다보면 최종적으로 홍콩으로 돌아가는거고<br>드라마, 액션난이도, 상업포장, 연기자의 극대화<br>이부분을 다같이 올리려는 마음이 없으면 그냥 드라마만 찍는거보다 못한거야	['JACKIE', 'PARK', '형도', '읽으면서', '이미', '동생', '이', '안전', '을', '위해', '쓴', '내용', '인걸', '느꼈어', '허나', '형', '이', '아주', '객관', '적', '으로', '국제', '액션', '영화', '정서', '나', '성룡', '동생', '의', '이번', 'foreigner', '편집', '도', '그렇고', '그', '정도', '의', '과감', '한', '편집', '포인트', '와', '전후', '액션', '에', '대한', '동생', '의', '이해', '는', '한', '국내', '에서는', '이미', '액션', '부분', '의', '편집', '에', '있어서는', '최고', '수준', '공간', '에', '근접해', '있다는걸', '정확히', '만', '인들', '앞', '에', '말', '할수있어', '다만', '생산', '하는', '과정', '과의', '연', '계', '가', '없기', '때문', '에', '메이저', '바닥', '의', '색동저고리', '식', '편집', '하는', '국내', '무술', '감독', '들', '과', '비교', '할수는', '없는것', '뿐', '이지', '하지만', '국내', '는', '액션영화', '쪽', '이', '거품', '이', '정말', '많은', '공간', '이야', '아마', '최고', '수준', '이라고', '할수있을것', '같아', '슛', '들어가서', '백', '스텝', '밟는', '정서', '나', '카메라', '가', '롤링', '되는', '시간', '동안', '의', '창작', '활동', '으로', '평가', '받으려는', '실증', '적', '인', '사람', '들', '은', '극', '소수', '라고', '보면', '돼', '그렇기', '때문', '에', '동생', '이', '비평', '을', '할', '때', '솔직하고', '객관', '적', '이며', '국제', '적', '인', '개념', '에', '입', '각하', '면', '그누', '가', '뭐라고', '해봐야', '본인', '의', '식견', '이', '부족하거나', '거품', '있는', '그', '바닥', '에서', '생업', '으로나', '연명', '하려고', '자기', '합리화', '하', '는', '놈', '들', '이라고', '보면', '되는거라고', '자신있게', '말', '하고', '싶어', '영화', '는', '화면', '에', '만들어진것으로', '평가', '되는거야', '홍금보', '성룡', '다', '지극히', '그런', '사고', '를', '갖고있기', '때문', '에', '다소', '는', '교만한', '서양인', '들', '도', '그', '사람', '들', '앞', '에서', '꼬리', '내리고', '존중', '의', '뜻', '을', '비추는거고', '국내', '에서는', '아직도', '많은', '비굴한', '액션', '인들', '이', '가장', '많이', '쓰는말이', '있어', 'quot', '액션', '을', '더', '정확하게', '표현', '하면', '드라마', '를', '손상', '시킬것', '같아서', 'quot', '30년', '전부터', '지껄이는', '자기', '합리화', '야', '해외', '영화', '스텝', '들', '앞', '에서는', '절대', '앞', '에서', '그', '말', '할수', '있는', '사람', '도', '없구', '액션', '이라는', '게', '기본', '적', '으로는', '드라마', '와는', '순행', '코드', '는', '아니야', '허나', '그걸', '조화', '있게', '만들기', '위해', '논', '하다', '보면', '최종', '적', '으로', '홍콩', '으로', '돌아가는거고', '드라마', '액션', '난이도', '상업', '포장', '연기자', '의', '극', '대화', '이', '부분', '을', '다', '같이', '올리려는', '마음', '이', '없으면', '그냥', '드라마', '만', '찍는거보다', '못', '한거야']	67.16568061642444	19.06
4	4	FKbWwfDeqMs	+太陽神 tropical35度 네. 앞으로 주의하도록 하겠습니다.<br><br>다만 약간의 변명 아닌 변명을 하자면 지적하신 부분들이 동영상의 내용에서 올 수 있는 후폭풍을 어느 정도 방지하는 방어책으로써 작용할 수 있다고 생각하고 삽입한 내용이에요. 이 정도의 방지책이 없으면 해당 영화나 배우의 팬들로부터 &#39;니가 뭔데 평가하냐? 그렇게 잘 하면 니가 영화 찍어라!&#39; 등등 공격의 대상이 되거든요. 예전에 만든 공조에 대한 이야기, 이연걸의 영화의 헐리웃 시스템에 의한 퀄리티 저하를 논했음에도 난 재미있게 봤는데 왜 재미없다고 하느냐 등등 후폭풍이 너무 세거든요. 물론 제 의견의 방향을 바꿀 생각은 없지만 여러 사람이 제 영상을 보게 하려면 어느 정도의 방어책으로써 말씀하신 부분들을 사용해야 하거든요. 이 영상에서도 과도하게 &#39;영화는 재미있다&#39;라고 언급한 것이 그것이거든요.<br><br>어째든 앞으로 주의하도록 하겠습니다. 저 역시 어느 정도의 사명감을 가지고 있기 때문에 조금 더 조심스러운 모습이 필요할 듯 하네요.<br><br>언제나 좋은 말씀 감사드립니다~^^	['tropical', '35', '네', '앞', '으로', '주의', '하도록', '하겠습니다', '다만', '약간', '의', '변명', '아닌', '변명', '을', '하자', '면', '지적', '하신', '부분', '들', '이', '동영상', '의', '내용', '에서', '올', '수', '있는', '후', '폭풍', '을', '어느', '정도', '방지', '하는', '방어', '책', '으로써', '작용', '할', '수', '있다고', '생각', '하고', '삽입', '한', '내용', '이에요', '이', '정도', '의', '방지책', '이', '없으면', '해당', '영화', '나', '배우', '의', '팬', '들', '로부터', '39', '니', '가', '뭔', '데', '평가', '하냐', '그렇게', '잘', '하면', '니', '가', '영화', '찍어라', '39', '등등', '공격', '의', '대상', '이', '되거든요', '예전', '에', '만든', '공조', '에', '대한', '이야기', '이연걸', '의', '영화', '의', '헐리웃', '시스템', '에', '의한', '퀄리티', '저하', '를', '논', '했음에도', '난', '재미있게', '봤는데', '왜', '재미없다고', '하느냐', '등등', '후', '폭풍', '이', '너무', '세거든요', '물론', '제', '의견', '의', '방향', '을', '바꿀', '생각', '은', '없지만', '여러', '사람', '이', '제', '영상', '을', '보게', '하려면', '어느', '정도', '의', '방어', '책', '으로써', '말씀', '하신', '부분', '들', '을', '사용', '해야', '하', '거든요', '이', '영상', '에서도', '과도', '하게', '39', '영화', '는', '재미있다', '39', '라고', '언급', '한', '것', '이', '그것', '이', '거든', '요', '어', '째든', '앞', '으로', '주의', '하도록', '하겠습니다', '저', '역시', '어느', '정도', '의', '사', '명감', '을', '가지', '고', '있기', '때문', '에', '조금', '더', '조심스러운', '모습', '이', '필요할', '듯', '하네요', '언제나', '좋은', '말씀', '감사', '드립니다']	49.74114833235561	15.06
5	5	FKbWwfDeqMs	홍콩 액션을 말씀하셧는데. 예술 액션을 보시려면 양조위의 일대종사를 추천하고 완전 정통 액션을 원하시면 이연걸의 정무문<br><br>도장깨기 액션을 추천합니다. 두 작품 다 카마레를 기가 막히게 잘 썻어요. 참고 일대종사는 주연배우들이 각문파에 직접 입문<br><br>하셔서 3년을 맹훈련햇다고 하네요. 특히 장진이라는 배우는 팔극권에 너무 노력한 나머지 국가대회도 나가서 좋은 성적을<br><br>따냇다고 기사까지 낫어요.	['홍콩', '액션', '을', '말씀', '하', '셧', '는데', '예술', '액션', '을', '보시려면', '양조위', '의', '일대종사', '를', '추천', '하고', '완전', '정통', '액션', '을', '원하시면', '이연걸', '의', '정무문', '도장', '깨기', '액션', '을', '추천', '합니다', '두', '작품', '다', '카', '마레', '를', '기', '가', '막히게', '잘', '썻어', '요', '참고', '일대종사', '는', '주', '연', '배우', '들', '이', '각', '문', '파', '에', '직접', '입문', '하셔서', '3년', '을', '맹훈련', '햇', '다', '고', '하네요', '특히', '장진', '이라는', '배우는', '팔극권', '에', '너무', '노력', '한', '나머지', '국가', '대회', '도', '나가서', '좋은', '성적', '을', '따', '냇다', '고', '기사', '까지', '낫어요']	16.490263656336623	5.6
6	6	FKbWwfDeqMs	뭘하는지도 모를편집 풀샷이 적은게 아쉽다	['뭘', '하는지도', '모를', '편집', '풀샷', '이', '적은게', '아쉽다']	-0.12551247648681546	-0.07
7	7	FKbWwfDeqMs	와 진짜 맨손액션 눈빠져죽겠다	['와', '진짜', '맨손', '액션', '눈', '빠져', '죽겠다']	1.2500757501541586	0.68
8	8	FKbWwfDeqMs	크리스스턱먼 액션영화의 문제점 중  &quot;F cking shaky cam!!!&quot;	['크리스', '스턱먼', '액션영화', '의', '문제점', '중', 'quotF', 'cking', 'shaky', 'camquot']	0.4000000000000001	0.2
9	9	FKbWwfDeqMs	충분히 설득력있으십니다. 다만, 영상 내내 비판을 많이 의식한 느낌이 들어서 오히려 주장하시는 바가 약하게 들리지 않나 싶습니다. 액션 촬영이 구리면 구리다고 말하면 그것으로 끝입니다. 굳이 이 영화의 시나리오가 얼마나 뛰어난지는 다룰 필요가 없죠. 솔까 이 영화의 시나리오나 연출이 그리 뛰어나다고 볼 수 없기도 하고.	['충분히', '설득', '력', '있으십니다', '다만', '영상', '내내', '비판', '을', '많이', '의식', '한', '느낌', '이', '들어서', '오히려', '주장', '하시는', '바', '가', '약하게', '들리지', '않나', '싶습니다', '액션', '촬영', '이', '구리면', '구리다고', '말', '하면', '그것', '으로', '끝', '입니다', '굳이', '이', '영화', '의', '시나리오', '가', '얼마나', '뛰어난지는', '다룰', '필요', '가', '없죠', '솔', '까', '이', '영화', '의', '시나리오', '나', '연출', '이', '그리', '뛰어나다고', '볼', '수', '없기도', '하고']	17.233615066646234	6.17
