	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	j-3YH9splzg	공유야 너가 여기서 왜나오니	['공유', '야', '너', '가', '여기', '서', '왜', '나오니']	-0.01380118808427422	-0.01
1	1	j-3YH9splzg	내가 저게임하면 한시간동안..<br>광고만 오겠지 뭐	['내', '가', '저', '게임', '하', '면', '한', '시간', '동안', '광고', '만', '오겠지', '뭐']	-0.4440941942167533	-0.21
2	2	j-3YH9splzg	오늘 보고왔는데, 영화 진짜 잘만들었네요. 표값 톡톡히 함.	['오늘', '보고왔는데', '영화', '진짜', '잘', '만들었네요', '표값', '톡톡히', '함']	1.6591020014372388	0.85
3	3	j-3YH9splzg	이거 재밋음ㅋㅋ	['이', '거', '재밋음']	0.0	0.0
4	4	j-3YH9splzg	안봤는데 진짜 이래요?!?!	['안', '봤는데', '진짜', '이래요']	-0.2608696842241308	-0.16
5	5	j-3YH9splzg	그럴리가	['그럴', '리가']	0.0	0.0
6	6	j-3YH9splzg	갑분공	['갑', '분', '공']	0.0	0.0
7	7	j-3YH9splzg	무전기 씨발ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	['무전기', '씨발']	0.0	0.0
8	8	j-3YH9splzg	시그널ㅋㅋㅋㅋ	['시그널']	-1.3925553866765472	-1.39
9	9	j-3YH9splzg	진짜 미뗬구 ㅋㅋㅋㅋㅋㅋ	['진짜', '미뗬구']	-0.2125854141055548	-0.16
10	10	j-3YH9splzg	빼빼로 실화?!	['빼빼로', '실화']	-0.42977845329381104	-0.33
11	11	j-3YH9splzg	테이큰 뭔뎈ㅋㅋㅋㅋ	['테이큰', '뭔뎈']	-0.42977845329381104	-0.33
12	12	j-3YH9splzg	"<a href=""https://www.youtube.com/watch?v=j-3YH9splzg&amp;t=0m51s"">0:51</a> 이거 우리 국어 선생님 이름인데..."	['051', '이', '거', '우리', '국어', '선생님', '이름', '인데']	-1.5704040831244224	-0.83
