	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	0nfGtoEm1O0	헐 너무 귀엽다ㅠㅠㅠㅠㅠㅍ	['헐', '너무', '귀엽다']	2.0	1.35
1	1	iFBICttiOcg	멋지네요~<br>당신의 용기<br>친하게 지내고 싶어요	['멋지네요', '당신', '의', '용기', '친하게', '지내고', '싶어요']	3.0	1.63
2	2	iFBICttiOcg	박준영변호사 그 솔직함에 대공감합니다  우리속에 변호사<br>우리속에 사법시스템을 바래봅니다	['박준영', '변호사', '그', '솔직함에', '대', '공감', '합니다', '우리', '속', '에', '변호사', '우리', '속', '에', '사법', '시스템', '을', '바', '래', '봅니다']	1.9393699330772651	0.84
3	3	vIlqqsp2yRE	역시 문재인, &quot;새끼&quot;라는 단어가 욕 할 수 있는 한계치라고 하시는 분.<br>이런 분이 대통령이 되어야, 국민들의 눈물을 닦아 줄 수 있다고 믿습니다.<br>인격적인 인성이 바르게 되신 분. 응원합니다.	['역시', '문재인', 'quot', '새끼', 'quot', '라는', '단어', '가', '욕', '할', '수', '있는', '한계치라고', '하시는', '분', '이런', '분', '이', '대통령', '이', '되어야', '국민', '들', '의', '눈물', '을', '닦아', '줄', '수', '있다고', '믿습니다', '인격', '적', '인', '인성', '이', '바르게', '되신', '분', '응원', '합니다']	-1.6550883870859106	-0.63
4	4	vIlqqsp2yRE	문대표님.박변호사님 존경합니다	['문', '대표', '님', '박', '변호사', '님', '존경', '합니다']	2.7128044279585093	1.43
5	5	vIlqqsp2yRE	문님사랑하고존경합니다♡재심보러가야징	['문', '님', '사랑', '하고', '존경', '합니다', '재심', '보러가야', '징']	4.471035431516698	2.29
6	6	vIlqqsp2yRE	박준영변호사님  존경스럽습니다. 박변호사님 같은 인권변호사가 더 존경받는 사회가 되길 바랍니다. 문님 그런사회 만들어주세요.	['박준영', '변호사', '님', '존경', '스럽습니다', '박', '변호사', '님', '같은', '인권', '변호사', '가', '더', '존경', '받는', '사회', '가', '되길', '바랍니다', '문', '님', '그런', '사회', '만들어주세요']	4.027288554342807	1.69
7	7	vIlqqsp2yRE	문제인. 북한으로가시죠	['문제', '인', '북한', '으로', '가시', '죠']	-1.5543122344752194e-15	-0.0
8	8	vIlqqsp2yRE	자주 소통해요! 오늘도 즐거운 하루 보내세요	['자주', '소통', '해요', '오늘', '도', '즐거운', '하루', '보내세요']	2.0	1.05
9	9	vIlqqsp2yRE	다른 야당과 제대로 연대도 못하고..<br>제1야당이 지금 국민을 대변 하고<br>있는지...왜 후보간 정책 토론을<br>안하는지... 정치인돌 다 똑같다는<br>생각이 든다	['다른', '야당', '과', '제대로', '연대', '도', '못', '하고', '제', '1', '야당', '이', '지금', '국민', '을', '대변', '하고있는지', '왜', '후보', '간', '정책', '토론', '을', '안하는지', '정치', '인돌', '다', '똑같다는', '생각', '이', '든다']	4.002183258684683	1.61
10	10	vIlqqsp2yRE	때가아님	['때', '가', '아님']	0.0	0.0
11	11	vIlqqsp2yRE	Young Jun Choi  토론 일정이 정해지지 않았는데 어떻게 토론을 할까요  프로야구 조차도 일정대로 경기를 치러죠  어느 한팀이 시즌 개막전에 시즌 시작을 요구하는 것이 옳을까요	['Young', 'Jun', 'Choi', '토론', '일정', '이', '정해지지', '않았는데', '어떻게', '토론', '을', '할까', '요', '프로야구', '조차도', '일정', '대로', '경기', '를', '치러죠', '어느', '한', '팀', '이', '시즌', '개막전', '에', '시즌', '시작', '을', '요구', '하는', '것', '이', '옳을까요']	-1.3652123889719738	-0.54
12	12	vIlqqsp2yRE	Young Jun Choi 다른야당과 제대로 연대하지않았다면 탄핵과 특검법이 통과됐을까요	['Young', 'Jun', 'Choi', '다른', '야당', '과', '제대로', '연대', '하지', '않았다면', '탄핵', '과', '특검법', '이', '통과', '됐을까요']	2.2188469594683884	1.01
13	13	vIlqqsp2yRE	문간지	['문간', '지']	0.0	0.0
14	14	vIlqqsp2yRE	시작부터 울리고 울다가 웃고 불의에 분노케 한 영화.연기자들의 연기도 좋았고 무엇보다 억울하게  누명을 쓰고 살아야 했던 현우가.또 다른 그들이 나를.넘가슴.아프게했다.변화된.세상을바래본다🍀	['시작', '부터', '울리고', '울', '다가', '웃고', '불의', '에', '분노', '케', '한', '영화', '연기자', '들', '의', '연기', '도', '좋았고', '무엇', '보다', '억울하게', '누명', '을', '쓰고', '살아야', '했던', '현우', '가', '또', '다른', '그', '들', '이', '나를', '넘', '가슴', '아프게', '했다', '변화', '된', '세상', '을', '바', '래', '본다']	-6.000000000000004	-2.26
15	15	vIlqqsp2yRE	현란한 감언이설과 알맹이없는 빈쭉정이 워딩이 아닌, 살아오신 삶으로 보여주시는 문재인.	['현란한', '감언이설', '과', '알맹이', '없는', '빈', '쭉정이', '워딩', '이', '아닌', '살아오신', '삶', '으로', '보여주시는', '문재인']	-0.07102903864555304	-0.03
16	16	vIlqqsp2yRE	억울하게 범죄자로 몰리고 억울한누명쓰는 사람들이 없는나라에서 살고싶습니다. 국선변호사들도 대충 사건 마무리하지말아야합니다.	['억울하게', '범죄자', '로', '몰리', '고', '억울한', '누명', '쓰는', '사람', '들', '이', '없는', '나라', '에서', '살고싶습니다', '국선', '변호사', '들', '도', '대충', '사건', '마무리', '하지말아야', '합니다']	-4.716573364230007	-1.98
17	17	vIlqqsp2yRE	옛날에 2학년인가? 그때 박근혜 대통령 됐었을때   막  노래 지어서 막 불렀는데<br>박근혜는 싫다고~~~소리를 쳐봐도 내말은 좃도 안듣는다!!<br>문재인 돌아와라!  막 이랬는데 생각난다 ㅋㄱ	['옛날', '에', '2', '학년', '인가', '그때', '박근혜', '대통령', '됐었을', '때', '막', '노래', '지어서', '막', '불렀는데', '박근혜', '는', '싫다고', '소리', '를', '쳐', '봐도', '내', '말', '은', '좃', '도', '안', '듣는다', '문재인', '돌아와라', '막', '이랬는데', '생각난다']	-3.0633104929951824	-1.21
18	18	vIlqqsp2yRE	nice........ really... only one truth..	['nice', 'really', 'only', 'one', 'truth']	0.0	0.0
19	19	vIlqqsp2yRE	이징징.  민주당. 문재인탓하며. &quot;을&quot;코스프레하는거면 그만하자.  <br>지겹다. 보이콧??  맨날 변명이잇고. 피해의식만 가득하니... <br> 손가락이나 이징징이나...민주당먹칠그만하자 지겹다	['이', '징징', '민주당', '문재인', '탓', '하', '며', 'quot', '을', 'quot', '코스프레', '하는거면', '그만하자', '지겹다', '보이콧', '맨날', '변명', '이', '잇고', '피해', '의식', '만', '가득하니', '손가락', '이나', '이', '징징', '이나', '민주당', '먹', '칠', '그만', '하자', '지겹다']	-4.4362414276175235	-1.75
20	20	vIlqqsp2yRE	파산변호사 박준영변호사님과 문대표님이 한자리에 계시는것을 보니 가슴이 뭉클하네요<br>맞아요. 문재인은 항상 약자의 편에 서 계셨습니다.<br>영화 꼭 보러갈게요	['파산', '변호사', '박준영', '변호사', '님', '과', '문', '대표', '님', '이', '한자리', '에', '계시는것을', '보니', '가슴', '이', '뭉클하네요', '맞아요', '문재인', '은', '항상', '약자', '의', '편', '에', '서', '계셨습니다', '영화', '꼭', '보러', '갈게요']	4.094906399550469	1.64
21	21	vIlqqsp2yRE	점점 사이다고구마셔ㅎㅎ	['점점', '사이다', '고구', '마셔']	0.0	0.0
22	22	vIlqqsp2yRE	눈물난다ㅠㅠ	['눈물난다']	0.0	0.0
23	23	vIlqqsp2yRE	역시 따뜻한분<br>지금까지 살아온 정의로운 길<br>꼭 대통령이 되셔서 살아오신 그대로 국민을 지켜주세요<br>응원합니다	['역시', '따뜻한', '분지', '금', '까지', '살아온', '정의', '로운', '길꼭', '대통령', '이', '되셔서', '살아오신', '그대로', '국민', '을', '지켜주세요', '응원', '합니다']	4.503859272825184	1.98
24	24	vIlqqsp2yRE	문재인 가장 따뜻하신분	['문재인', '가장', '따뜻하', '신분']	-0.07102903864555153	-0.04
25	25	vIlqqsp2yRE	문재인 대표님 ~ 든든한 큰오라버니 같으신... 존경하고 지지합니다!	['문재인', '대표', '님', '든든한', '큰', '오라버니', '같으신', '존경', '하고', '지지', '합니다']	1.6166700936548408	0.79
26	26	vIlqqsp2yRE	세상에서 제일 억울한 일이 &#39;누명&#39;입니다.<br>억울한 누명의 인생, 그 피맺힌 한을 꼭 풀어줘야 합니다.<br>국가는 사과하고<br>반드시 보상하라!<br>절대로 이런 일이 반복되지 않게 하라!	['세상', '에서', '제일', '억울한', '일이', '39', '누명', '39', '입니다', '억울한', '누명', '의', '인생', '그', '피맺힌', '한을', '꼭', '풀어줘야', '합니다', '국가', '는', '사과', '하고', '반드시', '보상', '하', '라', '절대로', '이런', '일이', '반복', '되지', '않게', '하라']	-4.453131010237515	-1.76
