	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	fFbyfJqfhQM	숙주에 따라 특성이 달라진다는 것은 에일리언 1,2,3의 설정이 맞습니다. 그런데 에일리언 4에서는 리플리와 함께 리플리의 몸 속에 있는 퀸까지 복제되는 과정에서 두 개체의 DNA가 짬뽕되었다고 해야 하나? 그래서 퀸은 높은 지능을 갖게 되었고 리플리는 우수한 신체적 능력을 갖게 되었죠. (리플리의 피도 산성피가 되어버림) 그렇게 지능이 높은 퀸의 알에서 태어난 개체들의 지능이 대폭 상승한겁니다	['숙주', '에', '따라', '특성', '이', '달라진다는', '것', '은', '에일리언', '123', '의', '설정', '이', '맞습니다', '그런데', '에일리언', '4', '에서는', '리플리', '와', '함께', '리플리', '의', '몸', '속', '에', '있는', '퀸', '까지', '복제', '되는', '과정', '에서', '두', '개체', '의', 'DNA', '가', '짬뽕', '되었다고', '해야', '하나', '그래서', '퀸', '은', '높은', '지능', '을', '갖게', '되었고', '리플리', '는', '우수한', '신체', '적', '능력', '을', '갖게', '되었죠', '리플리', '의', '피', '도', '산성', '피', '가', '되어', '버림', '그렇게', '지능', '이', '높은', '퀸', '의', '알', '에서', '태어난', '개체', '들', '의', '지능', '이', '대폭', '상승', '한', '겁니다']	17.15819071142012	5.85
1	1	fFbyfJqfhQM	에일리언도 지구의 혹독한 추위에누 얼어죽을거야	['에일리언', '도', '지구', '의', '혹독한', '추위', '에', '누', '얼어', '죽을거야']	-0.9175510219345984	-0.46
2	2	fFbyfJqfhQM	초잔인해	['초', '잔인해']	0.0	0.0
3	3	fFbyfJqfhQM	우리 침도 산성인데 침을 캌! 퉤! ㅋㅋ	['우리', '침', '도', '산성', '인데', '침', '을', '캌', '퉤']	1.052035800855624	0.54
4	4	fFbyfJqfhQM	나 1편 밖에 못봤는데 지릴 뻔	['나', '1', '편', '밖에', '못', '봤는데', '지릴', '뻔']	0.3277915676129302	0.17
5	5	fFbyfJqfhQM	오~~멋있엉	['오', '멋있', '엉']	0.0	0.0
6	6	fFbyfJqfhQM	나는 징그러워서 댓글 보면서 보는 1인 추가요.	['나', '는', '징그러워서', '댓글', '보면서', '보는', '1', '인', '추가', '요']	1.0679171377086265	0.53
7	7	fFbyfJqfhQM	용암	['용암']	0.0	0.0
8	8	fFbyfJqfhQM	카직스 역시쌔	['카직스', '역시', '쌔']	0.4377699984588875	0.3
9	9	fFbyfJqfhQM	뉴 워리어 에일리언이 개인적으로 제일 마음에 드네요.	['뉴', '워리어', '에일리언', '이', '개인', '적', '으로', '제일', '마음', '에', '드네', '요']	1.8593940768159227	0.89
10	10	fFbyfJqfhQM	극혐병신미친	['극', '혐', '병신', '미친']	-2.6198541442369963	-1.64
11	11	fFbyfJqfhQM	프로메테우스에 나오는 엔지니어는 외계인이죠?	['프로메테우스', '에', '나오는', '엔지니어', '는', '외계인', '이', '죠']	-0.1171570835959334	-0.06
12	12	fFbyfJqfhQM	ㄱㄱ그그그ㅡ그그ㅡ극혐...	['그', '그', '그', '그', '그', '극', '혐']	0.0	0.0
13	13	fFbyfJqfhQM	레알밥도둑	['레알', '밥', '도둑']	-1.3075348858640663	-0.89
14	14	fFbyfJqfhQM	진짜 좆같이 생겻다	['진짜', '좆', '같이', '생겻다']	-0.07350045570966704	-0.05
