	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	h-uvYqDaXAk	재미있을 영화에...그냥..정치 코드를 넣을려고 하니..이렇게 된게 아닌가 싶어요..	['재미있을', '영화', '에', '그냥', '정치', '코드', '를', '넣을려고', '하니', '이렇게', '된게', '아닌가', '싶어요']	-1.1406307486603806	-0.54
1	1	h-uvYqDaXAk	하아..달수야..왜그랬니??? Me too	['하아', '달수야', '왜', '그랬니', 'Me', 'too']	0.0	0.0
2	2	h-uvYqDaXAk	달수 굿바이	['달수', '굿바이']	0.0	0.0
3	3	h-uvYqDaXAk	우리나라영화 현실을 모르는 쉴드러들 너무많아 문제네요 아무생각없이봐서 재미있으면 그만입니까? 그럼 리얼 보러가십시요 정말 아무생각없으면 재미있습니다 아 물론 뇌도빼야합니다 ^^ 관람가들이 개돼지도아니고 돈주고볼영화를 아무생각없이보고 나오고 막장영화볼꺼면 왜극장가는건지;;;	['우리나라', '영화', '현실', '을', '모르는', '쉴', '드러', '들', '너무', '많아', '문제', '네', '요', '아무', '생각', '없이', '봐서', '재미있으면', '그만', '입', '니까', '그럼', '리얼', '보러가십시요', '정말', '아무', '생각', '없으면', '재미있습니다', '아', '물론', '뇌', '도', '빼야', '합니다', '관람', '가', '들이', '개돼지', '도', '아니고', '돈', '주고', '볼', '영화', '를', '아무', '생각', '없이', '보고', '나오고', '막장', '영화', '볼꺼면', '왜', '극', '장가', '는', '건지']	-10.654724289779967	-3.85
4	4	h-uvYqDaXAk	그래도 난 재미 있게 봤습니다. 물론 전작에 비해서 수준은 많이 떨어졌지요	['그래도', '난', '재미', '있게', '봤습니다', '물론', '전작', '에', '비', '해서', '수준', '은', '많이', '떨어졌지요']	3.280560274894436	1.53
5	5	h-uvYqDaXAk	그냥 영화야 으이그	['그냥', '영화', '야', '으이', '그']	-0.9126342637509566	-0.54
6	6	h-uvYqDaXAk	전 꿀잼이었는데 보는 사람마다 다른가봐요	['전', '꿀', '잼이었는데', '보는', '사람', '마다', '다른', '가봐요']	0.6387969073340576	0.34
7	7	h-uvYqDaXAk	좀 오버하네....중간 내용설명중 영화나 제대로 기억하며 이걸 만든건지 싶네 .......리뷰는 개뿔이.. 에혀이따위 리뷰때문에 재미있게 즐길 사람들까지 영화 안보게 만드네	['좀', '오버', '하네', '중간', '내용', '설명', '중', '영화', '나', '제대로', '기억', '하며', '이', '걸', '만든', '건지', '싶네', '리뷰', '는', '개뿔', '이', '에', '혀', '이따위', '리뷰', '때문', '에', '재미있게', '즐길', '사람', '들', '까지', '영화', '안보', '게', '만드', '네']	3.4037555701526045	1.33
8	8	h-uvYqDaXAk	전보고왔는데 재미있던데요 흘러가는 스토리도 꽤나 있다 생각하고 딱히 욕만 하는것안좋다고생각해요 리뷴데 약간 띄어주는게 아닌가요? 그냥 재밌다고 하는게 조금 ...	['전', '보고왔는데', '재미있던데요', '흘러가는', '스토리', '도', '꽤', '나', '있다', '생각', '하고', '딱히', '욕', '만', '하는것', '안좋다고', '생각', '해', '요', '리뷴데', '약간', '띄어주는게', '아닌가요', '그냥', '재밌다고', '하는게', '조금']	-9.103976485214897	-3.74
9	9	h-uvYqDaXAk	김지원누나존나 좋다	['김지원', '누나', '존나', '좋다']	1.9020723896347902	1.19
10	10	h-uvYqDaXAk	이 영화의 아이디어는 좋았음. 조선시대의 과학수사라는 컨셉. 근데 한국영화 정형적인 특징인 억지로 끼워넣는 희노애락의 구조에 시리즈를 거듭 할 수록 과학수사의 개념보다는 웃기지도 않는 개그랑 이상한 판타지에 초점을 맞춰서 시리즈 망친다	['이', '영화', '의', '아이디어', '는', '좋았음', '조선시대', '의', '과학', '수사', '라는', '컨셉', '근데', '한국영', '화', '정형', '적', '인', '특징', '인', '억지로', '끼워', '넣는', '희노애락', '의', '구조', '에', '시리즈', '를', '거듭', '할', '수록', '과학', '수사', '의', '개념', '보다는', '웃기지도', '않는', '개그', '랑', '이상한', '판타지', '에', '초점', '을', '맞춰서', '시리즈', '망친다']	-11.331426758337011	-4.21
