	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	u4syAsDRtvU	AWWWWW MAN THIS GOT REAL	['AWWWWW', 'MAN', 'THIS', 'GOT', 'REAL']	0.0	0.0
1	1	u4syAsDRtvU	This is intense	['This', 'is', 'intense']	-0.5238550589287183	-0.35
2	2	u4syAsDRtvU	make a incredibles 2 lego stop motion	['make', 'a', 'incredibles', '2', 'lego', 'stop', 'motion']	0.0	0.0
3	3	u4syAsDRtvU	Ha you have the same lego sets as i have!	['Ha', 'you', 'have', 'the', 'same', 'lego', 'sets', 'as', 'i', 'have']	0.0	0.0
4	4	u4syAsDRtvU	Mill&#39;s death is similar to Eddie&#39;s.	['Mill', '39', 's', 'death', 'is', 'similar', 'to', 'Eddie', '39', 's']	-1.5715651767861551	-0.79
5	5	u4syAsDRtvU	It&#39;s just like the movie	['It', '39', 's', 'just', 'like', 'the', 'movie']	-0.5238550589287183	-0.28
6	6	u4syAsDRtvU	What is this music because i 😍	['What', 'is', 'this', 'music', 'because', 'i']	-0.5238550589287183	-0.29
7	7	u4syAsDRtvU	Omg!	['Omg']	0.0	0.0
8	8	u4syAsDRtvU	no offence, but this is kinda, &quot;messy&quot; and use more background builds	['no', 'offence', 'but', 'this', 'is', 'kinda', 'quotmessyquot', 'and', 'use', 'more', 'background', 'builds']	-0.5238550589287183	-0.25
9	9	u4syAsDRtvU	"<a href=""https://www.youtube.com/watch?v=u4syAsDRtvU&amp;t=0m54s"">0:54</a> forgot the kiss"	['054', 'forgot', 'the', 'kiss']	0.0	0.0
10	10	u4syAsDRtvU	Alex  me encantan tus vídeos se que llegaras lejos sigue así            : )	['Alex', 'me', 'encantan', 'tus', 'vdeos', 'se', 'que', 'llegaras', 'lejos', 'sigue', 'as']	0.0	0.0
11	11	u4syAsDRtvU	I like it!	['I', 'like', 'it']	0.0	0.0
12	12	u4syAsDRtvU	it was good! I really liked it! The shadows bugged me though.	['it', 'was', 'good', 'I', 'really', 'liked', 'it', 'The', 'shadows', 'bugged', 'me', 'though']	0.0	0.0
13	13	u4syAsDRtvU	Awesome job, man! I too just finished a Lego Jurassic World 2 Stopmotion and I was wondering if you could watch it and give me some constructive feedback? Thanks, and keep doing what youre doing :)	['Awesome', 'job', 'man', 'I', 'too', 'just', 'finished', 'a', 'Lego', 'Jurassic', 'World', '2', 'Stopmotion', 'and', 'I', 'was', 'wondering', 'if', 'you', 'could', 'watch', 'it', 'and', 'give', 'me', 'some', 'constructive', 'feedback', 'Thanks', 'and', 'keep', 'doing', 'what', 'youre', 'doing']	0.0	0.0
14	14	u4syAsDRtvU	I saw the movie yesterday and i love it and your vid is the same as the final battle :D	['I', 'saw', 'the', 'movie', 'yesterday', 'and', 'i', 'love', 'it', 'and', 'your', 'vid', 'is', 'the', 'same', 'as', 'the', 'final', 'battle', 'D']	-0.5238550589287183	-0.23
15	15	u4syAsDRtvU	I don’t like LEGO that much but now you are making me love LEGO. Fantastic! I give it 5 stars!	['I', 'dont', 'like', 'LEGO', 'that', 'much', 'but', 'now', 'you', 'are', 'making', 'me', 'love', 'LEGO', 'Fantastic', 'I', 'give', 'it', '5', 'stars']	0.0	0.0
16	16	u4syAsDRtvU	Woooooow!!! Great job! Is aczactly like in the movie I subscribed liked and clicked the bell	['Woooooow', 'Great', 'job', 'Is', 'aczactly', 'like', 'in', 'the', 'movie', 'I', 'subscribed', 'liked', 'and', 'clicked', 'the', 'bell']	0.0	0.0
17	17	u4syAsDRtvU	This is so accurate	['This', 'is', 'so', 'accurate']	-0.5238550589287183	-0.33
18	18	u4syAsDRtvU	Thats stupid	['Thats', 'stupid']	0.0	0.0
19	19	u4syAsDRtvU	???	[]	0.0	-0.0
20	20	u4syAsDRtvU	Trash lien come on u could I have tried harder	['Trash', 'lien', 'come', 'on', 'u', 'could', 'I', 'have', 'tried', 'harder']	0.0	0.0
21	21	u4syAsDRtvU	Oops it looked like a different house in the thumbnail	['Oops', 'it', 'looked', 'like', 'a', 'different', 'house', 'in', 'the', 'thumbnail']	0.0	0.0
22	22	u4syAsDRtvU	Why not use the real house I mean how else would you get that LEGO indoraptor	['Why', 'not', 'use', 'the', 'real', 'house', 'I', 'mean', 'how', 'else', 'would', 'you', 'get', 'that', 'LEGO', 'indoraptor']	0.0	0.0
23	23	u4syAsDRtvU	That was intense dude, well done :)	['That', 'was', 'intense', 'dude', 'well', 'done']	0.0	0.0
