	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	L-n2pWf3dAA	최적화ㅡ이것을 볼 바에 <br>중년탐정 김정일과 이건칠의 코미디쇼를  보겠다<br>특징 ㅡ  믿거  성동일	['최적화', '이', '것', '을', '볼', '바', '에', '중년', '탐정', '김정일', '과', '이건', '칠', '의', '코미디', '쇼', '를', '보겠다', '특징', '믿거', '성동일']	2.4759556997835754	1.07
1	1	L-n2pWf3dAA	이걸 보면서 탐정홍길동이 불쌍해지는 생각밖에 안나던데	['이', '걸', '보면서', '탐정', '홍길동', '이', '불쌍해지는', '생각', '밖에', '안나', '던데']	3.1644367702669216	1.55
2	2	L-n2pWf3dAA	애초에 코미디를 목적으로 봤기 때문에 아아아아아아아아주 만족 ㅎㅎ	['애초', '에', '코미디', '를', '목적', '으로', '봤기', '때문', '에', '아아', '아아', '아아', '아아', '주', '만족']	2.160291953530188	0.99
3	3	L-n2pWf3dAA	저도 추리 쪽보다는 코미디 쪽에 좀 더 치중된 영화라고 생각합니다 보면서 부담스럽지 않고 즐겁게 웃으며 볼 수 있었어요	['저', '도', '추리', '쪽', '보다는', '코미디', '쪽', '에', '좀', '더', '치중', '된', '영화', '라고', '생각', '합니다', '보면서', '부담', '스럽지', '않고', '즐겁게', '웃으며', '볼', '수', '있었어요']	5.0138723107438645	2.09
4	4	L-n2pWf3dAA	저는 영화를 전문적으로 분석하고 비교할만큼의 지식은 없는 사람인지라 탐정홍길동은 보면서 씬시티가 많이 생각 났었습니다. 내용이 그렇다는 것이 아니라 연출된 장면장면에서 그런 느낌을 많이 받았는데요.. 저보다 영화에 지식이 뛰어나신 발새(줄이려니 좀 그러네여..?!! 살짝 웃자 정도입니다!)님께서는 더 느끼셨을거라 생각이 드는데 그럼에도 불구하고 탐정홍길동을 높게 평가하는건 단지 탐정리턴즈보단 나은정도의 의미인지 다른 전문가적 의견인지 궁금하네요! 시간이      나서 이 댓글을 보신다면 의견을 듣고 싶습니다! 영상 잘 보고 있구 응원합니다! 편집자 고민을 굳이 하셔야 하나 싶을 정도로 저는 오히려 지금의 방식이 좋네요^^!	['저', '는', '영화', '를', '전문', '적', '으로', '분석', '하고', '비교', '할만큼의', '지식', '은', '없는', '사람인', '지라', '탐정', '홍길동', '은', '보면서', '씬시티', '가', '많이', '생각', '났었습니다', '내용', '이', '그렇다는', '것', '이', '아니라', '연출', '된', '장면', '장면', '에서', '그런', '느낌', '을', '많이', '받았는데요', '저', '보다', '영화', '에', '지식', '이', '뛰어나신', '발', '새줄이려니', '좀', '그러', '네', '여', '살짝', '웃자', '정도', '입니', '다님', '께서는', '더', '느끼셨을거라', '생각', '이', '드는데', '그럼에도', '불구', '하고', '탐정', '홍길동', '을', '높게', '평가', '하는건', '단지', '탐정', '리턴즈', '보단', '나은정', '도의', '의미', '인지', '다른', '전문가', '적', '의견', '인지', '궁금하네요', '시간', '이', '나서', '이', '댓글', '을', '보신다면', '의견', '을', '듣고', '싶습니다', '영상', '잘', '보고', '있구', '응원', '합니다', '편집자', '고민', '을', '굳이', '하셔야', '하나', '싶을', '정도', '로', '저', '는', '오히려', '지금', '의', '방식', '이', '좋네요']	12.892956999946325	4.18
5	5	L-n2pWf3dAA	재밌게 보고 왔어요. 흥행은 괜찮게 할 것 같습니다ㅎㅎ	['재밌게', '보고', '왔어요', '흥행', '은', '괜찮게', '할', '것', '같습니다']	4.797854648889116	2.46
6	6	L-n2pWf3dAA	요즘 tv에서 광고 겁나 자주 때려대는 한국영화는 잘 안보게됨..... 극을 이어가는 방식이나 지향점이 비슷함. 억지로 웃기거나 억지로 울림.	['요즘', 'tv', '에서', '광고', '겁나', '자주', '때려', '대는', '한국영', '화', '는', '잘', '안보', '게', '됨', '극', '을', '이', '어가', '는', '방식', '이나', '지향', '점', '이', '비슷함', '억지로', '웃기거나', '억지로', '울림']	-4.21383954387659	-1.7
7	7	L-n2pWf3dAA	국내에서도 이런 장르의 영화가 계속 있었으면 좋겠어요.<br>응원합니다~	['국내', '에서도', '이런', '장르', '의', '영화', '가', '계속', '있었으면', '좋겠어요', '응원', '합니다']	-0.3818814329053539	-0.18
8	8	L-n2pWf3dAA	근데  요새  탐정물들  거의  코믹요소를  다  넣는데...글고  재밌게  보면  되지  너무  따지고  보면  재미있남?  ㅋㅋ	['근데', '요새', '탐정물', '들', '거의', '코믹', '요소', '를', '다', '넣는데', '글', '고', '재밌게', '보면', '되지', '너무', '따지고', '보면', '재미있', '남']	-2.6888683080843108	-1.17
9	9	L-n2pWf3dAA	재가 이영화 여친한테 볼까 했는데 여친이 4년 동안 사기면서 처음 욕했어요 &quot;오빠 미쳤어?&quot;<br>바로 쥬라기보았다는 ㅠㅠ	['재', '가', '이영화', '여친', '한테', '볼까', '했는데', '여친', '이', '4년', '동안', '사기면서', '처음', '욕', '했어요', 'quot', '오빠', '미쳤어', 'quot', '바로', '쥬라기', '보았다는']	-3.839708046469809	-1.64
10	10	L-n2pWf3dAA	아무생각없이보면 어? 생각보다 재밌다 생각듭니다. 머리비우고 보시면 띵작. 진지한 추리물원하면 글쎄? 정도입니다	['아무', '생각', '없이', '보면', '어', '생각', '보다', '재밌다', '생각', '듭니', '다', '머리', '비우고', '보시', '면', '띵작', '진지한', '추리물', '원하면', '글쎄', '정도', '입니다']	0.8073068640338017	0.34
11	11	L-n2pWf3dAA	탐정 1탄도 그래서 재미있었어요 ㅎㅎ<br>그래서 탐정2탄도 봤는데 엄청 웃었어요<br>잘웃는편이 아닌데도 넘 웃김	['탐정', '1', '탄도', '그래서', '재미있었어요', '그래서', '탐정', '2', '탄도', '봤는데', '엄청', '웃었어요', '잘', '웃는', '편이', '아닌데도', '넘', '웃김']	5.526874074907999	2.45
12	12	L-n2pWf3dAA	탐정홍길동 되게 인상적이게봤는데 진짜 후속편 기다리고있네요	['탐정', '홍길동', '되게', '인상', '적', '이', '게', '봤는데', '진짜', '후', '속편', '기다리고있네요']	3.3152765086524236	1.59
13	13	L-n2pWf3dAA	발없는새님 김지운 감독의 영화 &#39;인랑&#39; 의 티저 예고편이 나왔는데 다음 영상을 인랑에 대해  다루어 주셨스면 좋겠습니다.	['발', '없는', '새', '님', '김지운', '감독', '의', '영화', '39', '인', '랑', '39', '의', '티저', '예고편', '이', '나왔는데', '다음', '영상', '을', '인', '랑', '에', '대해', '다루어', '주셨스', '면', '좋겠습니다']	2.1048415240680707	0.86
14	14	L-n2pWf3dAA	발없는새님 영상 잘 보고있는데요 요즘 &quot;뽂&#39; 소리 너무 자주 나오는거같아요.. 딱히 이펙트도 없는데 좀 안어울려요 죄송해요 그냥 지금대로 하셔도 계속 잘 볼께요	['발', '없는', '새', '님', '영상', '잘', '보고있는데요', '요즘', 'quot', '뽂', '39', '소리', '너무', '자주', '나오는거', '같아요', '딱히', '이펙트', '도', '없는데', '좀', '안', '어울려요', '죄송해요', '그냥', '지금', '대로', '하셔도', '계속', '잘', '볼께요']	0.4543217745374217	0.18
15	15	L-n2pWf3dAA	발새임 혹시 팬더추리시리즈? 흐흐	['발', '새', '임', '혹시', '팬더', '추리', '시리즈', '흐흐']	0.00945221514468808	0.0
16	16	L-n2pWf3dAA	사실보다가 흠칫하리만치 납득안가는 장면이 두개있긴한데 가벼운 웃음은 있는 영화같아요.  추리란 타이틀은 좀 무리지만요	['사실', '보다', '가', '흠칫', '하리', '만치', '납득', '안', '가는', '장면', '이', '두', '개', '있긴한데', '가벼운', '웃음', '은', '있는', '영화', '같아요', '추리란', '타이틀', '은', '좀', '무리', '지만', '요']	0.5915644810414942	0.24
17	17	L-n2pWf3dAA	휘발성 강한 코메디영화는 공장에서 찍어내는것처럼 매번 나오는구만, 딱 아이돌로 점칠화된 가요계나 양산형 오토 RPG게임으로 넘치는 게임시장과 매우 닮아 있음, 국내 대중문화는 맹목적으로 상업성만 추구하는듯, 자본주의에서 마냥 나쁘다고는 못하지만 이러니 발전이 없고 도태되는듯	['휘발', '성', '강한', '코', '메디', '영화', '는', '공장', '에서', '찍어내는것처럼', '매번', '나오는구만', '딱', '아이돌', '로', '점', '칠', '화', '된', '가요', '계', '나', '양산', '형', '오토', 'RPG', '게임', '으로', '넘치는', '게임', '시장', '과', '매우', '닮아', '있음', '국내', '대중문화', '는', '맹목', '적', '으로', '상업성', '만', '추구', '하는듯', '자본주의', '에서', '마냥', '나쁘다고는', '못', '하지만', '이러니', '발전', '이', '없고', '도태', '되는듯']	-10.89418257239207	-3.95
18	18	L-n2pWf3dAA	오리엔탈 특급열차 같은 영화가 나왔으면...	['오리', '엔', '탈', '특급', '열차', '같은', '영화', '가', '나왔으면']	-2.0383485585536576	-1.04
19	19	L-n2pWf3dAA	전 여자친구랑 같이 봤는데 개그물이라 생각하시고 보면 만족스러워요	['전', '여자친구', '랑', '같이', '봤는데', '개그', '물이', '라', '생각', '하시고', '보면', '만족스러워요']	1.4885255163543405	0.72
20	20	L-n2pWf3dAA	그냥 웃으면서 재밌게 봤어요.ㅋㅋㅋㅋ	['그냥', '웃으면서', '재밌게', '봤어요']	3.1337378674770404	1.96
