	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	LHrBJzZyNCU	저는 노바와 배드에이프를 볼때마다 진짜진짜 많은 생각이 들었어요.... 병 들어 퇴화해가는 인간들과.... 진화하는 유인원들.... 그리고 각 종에서 생겨나는 돌연변이들에 등장... 노바와 배드에이프가 괜히 나온 것이 아니라는 생각이 들었어요.	['저', '는', '노바', '와', '배드', '에', '이프', '를', '볼때', '마다', '진짜진짜', '많은', '생각', '이', '들었어요', '병', '들어', '퇴화', '해가는', '인간', '들', '과', '진화', '하는', '유인원', '들', '그리고', '각', '종', '에서', '생겨나는', '돌연변이', '들', '에', '등장', '노바', '와', '배드', '에', '이프', '가', '괜히', '나온', '것', '이', '아니라는', '생각', '이', '들었어요']	-8.176199982523041	-3.04
1	1	LHrBJzZyNCU	확실하게 호불호가 갈리는 듯	['확실하게', '호불호', '가', '갈리는', '듯']	1.0	0.59
2	2	LHrBJzZyNCU	종의 전쟁을 보고 스토리 말아먹을려고 만든건줄 알았을정도인데;;; 차라리 1 2 편이 재미라도 있었죠.	['종', '의', '전쟁', '을', '보고', '스토리', '말아먹을려고', '만든건', '줄', '알았을', '정도', '인데', '차라리', '1', '2', '편이', '재미', '라도', '있었죠']	1.6785966898293905	0.74
3	3	LHrBJzZyNCU	마지막에 시저 죽어요ㅠㅠ	['마지막', '에', '시저', '죽어요']	-1.8390622334348707	-1.15
4	4	LHrBJzZyNCU	시작과 끝이 완벽한 리메이크작이라고 생각했는데 다른분들은 지루하셨다니..	['시작', '과', '끝', '이', '완벽한', '리메이크', '작', '이라고', '생각', '했는데', '다른', '분들', '은', '지루하셨다니']	3.945087693470077	1.84
5	5	LHrBJzZyNCU	뭐 주관적인 의견이고 작품을보고 해석하는능력을 갖는것은 좋은 능력이라 생각하지만 이번 리뷰는 강한 팬심에 의한 과몰입은 아닌가하는 생각이듭니다 너무 그작품을 잘알고 좋아하다보면 사소한 장면에도 과한의미를 부여하는게 종종 보이는 일인데 인형에대한 해석이며 캐릭터들에 대한 의미부여가 지나치게 철학적이다는 생각이드네요 이 영화는 흔히들 상업영화들이 전하는 메세지와 크게 다르지않은데 너무 예술적측면에서 보셨다는 생각이듭니다	['뭐', '주관', '적', '인', '의견', '이고', '작품', '을', '보고', '해석', '하는', '능력', '을', '갖는것은', '좋은', '능력', '이라', '생각', '하지만', '이번', '리뷰', '는', '강한', '팬심', '에', '의한', '과', '몰입', '은', '아닌', '가하는', '생각', '이듭', '니', '다', '너무', '그', '작품', '을', '잘알고', '좋아하다', '보면', '사소한', '장면', '에도', '과', '한', '의미', '를', '부여', '하는게', '종종', '보이는', '일', '인데', '인형', '에', '대한', '해석', '이며', '캐릭터', '들', '에', '대한', '의미', '부여', '가', '지나치게', '철학', '적이다는', '생각', '이드', '네', '요', '이', '영화', '는', '흔히', '들', '상업', '영화', '들', '이', '전하', '는', '메세지', '와', '크게', '다르지', '않은데', '너무', '예술', '적', '측면', '에서', '보셨다는', '생각', '이듭', '니', '다']	-9.167996955628062	-3.06
6	6	LHrBJzZyNCU	모세가 이스라엘 사람들을 이집트에서 탈출하여 약속의 땅으로 들어가는 이야기가 오버랩되더라구요 모세는 단한번 영광을 자신에게 돌린 실수로 약속의 땅에 들어가지 못하죠. 시저도 약속의 땅을 바라만 보고 들어가지 못하고 죽었네요	['모세', '가', '이스라엘', '사람', '들', '을', '이집트', '에서', '탈출', '하여', '약속', '의', '땅', '으로', '들어가는', '이야기', '가', '오버', '랩', '되더라구요', '모세', '는', '단', '한번', '영광', '을', '자신', '에게', '돌린', '실수', '로', '약속', '의', '땅', '에', '들어가지', '못', '하죠', '시저', '도', '약속', '의', '땅', '을', '바라만', '보고', '들어가지', '못', '하고', '죽었네요']	-6.615002656343198	-2.45
7	7	LHrBJzZyNCU	해석하신 리뷰보니 대단한 영화인가 보네요. 제가 보는 눈이 없나봐요. 시저가 심각하던 말던 어떠한 영웅이던 소가 닭보듯 하는 나이가 돼버렸나 봐요..ㅜㅜ	['해석', '하신', '리뷰', '보니', '대단한', '영화', '인가', '보네요', '제', '가', '보는', '눈', '이', '없나', '봐요', '시저', '가', '심각하던', '말던', '어떠한', '영웅', '이던', '소가', '닭', '보듯', '하는', '나이', '가', '돼', '버렸나', '봐요']	4.056455825607023	1.63
8	8	LHrBJzZyNCU	아 중간쯤 시저가 노동하다 쓰러진 원숭이 채찍맡을때 leave him alone 할때 소름.. 아 근데 밀리터리쪽에 고증이 좀 틀려서 아쉽	['아', '중간', '쯤', '시저', '가', '노동', '하다', '쓰러진', '원숭이', '채찍', '맡을', '때', 'leave', 'him', 'alone', '할', '때', '소름', '아', '근데', '밀리터리', '쪽', '에', '고증', '이', '좀', '틀려서', '아쉽']	-5.457135311755123	-2.23
9	9	LHrBJzZyNCU	잘 봤습니다	['잘', '봤습니다']	1.694483981596924	1.3
10	10	LHrBJzZyNCU	다 좋았는데.....눈사태........	['다', '좋았는데', '눈사태']	1.0064291953457216	0.68
11	11	LHrBJzZyNCU	3부작 다 보고나면 한 인물의 일대기룰 다 보는 위인전을 본 느낌이 남	['3', '부작', '다', '보고나면', '한', '인물', '의', '일대', '기', '룰', '다', '보는', '위인', '전', '을', '본', '느낌', '이', '남']	0.4525204757790763	0.2
12	12	LHrBJzZyNCU	너무 의미를 부여하시네...	['너무', '의미', '를', '부여', '하시네']	-0.7598047177464029	-0.45
13	13	LHrBJzZyNCU	임형주 해석은 사람마다 다른 거니까요	['임형주', '해석', '은', '사람', '마다', '다른', '거', '니까', '요']	0.9364474874147698	0.48
14	14	LHrBJzZyNCU	시저가 죽었나요?	['시저', '가', '죽었나요']	-0.3358476357620103	-0.23
15	15	LHrBJzZyNCU	무것도안하고 구독자1000명 찍고싶다 아 죽습니다	['무것', '도안', '하고', '구', '독자', '1000', '명', '찍고싶다', '아', '죽습니다']	-0.16564782697415648	-0.08
16	16	LHrBJzZyNCU	선스포 후관람^^	['선', '스포', '후', '관람']	-1.0	-0.62
17	17	LHrBJzZyNCU	진짜 노잼;; 1-2부 시리즈 내용 알겠는데요;; 뭔 자극이와야 볼텐데 잠을 자버렸어요. 자고 일어났는데 아직 안끝나서 욕나왔어요...	['진짜', '노잼', '12', '부', '시리즈', '내용', '알겠는데요', '뭔', '자극', '이', '와야', '볼텐데', '잠', '을', '자', '버렸어요', '자고', '일어났는데', '아직', '안', '끝나서', '욕', '나왔어요']	-3.8826657448466384	-1.64
18	18	LHrBJzZyNCU	시저의 철학이나 시리즈에 의미깊은 작품이라고 하는건 그렇다 치더라도.. <br>저는 솔직히 눈사태때문에 군대가 전멸하고(후발대같은건 스토리를 위해 없어야 했는듯), 허리에 화살이 박힌채 말(굉장히 흔들거리는)을 타고 미 대륙을 횡단했다는게 정상적인 전개인지는 모르겠습니다ㅠㅠ	['시저', '의', '철학', '이나', '시리즈', '에', '의미', '깊은', '작품', '이라고', '하는건', '그렇다', '치더라도', '저', '는', '솔직히', '눈사태', '때문', '에', '군대', '가', '전멸', '하고', '후발', '대', '같은건', '스토리', '를', '위해', '없어야', '했는듯', '허리', '에', '화살', '이', '박힌', '채', '말', '굉장히', '흔들거리', '는을', '타고', '미', '대륙', '을', '횡단', '했다는게', '정상', '적', '인', '전', '개인', '지는', '모르겠습니다']	1.7064424871301307	0.62
19	19	LHrBJzZyNCU	나 역시 종의전쟁이라는 부제때문에 인간과 유인원 간의 큰 전쟁이 일어나겠구나 하는 생각으로 영화를 봤음 하지만 영화가시작하고 대령이 시저네 거주지에 들이닫쳐 가족을 죽이고 나서부터 나도 모르게 시저에게로 감정이입이 되면서 영화를 봤음 큰전쟁이 안나온건 아쉬웠지만 그럼에도 이 영화를 다보고 나서도 깊은 여운이 남은채 좋은 기분으로 극장을 나올수 있었던건 시저라는 영웅의 마지막모습과 그 감정표현을 너무 잘담아놔서 그랬을꺼라 생각함	['나', '역시', '종', '의', '전쟁', '이라는', '부제', '때문', '에', '인간', '과', '유인원', '간의', '큰', '전쟁', '이', '일어나겠구나', '하는', '생각', '으로', '영화', '를', '봤음', '하지만', '영화', '가', '시작', '하고', '대령', '이', '시저', '네', '거주지', '에', '들이', '닫', '쳐', '가족', '을', '죽', '이고', '나서부터', '나도', '모르게', '시저', '에게로', '감정이입', '이', '되면서', '영화', '를', '봤음', '큰', '전쟁', '이', '안나', '온건', '아쉬웠지만', '그럼에도', '이', '영화', '를', '다', '보고', '나서도', '깊은', '여운', '이', '남은', '채', '좋은', '기분', '으로', '극장', '을', '나올수', '있었던건', '시저', '라는', '영웅', '의', '마지막모습', '과', '그', '감정', '표현', '을', '너무', '잘', '담아', '놔서', '그랬을꺼라', '생각', '함']	3.7309657621851424	1.25
20	20	LHrBJzZyNCU	저 이거 보다가 눈물이 ㅠㅠ	['저', '이', '거', '보다가', '눈물', '이']	-1.8087306160759369	-1.02
