,id,sentence,comment_cut,score,ratio
0,UOvBZOpmHMY,저새낀 동정탈출했는데...ㅠㅠ,"['저', '새', '낀', '동정', '탈출', '했는데']",1.4016565685892601e-15,0.0
1,UOvBZOpmHMY,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 해병대원이 된 레지,"['해병대', '원', '이', '된', '레', '지']",1.4016565685892601e-15,0.0
2,UOvBZOpmHMY,레지재도나오는거야? ㅋㅋㅋ,"['레', '지', '재도', '나오는거야']",0.0,0.0
3,UOvBZOpmHMY,레지 성공했구나ㅋㅋ,"['레', '지', '성공했구나']",0.0,0.0
4,UOvBZOpmHMY,봐야것네 나쁜녀석들 도 안봤는데 시간내서 봐야지,"['봐야것네', '나쁜', '녀석', '들', '도', '안', '봤는데', '시간', '내서', '봐야지']",-3.0665621825222953,-1.53
5,UOvBZOpmHMY,레지 하나도 안늙었엌ㅋㅋㅋㅋㅋㅋㅋ미리 늙었어서 그런갘ㅋㅋㅋ,"['레', '지', '하나', '도', '안', '늙었', '엌', '미리', '늙었어서', '그런', '갘']",0.0,0.0
6,UOvBZOpmHMY,너무 강해져서 돌아온 레지 ㅋㅋㅋ,"['너무', '강해져서', '돌아온', '레', '지']",1.4016565685892601e-15,0.0
7,UOvBZOpmHMY,유지못했넼ㅋㅋㅋㅋㅋ,"['유지', '못', '했', '넼']",0.0,0.0
8,UOvBZOpmHMY,"<a href=""https://www.youtube.com/watch?v=UOvBZOpmHMY&amp;t=0m44s"">0:44</a> 이걸 삐슝빠슝뿌슝으로 번역했으면 어땠을까","['044', '이', '걸', '삐슝빠슝뿌슝', '으로', '번역', '했으면', '어땠을까']",-0.24907757446968476,-0.13
9,UOvBZOpmHMY,왠지 경찰서와 별로 안친할 사람들,"['왠지', '경찰서', '와', '별로', '안', '친할', '사람', '들']",0.0,0.0
10,UOvBZOpmHMY,레지야 숫총각 유지에 실패했구나ㅠㅠ,"['레지', '야', '숫총각', '유지', '에', '실패했구나']",0.0,0.0
11,UOvBZOpmHMY,목숨은 키핑함 ㅋㅋㅋ,"['목숨', '은', '키핑함']",0.0,0.0
12,UOvBZOpmHMY,이건 무조건 봐야겟다 ㅋㅋㅋㅋㅋㅋ,"['이건', '무조건', '봐야겟다']",0.0,0.0
13,UOvBZOpmHMY,머더뻐꺼 유 룩 떠리 근데 진짜 떠리됨,"['머더', '뻐', '꺼', '유', '룩', '떠리', '근데', '진짜', '떠리', '됨']",-0.7737056144690806,-0.39
14,UOvBZOpmHMY,내타하고싶어,"['내', '타', '하고', '싶어']",0.7737056144690847,0.48
15,UOvBZOpmHMY,저걸 누가 경찰로봐.ㅋㅋㅋㅋ,"['저걸', '누가', '경찰', '로', '봐']",0.0,0.0
16,UOvBZOpmHMY,결혼까지 하다니 ㅋㅋㅋㅋ,"['결혼', '까지', '하다니']",0.0,0.0
17,UOvBZOpmHMY,야 미안 나도 서른으로 봤어,"['야', '미안', '나도', '서른', '으로', '봤어']",-0.24907757446968615,-0.14
18,UOvBZOpmHMY,레지 진짜 장함ㅜ,"['레', '지', '진짜', '장함']",0.24907757446968898,0.16
19,UOvBZOpmHMY,우린 같이 달리고 같이 죽는다 분노의 질주에서 나왔던 대사아닌가?,"['우린', '같이', '달리', '고', '같이', '죽는다', '분노', '의', '질주', '에서', '나왔던', '대사', '아닌가']",-4.601639349465696,-2.18
20,UOvBZOpmHMY,레지좌 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,['레지좌'],0.0,0.0
21,UOvBZOpmHMY,어깨보소 ㅋㅋㅋㅋㅋㅋㅋ,"['어깨', '보소']",0.0,0.0
