,id,sentence,comment_cut,score,ratio
0,_52rxWm3fMY,전두환 이 개새끼는 진짜 뒤지면 부관참시 해야된다.,"['전두환', '이', '개새끼', '는', '진짜', '뒤지면', '부관참시', '해야', '된다']",-3.014456579634351,-1.54
1,_52rxWm3fMY,육참 그러길래 김재규랑 남산으로나 가시지,"['육', '참', '그러길래', '김재규', '랑', '남산', '으로나', '가시', '지']",-0.23660712595098476,-0.12
2,_52rxWm3fMY,이시대에 전두환  영웅 나왯으면,"['이', '시대', '에', '전두환', '영웅', '나왯으', '면']",1.2794960956645653,0.69
3,_52rxWm3fMY,전두환 장군은 영웅이다. 돼중이는 북한에 엄청 퍼줬지. 북한의 앞잡이야? 종북좌파지. 노물현과 문재앙도 마찬가지. 전부 단두대로 보내야 될놈들이지. 전두환 장군은  영웅이다. 박정희 대통령과 같이 위대한 분이다.,"['전두환', '장군', '은', '영웅', '이다', '돼', '중이', '는', '북한', '에', '엄청', '퍼줬', '지', '북한', '의', '앞잡이', '야', '종북좌파', '지', '노물', '현', '과', '문', '재앙', '도', '마찬가지', '전부', '단두', '대로', '보내야', '될', '놈', '들', '이지', '전두환', '장군', '은', '영웅', '이다', '박정희', '대통령', '과', '같이', '위대한', '분', '이다']",-3.924874541182769,-1.47
4,_52rxWm3fMY,"<a href=""https://www.youtube.com/watch?v=_52rxWm3fMY&amp;t=2m49s"">2:49</a> 양쪽의 쩍벌이 몹시 불편한 노태우","['249', '양쪽', '의', '쩍', '벌이', '몹시', '불편한', '노태우']",-3.4619651778318774,-1.82
5,_52rxWm3fMY,아주 개자슥들   쪽팔린지알아야지 민간인을상대로 저게머냐 개스레기전두한,"['아주', '개자', '슥', '들', '쪽팔린지', '알아야지', '민간인', '을', '상대로', '저', '게', '머냐', '개', '스레', '기전', '두', '한']",-0.6071367189298176,-0.27
6,_52rxWm3fMY,저때 투입댓던 병사들은60대 초중반 대갠내 얼마나 죄스러울까,"['저', '때', '투입', '댓', '던', '병사', '들', '은', '60', '대', '초', '중반', '대', '갠', '내', '얼마나', '죄', '스러울까']",-3.9209235881921614,-1.74
7,_52rxWm3fMY,1 29초 모레시게에 나온장면,"['1', '29초', '모', '레시', '게', '에', '나온', '장면']",-0.8185590350697488,-0.43
8,_52rxWm3fMY,스벨럼들 먹지도 안을거면 밥상은 졸라개 차려낫내,"['스', '벨', '럼', '들', '먹지도', '안을거면', '밥상', '은', '졸라', '개', '차려', '낫내']",-0.5030046134731451,-0.24
9,_52rxWm3fMY,25분 50초 저때도 저만원짜리엿내 신기,"['25분', '50초', '저', '때', '도', '저', '만원', '짜리', '엿', '내', '신기']",-0.4865888392166384,-0.24
10,_52rxWm3fMY,광주사태장면 어떻게 찍었냐.때리는 군인과 맞는 학생들.,"['광주', '사태', '장면', '어떻게', '찍었냐', '때리는', '군인', '과', '맞는', '학생', '들']",-3.7177164868137766,-1.82
11,_52rxWm3fMY,누군가찍은거 여지것보관이댄거갯조 기자들 아닐까요,"['누군가', '찍은거', '여지것', '보관', '이', '댄거', '갯', '조', '기자', '들', '아닐까', '요']",0.18964885205850113,0.09
12,_52rxWm3fMY,영웅. . .  전두환. . . .시대의 영웅,"['영웅', '전두환', '시대', '의', '영웅']",1.2794960956645653,0.75
13,_52rxWm3fMY,그립다 전통,"['그립다', '전통']",1.0,0.77
14,_52rxWm3fMY,여기 댓글들 정말이지 &quot;와 우!!!&quot;,"['여기', '댓글', '들', '정말', '이지', 'quot', '와', '우', 'quot']",-1.1108183238751006,-0.57
15,_52rxWm3fMY,칠공수 출신이고 전라도 사람이며 드라마가 방영될 당시 현역중사로 복무중이었습니다 그때를 다시 돌이켜봐도 마음이 아프고 혼란스럽네요..<br>군인은 당연히 명령에 복종해야 맞는거지만 자국민을 상대로 정확한 이유없이 무차별 진압한다다는건 분명 문제가 있다고 생각합니다,"['칠', '공수', '출신', '이고', '전라도', '사람', '이며', '드라마', '가', '방영', '될', '당시', '현역', '중사', '로', '복무', '중', '이었습니다', '그때', '를', '다시', '돌이켜', '봐도', '마음', '이', '아프고', '혼란', '스럽네요', '군인', '은', '당연히', '명령', '에', '복종', '해야', '맞는거지만', '자', '국민', '을', '상대로', '정확한', '이유', '없이', '무차별', '진압', '한', '다다', '는', '건', '분명', '문제', '가', '있다고', '생각', '합니다']",-11.200744778769606,-4.09
16,_52rxWm3fMY,"<a href=""https://www.youtube.com/watch?v=_52rxWm3fMY&amp;t=1h50m13s"">1:50:13</a> 야인시대 일제시대 감독관 소장 영웅시대 건설부 장관 역할 했었던 배우네요","['15013', '야인시대', '일제시대', '감독', '관', '소장', '영웅시대', '건설부', '장관', '역할', '했었던', '배우네요']",0.30718567249907314,0.15
17,_52rxWm3fMY,운전병이 장교보다 더ㅜ늙었음,"['운전', '병', '이', '장교', '보다', '더', '늙었음']",-3.5825130575450563,-1.94
18,_52rxWm3fMY,저런넘이 국방장관이라니 혀깨물고 뒈져라,"['저런', '넘이', '국방', '장관', '이라니', '혀', '깨물고', '뒈져라']",-0.14597964838756894,-0.08
19,_52rxWm3fMY,지금 국방부장관은 어떤가요?,"['지금', '국방부', '장관', '은', '어떤', '가요']",-0.3312986691926137,-0.19
20,_52rxWm3fMY,노재현    장관      최고,"['노재현', '장관', '최고']",2.5839036104373876,1.75
21,_52rxWm3fMY,"시호주님가문의남성아들로살려두고싶은아들남자&quot;더&quot;ㄱ,콰:-&quot;! 니임현식이한테말해주고1마눤받아라! 가문의엣시발[옛이름_애경이락꼬알랑가!@@]시초어느집족뽀의며느리가맨처음해먹꼬소문냈따던상추를된장에안찍어먹꼬먹따말고밥을상추에싸서된장젓가락으로몇점올려배추잎에식용유발라크게입벌려꾸역먹고나서시어매가물은즉니웨카노밥을상추에웨싸먹노카이먹꼬나서하느말이어무이요이제쫌살꺼간니더이후로여러갈래형태로쌈이발전하여식단메뉴로....4.5.6세때도간장에밥비벼먹다가는꾸우역물마시고시원하게...속이맥히다가내려감..밀까루바른찰떡에가는체질은재수없는날아나운서놀이하다가죽엍따!/  실시!@@콱,","['시', '호주', '님', '가문', '의', '남성', '아들', '로', '살려', '두고싶은', '아들', '남자', 'quot', '더', 'quot', '콰', 'quot', '니', '임현식', '이', '한테', '말', '해주고', '1', '마눤받아', '라', '가문', '의', '엣시', '발', '옛', '이름', '애경', '이락', '꼬알', '랑', '가시', '초', '어느', '집족뽀', '의', '며느리', '가', '맨', '처음', '해먹', '꼬', '소문', '냈', '따던', '상추', '를', '된장', '에', '안', '찍어', '먹', '꼬', '먹', '따말고', '밥', '을', '상추', '에', '싸서', '된장', '젓가락', '으로', '몇점', '올려', '배추', '잎', '에', '식용유', '발라크', '게', '입', '벌려', '꾸', '역', '먹고', '나서시어매', '가물', '은즉', '니', '웨카', '노밥', '을', '상추', '에', '웨', '싸', '먹노', '카이', '먹', '꼬', '나서', '하느말이어', '무', '이', '요', '이제', '쫌', '살꺼', '간', '니', '더', '이후', '로', '여러', '갈래', '형태', '로', '쌈', '이', '발전', '하', '여', '식단', '메뉴', '로', '456', '세', '때', '도', '간장', '에', '밥', '비벼', '먹다가는', '꾸', '우역', '물', '마시고', '시원하게', '속', '이맥', '히', '다가', '내려감', '밀까', '루', '바른', '찰떡', '에가', '는', '체질', '은', '재수없는', '날', '아나운서', '놀이', '하다', '가죽', '엍', '따', '실시', '콱']",3.6057719530050503,1.13
22,_52rxWm3fMY,저런 권력을 부러워 한게 지금 정권 잡은 틀딱들인가,"['저런', '권력', '을', '부러워', '한', '게', '지금', '정권', '잡은', '틀', '딱', '들인가']",-2.0536891048691963,-0.99
23,_52rxWm3fMY,씨발 미국 새끼들이 뭔데 남의 나라 일에 지랄아야,"['씨발', '미국', '새끼', '들', '이', '뭔', '데', '남', '의', '나라', '일', '에', '지랄', '아야']",-0.6436428503921562,-0.3
24,_52rxWm3fMY,전대갈 국민 수백수천명을 죽이고 천수를 누리는구나,"['전', '대갈', '국민', '수백', '수', '천명', '을', '죽', '이고', '천수', '를', '누리는구나']",-1.4331430806278098,-0.69
25,_52rxWm3fMY,저때 전라종족 깽깽이들 멸종시켰어야,"['저', '때', '전라', '종족', '깽깽', '이', '들', '멸종', '시켰어야']",-0.2432944196083181,-0.12
26,_52rxWm3fMY,"<a href=""https://www.youtube.com/watch?v=_52rxWm3fMY&amp;t=17m10s"">17:10</a> 이덕화님 연기보소 ㄷㄷ 당사자 감정이입 오지게 잘되있네 ㅋㅋㅋㅋ","['1710', '이덕화', '님', '연기', '보소', '당사자', '감정이입', '오지', '게', '잘', '되있네']",2.1055226583490034,1.03
