,id,sentence,comment_cut,score,ratio
0,lOHYH_AFzGk,Unnie is so sweet and cute when she&#39;s shy💙🤣🤣,"['Unnie', 'is', 'so', 'sweet', 'and', 'cute', 'when', 'she', '39', 's', 'shy']",0.7496220414026459,0.37
1,lOHYH_AFzGk,Omg i’m shipping Jessi left and right ~ jungshik and now je hoon 🤧🤧,"['Omg', 'im', 'shipping', 'Jessi', 'left', 'and', 'right', 'jungshik', 'and', 'now', 'je', 'hoon']",1.6424125208011677,0.79
2,lOHYH_AFzGk,"what makes the show even more great is the laugh of the staff and the pd, its just so natural","['what', 'makes', 'the', 'show', 'even', 'more', 'great', 'is', 'the', 'laugh', 'of', 'the', 'staff', 'and', 'the', 'pd', 'its', 'just', 'so', 'natural']",3.630430878704494,1.58
3,lOHYH_AFzGk,You guys should have jackson and the whole got7 gang overr!!! It’ll be such a blast!,"['You', 'guys', 'should', 'have', 'jackson', 'and', 'the', 'whole', 'got', '7', 'gang', 'overr', 'Itll', 'be', 'such', 'a', 'blast']",2.0,0.9
4,lOHYH_AFzGk,"Jesse, please interview with BTS 🥺🥺🥺","['Jesse', 'please', 'interview', 'with', 'BTS']",0.0,0.0
5,lOHYH_AFzGk,OMG LAUGHING SOOO HARD😭😭😭,"['OMG', 'LAUGHING', 'SOOO', 'HARD']",0.0,0.0
6,lOHYH_AFzGk,is no one going to talk about how sweet and ADORABLE cho woo-jin is?  I was nervous he wasn&#39;t going to get as much attention because of lee je-hoon but jessi was such an amazing host. I love this show and everyone who has taken part to create it.,"['is', 'no', 'one', 'going', 'to', 'talk', 'about', 'how', 'sweet', 'and', 'ADORABLE', 'cho', 'woojin', 'is', 'I', 'was', 'nervous', 'he', 'wasn', '39', 't', 'going', 'to', 'get', 'as', 'much', 'attention', 'because', 'of', 'lee', 'jehoon', 'but', 'jessi', 'was', 'such', 'an', 'amazing', 'host', 'I', 'love', 'this', 'show', 'and', 'everyone', 'who', 'has', 'taken', 'part', 'to', 'create', 'it']",2.956514256224519,1.09
7,lOHYH_AFzGk,THIS IS SO FUNNY WTF HAHAHAHAHAHAHAHHAHAA,"['THIS', 'IS', 'SO', 'FUNNY', 'WTF', 'HAHAHAHAHAHAHAHHAHAA']",0.0,0.0
8,lOHYH_AFzGk,Jessi te amo,"['Jessi', 'te', 'amo']",1.6424125208011677,1.11
9,lOHYH_AFzGk,I love the blanket!,"['I', 'love', 'the', 'blanket']",1.8905630715407276,1.18
