,id,sentence,comment_cut,score,ratio
0,dbetLcy3UDg,Please can you send me link in any online sites,"['Please', 'can', 'you', 'send', 'me', 'link', 'in', 'any', 'online', 'sites']",0.0,0.0
1,dbetLcy3UDg,I love this wish they released it already in online sites,"['I', 'love', 'this', 'wish', 'they', 'released', 'it', 'already', 'in', 'online', 'sites']",0.0,0.0
2,dbetLcy3UDg,😆😆😆,[],0.0,-0.0
3,dbetLcy3UDg,Dolittle dengan kearifan lokal,"['Dolittle', 'dengan', 'kearifan', 'lokal']",0.0,0.0
4,dbetLcy3UDg,WOW looks very entertaining ...,"['WOW', 'looks', 'very', 'entertaining']",0.0,0.0
5,dbetLcy3UDg,Korean Tarzan :-D,"['Korean', 'Tarzan', 'D']",0.0,0.0
6,dbetLcy3UDg,First Secret Zoo and now this Mr.Zoo...😂😂😂😂😂<br>Now I can see where Korean movie industry is going...I guess Animals are the new actors for them..But still i will watch both of these movies because I found it interesting....🤗😇,"['First', 'Secret', 'Zoo', 'and', 'now', 'this', 'MrZooNow', 'I', 'can', 'see', 'where', 'Korean', 'movie', 'industry', 'is', 'goingI', 'guess', 'Animals', 'are', 'the', 'new', 'actors', 'for', 'themBut', 'still', 'i', 'will', 'watch', 'both', 'of', 'these', 'movies', 'because', 'I', 'found', 'it', 'interesting']",0.0,0.0
7,dbetLcy3UDg,"Like this one, looking forward for this","['Like', 'this', 'one', 'looking', 'forward', 'for', 'this']",0.0,0.0
8,dbetLcy3UDg,"Where can i watch this movies, you are uploading?","['Where', 'can', 'i', 'watch', 'this', 'movies', 'you', 'are', 'uploading']",0.0,0.0
9,dbetLcy3UDg,"Maybe in <a href=""http://kissasian.com/"">kissasian.com</a>","['Maybe', 'in', 'kissasiancom']",0.0,0.0
10,dbetLcy3UDg,Comment number one,"['Comment', 'number', 'one']",0.0,0.0
