,id,sentence,comment_cut,score,ratio
0,H9MitL7SVvE,"디즈니:이거 우리 영화임 ㅋ<br>폭스,블루스카이:(콜록)뭐.. 뭐야?","['디즈니', '이', '거', '우리', '영화', '임', '폭스', '블루', '스카이', '콜록', '뭐', '뭐', '야']",0.0,0.0
1,H9MitL7SVvE,디즈니 이 깡패시키들ㅠㅠ 우리 블루스카이 잊혀지면 안돼,"['디즈니', '이', '깡패', '시', '키', '들', '우리', '블루', '스카이', '잊혀지면', '안', '돼']",0.0,0.0
2,H9MitL7SVvE,빨리왔다!!,"['빨리', '왔다']",0.0,0.0
3,H9MitL7SVvE,아니 슾지는 절대 디즈니 것이 아니라구요ㅠㅠ 블루 스카이 것이라는 것을 꼭 알아줬음 좋겠어ㅠㅠㅠㅠㅠㅠㅠㅠ,"['아니', '슾', '지는', '절대', '디즈니', '것', '이', '아니라구요', '블루', '스카이', '것', '이라는', '것', '을', '꼭', '알아줬음', '좋겠어']",0.0,0.0
4,H9MitL7SVvE,1등 ㅅㅅ,['1등'],0.0,0.0
5,nTU3988dtDA,잘보고 잇습니다 설명 내용이 좋은데 말투나 발음이 부적 합하게 느껴져요 좀더 자신감 잇고 마이크를 조금 뒤에 두면서 숨을 한번 더쉰다는 느낌으로 하면 어떨까요???,"['잘', '보고', '잇습니다', '설명', '내용', '이', '좋은데', '말투', '나', '발음', '이', '부적', '합', '하게', '느껴져요', '좀더', '자신감', '잇고', '마이크', '를', '조금', '뒤', '에', '두', '면서', '숨', '을', '한번', '더', '쉰다는', '느낌', '으로', '하면', '어떨까', '요']",2.0,0.79
6,nTU3988dtDA,사람한테 피해 주지 않는다는 주제가 감동이였다 ㄹㅇ,"['사람', '한테', '피해', '주지', '않는다는', '주제가', '감동', '이', '였다']",-10.999999999999996,-5.63
7,nTU3988dtDA,꽤 잘 만든 영화지만 코로나바이러스 때문에 관객 수가 영향을 받을 것 같네요....,"['꽤', '잘', '만든', '영화', '지만', '코로나바이러스', '때문', '에', '관객', '수가', '영향', '을', '받을', '것', '같네요']",1.0,0.46
8,nTU3988dtDA,KNOCK KNOCK,"['KNOCK', 'KNOCK']",0.0,0.0
9,nTU3988dtDA,원스여서 봤다....,"['원스', '여서', '봤다']",0.0,0.0
10,nTU3988dtDA,@앨범 트와이스 노래가 나올거에요,"['앨범', '트와이스', '노래', '가', '나올거에요']",0.0,0.0
11,nTU3988dtDA,@ㄱㅈㅇㅈ 왜 원스면 봐야되요??,"['왜', '원스', '면', '봐야되', '요']",0.0,0.0
12,nTU3988dtDA,저도ㅋㅋ,"['저', '도']",0.0,0.0
13,nTU3988dtDA,이 영화가 디즈니꺼인가요?,"['이', '영화', '가', '디즈니', '꺼', '인가요']",0.0,0.0
14,nTU3988dtDA,코드명:하이드로겐본드,"['코드명', '하', '이드', '로', '겐', '본드']",0.0,0.0
15,nTU3988dtDA,딸과 함께 봤는데 너무 재밌었어요^^,"['딸', '과', '함께', '봤는데', '너무', '재밌었어요']",1.0,0.56
16,nTU3988dtDA,이 댓글은 존재하지 않습니다.,"['이', '댓글', '은', '존재', '하지', '않습니다']",0.0,0.0
17,nTU3988dtDA,@뭘봐 죄송...,"['뭘', '봐', '죄송']",0.0,0.0
