,id,sentence,comment_cut,score,ratio
0,BeAuiLGi938,재밌다 이 영화,"['재밌다', '이', '영화']",-0.14565036747886895,-0.1
1,BeAuiLGi938,미키의자살괴담은진짜입니까?,"['미키', '의', '자살', '괴담', '은진', '짜입니까']",0.0,0.0
2,BeAuiLGi938,테케테케 라는 일본 b급 공포영화를 보시면 아~! 하실듯,"['테케테케', '라는', '일본', 'b', '급', '공포영화', '를', '보시', '면', '아', '하실듯']",-0.10692017559488143,-0.05
3,BeAuiLGi938,아 이거 보러가야하는데 ㅠㅠㅠ 예약할까 ㅠㅜㅜㅠ,"['아', '이', '거', '보러가야하는데', '예약', '할까']",0.0,0.0
4,BeAuiLGi938,1빠,"['1', '빠']",0.0,0.0
5,BeAuiLGi938,💙💙💙💙💙💙💙💙💙💙💙,[],0.0,-0.0
6,z9AzQQNHTFo,이스터 에그 하나 더 있어요~!! 만티코어 주점에 인형뽑기 기계팔이 인피니티 건틀렛이에요~!!👍,"['이스터', '에그', '하나', '더', '있어요', '만', '티코', '어', '주점', '에', '인형', '뽑기', '기계', '팔이', '인피니티', '건틀렛', '이에요']",-0.9793373435370074,-0.44
7,z9AzQQNHTFo,이거 오늘 영화를 봤는데  🐕재미 있어요<br>결말은(자세히 보기)<br><br><br><br><br><br><br><br><br><br><br>훼이크다!!!!!!!!!(말하면 안되겠지?),"['이', '거', '오늘', '영화', '를', '봤는데', '재미', '있어요', '결말', '은', '자세히', '보기', '훼', '이크', '다말', '하', '면', '안되겠지']",4.640509281331368,2.06
8,z9AzQQNHTFo,영화 진짜 감동적이였음... 이안은좋겠다 저런 멋진형이있으니,"['영화', '진짜', '감동', '적이였음', '이안', '은', '좋겠다', '저런', '멋진', '형', '이', '있으니']",3.4378720749970486,1.65
9,z9AzQQNHTFo,이거  극장에서봄  꿀잼 입니다   그리고 마지막에 감동,"['이', '거', '극장', '에서', '봄', '꿀잼', '입니다', '그리고', '마지막', '에', '감동']",2.0236739229615073,0.99
10,z9AzQQNHTFo,"<a href=""https://www.youtube.com/watch?v=z9AzQQNHTFo&amp;t=6m00s"">6:00</a> 왼쪽 아래 인형 가오갤 1에서<br>스타르드가 파워스톤 욘두한테 넘길때<br>파워스톤이랑 바꿔치기한 인형 아닌가요?","['600', '왼쪽', '아래', '인형', '가오', '갤', '1', '에서', '스', '타르드', '가', '파워', '스톤', '욘두', '한테', '넘길', '때', '파워', '스톤', '이랑', '바꿔치', '기한', '인형', '아닌가요']",-0.7855805375136256,-0.33
11,z9AzQQNHTFo,맞음 ㅋㅋㅋㅋ 크리스프랫이 성우라서 넣어둔 듯,"['맞음', '크리', '스프', '랫', '이', '성우', '라서', '넣어', '둔', '듯']",0.0,0.0
12,z9AzQQNHTFo,망할 징조가 얼마나 많길레 디즈니 픽사가 광고비를 지불할 정도인가요? ㄷㄷ<br>토이스토리4보다 못하다는 얘기가 있으니 보러 가실 분은 참고하세요.<br>저도 기다리고 있었는데 상영 몇 달 전부터 평점 올리기 수작질 하길레 평점 알바들 다 빠질 때까지 기다리고 있습니다.<br>디즈니에서 우정을 강요하라고 지침을 내렸는지 평점 알바들이 공통적으로 하는 소리가 다 비슷해요.,"['망할', '징조', '가', '얼마나', '많길레', '디즈니', '픽사', '가', '광고', '비', '를', '지불', '할', '정도', '인가요', '토이스토리', '4', '보다', '못', '하다는', '얘기', '가', '있으니', '보러', '가실', '분', '은', '참고', '하세요', '저', '도', '기다리고', '있었는데', '상영', '몇', '달', '전', '부터', '평점', '올', '리기', '수작', '질', '하길레', '평점', '알바', '들', '다', '빠질', '때', '까지', '기다리고', '있습니다', '디즈니', '에서', '우정', '을', '강요', '하', '라고', '지침', '을', '내렸는지', '평점', '알바', '들', '이', '공통', '적', '으로', '하는', '소리', '가', '다', '비슷해요']",-13.421495203542396,-4.67
13,z9AzQQNHTFo,"<a href=""https://www.youtube.com/watch?v=z9AzQQNHTFo&amp;t=7m21s"">7:21</a> 누가 껌 노래 틀랬엌ㅋㅋㅋㅋㅋㅋㅋㅋ<br>와 나 저 요정이 트리플덴트 껌 들고있는거 처음알았음ㅋㅋ 쟤네들도 노래에 중독돼서 사버렸나봐요","['721', '누가', '껌', '노래', '틀랬엌', '와', '나', '저', '요정', '이', '트리플', '덴트', '껌', '들고있는거', '처음', '알았음', '쟤', '네', '들도', '노래', '에', '중독', '돼서', '사', '버렸나', '봐요']",-5.106920175594879,-2.11
14,z9AzQQNHTFo,하반신만 있으면되~ 하반신만 있으면되~,"['하반신', '만', '있으면되', '하반신', '만', '있으면되']",0.0,0.0
15,z9AzQQNHTFo,상체만 있었다면 아이는 없었을것...,"['상체', '만', '있었다면', '아이', '는', '없었을것']",-0.6172515038263777,-0.35
16,z9AzQQNHTFo,이 영상=숙제,"['이', '영상', '숙제']",0.0,0.0
17,z9AzQQNHTFo,노래가 좀 많이 나왔으면...좋았을듯  뮤지컬영화처럼,"['노래', '가', '좀', '많이', '나왔으면', '좋았을듯', '뮤지컬영화', '처럼']",-1.8517545114791318,-0.97
18,z9AzQQNHTFo,이거 보고 발리 조끼 뱃지 진짜 열심히 보게 됨ㅋㅋㅋㅋ,"['이', '거', '보고', '발리', '조끼', '뱃지', '진짜', '열심히', '보게', '됨']",2.1945980776907517,1.1
19,z9AzQQNHTFo,어린애들: 와! 판타지 영화!<br>어른들:(눈물 주륵),"['어린', '애', '들', '와', '판타지', '영화', '어른', '들', '눈물', '주륵']",-2.043757468127883,-1.02
20,z9AzQQNHTFo,ㅋㅋㅋㅋㅋㅋㅋ,[],0.0,-0.0
21,z9AzQQNHTFo,그래도 픽사 최악의 흑역사였던 카 2보다는 나은 듯.,"['그래도', '픽사', '최악', '의', '흑역사', '였던', '카', '2', '보다는', '나은', '듯']",-5.269481778990568,-2.58
22,z9AzQQNHTFo,"<a href=""https://www.youtube.com/watch?v=z9AzQQNHTFo&amp;t=0m43s"">0:43</a> 여기서 부터 디즈니 냄새가 나네...","['043', '여기', '서', '부터', '디즈니', '냄새', '가', '나네']",-1.7448343358842486,-0.92
