,id,sentence,comment_cut,score,ratio
0,-rOQmLrl90A,침입자 봤던 나로써의 평은 <br><br>통신사 맴버쉽으로 공짜로본 영화라 다행이다,"['침입', '자', '봤던', '나로', '써의', '평', '은', '통신사', '맴버쉽', '으로', '공짜', '로', '본', '영화', '라', '다행', '이다']",0.9027853502390306,0.4
1,-rOQmLrl90A,자기말을 무조건 듣게 만드는 약ㅋㅋㅋㅋ<br>스릴러 영화가 아니라 ㅎㅌㅁ 동인지네ㅋㅋㅋ,"['자기말을', '무조건', '듣게', '만드는', '약', '스릴러', '영화', '가', '아니라', '동인지', '네']",0.8424519788070779,0.41
2,-rOQmLrl90A,중반까지는 진짜 재밌었음. 근데 후반부 엔딩이 허무했을 뿐이지,"['중반', '까지는', '진짜', '재밌었음', '근데', '후반', '부', '엔딩', '이', '허무했을', '뿐', '이지']",-0.9733518193098263,-0.47
3,-rOQmLrl90A,반전이 아니 결말이 진심 개망인 영화였다. 어이가 없어서...,"['반전', '이', '아니', '결말', '이', '진심', '개', '망인', '영화', '였다', '어이', '가', '없어서']",-1.8132271762034586,-0.86
4,-rOQmLrl90A,영화 봤는데....더럽게 재미없음.........,"['영화', '봤는데', '더럽게', '재미없음']",-1.0473715586926253,-0.65
5,-rOQmLrl90A,정말 재미있는 영화는 만들기가 참 어렵나 봐요. 한국 관객이 눈이 높은 건지 영화 만드는 사람들이 못 만드는 건지 잘 모르겠음,"['정말', '재미있는', '영화', '는', '만들기', '가', '참', '어렵나', '봐요', '한국', '관객', '이', '눈', '이', '높은', '건지', '영화', '만드는', '사람', '들', '이', '못', '만드는', '건지', '잘', '모르겠음']",6.342154659529005,2.63
6,-rOQmLrl90A,감독이 약을 자주 먹었었나?<br>근데 왜 저런 스토리에 투자를 해준거야?,"['감독', '이', '약', '을', '자주', '먹었었나', '근데', '왜', '저런', '스토리', '에', '투자', '를', '해준거야']",0.021787037815235777,0.01
7,-rOQmLrl90A,무열아 대본을 끝까지 읽고 출연결정하자,"['무열', '아', '대본', '을', '끝', '까지', '읽고', '출연', '결정', '하자']",1.2686015277934188,0.63
8,-rOQmLrl90A,기생충+겟아웃+한드+종교  ..?<br>편한도구가 들어가면 작품의질이 떨어진다 라는 말이<br>와닿네요,"['기생충', '겟아웃한드', '종교', '편한', '도구', '가', '들어가면', '작품', '의', '질', '이', '떨어진다', '라는', '말', '이', '와', '닿네요']",2.0280225699939765,0.91
9,-rOQmLrl90A,영화 설명해주는건 좋은데 볼려고 했던 영화 스포를 당하네..,"['영화', '설명', '해주는건', '좋은데', '볼려고', '했던', '영화', '스포', '를', '당하네']",-2.2562708960778184,-1.13
10,-rOQmLrl90A,이분 혹시 영화 비판만 전문적으로하는 유튜버신지...<br>보는것마다 비판평만있는거같아서요,"['이분', '혹시', '영화', '비판', '만', '전문', '적', '으로', '하는', '유', '튜버', '신지', '보는것마다', '비판', '평', '만', '있는거', '같아서요']",-1.7670978790029932,-0.78
11,-rOQmLrl90A,후반부 좀 아쉽긴 했는데 괜찮았네요,"['후반', '부', '좀', '아쉽긴', '했는데', '괜찮았네요']",-0.05787158355316821,-0.03
12,-rOQmLrl90A,"앞부분부터 영화 리뷰까지 공들여서 영상 하나하나 만드시는 느낌이 확 나네요 구독하고 갑니다,,ㅎㅎ","['앞', '부분', '부터', '영화', '리뷰', '까지', '공', '들', '여서', '영상', '하나', '하나', '만드시는', '느낌', '이', '확', '나네요', '구독', '하고', '갑니다']",1.4285428035005605,0.62
13,-rOQmLrl90A,클리셰 뜻이 뭔가요??,"['클리셰', '뜻', '이', '뭔가', '요']",0.2920159660423367,0.17
14,-rOQmLrl90A,스토리 엉망. 전개성 엉망. 진짜일까 가짜일까를 찾는 과정이 엄청 지루했어요... 진짜 시간낭비..,"['스토리', '엉망', '전개', '성', '엉망', '진짜', '일까', '가짜', '일까', '를', '찾는', '과정', '이', '엄청', '지루했어요', '진짜', '시간', '낭비']",-5.4637057125656545,-2.42
15,-rOQmLrl90A,진짜 좋은배우들 가져다가 이거밖에 못찍는게..영화보는내내 정말 구리다 라고 생각했습니다ㅋㅋ 저는 정신과의사의 최면화법부터 어이가 없었는데. 그 어떤 최면술사가 그런화법으로 최면을 거는지 이해가 안갈정도,"['진짜', '좋은', '배우', '들', '가져다가', '이', '거', '밖에', '못', '찍는게', '영화', '보는내내', '정말', '구리', '다', '라고', '생각', '했습니다', '저', '는', '정신', '과의', '사의', '최면', '화법', '부터', '어이', '가', '없었는데', '그', '어떤', '최면술', '사가', '그런', '화법', '으로', '최면', '을', '거', '는', '지', '이해', '가', '안', '갈', '정도']",7.189450642046708,2.7
16,-rOQmLrl90A,송지효연기잘하든데 크로젯보다는훨나았음,"['송지효', '연기', '잘', '하든데', '크로', '젯', '보다는', '훨', '나', '았음']",2.4188179649781096,1.21
17,-rOQmLrl90A,초반부터 몰입감 거의 없었다.<br>유전자검사 한다니까 토달았는데 몇분후에 간호사로 나온다. 의심할만함.<br>딸과 무용학원에 같이 간다는데 아빠가 좋아 고모가 좋아?라고 딸에게 어처구니 없는 질문을 함. 의심 또는 거부감이 들만 함.<br>그 이후 조금 더 보다가 말았다.,"['초반', '부터', '몰입', '감', '거의', '없었다', '유전자', '검사', '한다니까', '토', '달았는데', '몇', '분후', '에', '간호사', '로', '나온다', '의심', '할만', '함딸', '과', '무용', '학원', '에', '같이', '간다는데', '아빠', '가', '좋아', '고모', '가', '좋아라고', '딸', '에게', '어처구니', '없는', '질문', '을', '함', '의심', '또는', '거부', '감', '이', '들만', '함그', '이후', '조금', '더', '보다가', '말았다']",3.0791118158695925,1.14
18,-rOQmLrl90A,토요일새벽에 tv에서 재방했던 비디오여행에서 광고해준걸보고 뒷내용이 너무 궁금해서 바로 다음날 보러갔었죠... 결과는...<br>다시는 출발 비디오여행을 믿지않으리...,"['토요일', '새벽', '에', 'tv', '에서', '재방', '했던', '비디오', '여행', '에서', '광고', '해', '준걸', '보고', '뒷', '내용', '이', '너무', '궁금해서', '바로', '다음', '날', '보러', '갔었죠', '결과', '는', '다시는', '출발', '비디오', '여행', '을', '믿지', '않으리']",-2.2332310117289964,-0.89
19,-rOQmLrl90A,정신과에서 최면 치료? 에이~ 너무 갔다~결국 영화도 갔다~,"['정신과', '에서', '최면', '치료', '에이', '너무', '갔다', '결국', '영화', '도', '갔다']",0.23485489466634085,0.12
20,-rOQmLrl90A,I liked it.,"['I', 'liked', 'it']",0.0,0.0
21,-rOQmLrl90A,I wish they showed the dna result at the end.,"['I', 'wish', 'they', 'showed', 'the', 'dna', 'result', 'at', 'the', 'end']",0.0,0.0
