,id,sentence,comment_cut,score,ratio
0,PfSkdz7Ara0,라이너님은 미스터리 빨아주셔서 객관성을 잃으셨음 ..적어도 제게는,"['라이너', '님', '은', '미스터리', '빨아주셔서', '객관성', '을', '잃으셨음', '적어도', '제', '게', '는']",-0.2111617064363581,-0.1
1,PfSkdz7Ara0,진짜 미스터리는 코미디가 아니고 가족드라마 영화였다 마니 웃긴장면은 조금조금 나왔지만 너무슬펐다,"['진짜', '미스터리', '는', '코미디', '가', '아니고', '가족', '드라마', '영화', '였다', '마니', '웃긴', '장면', '은', '조금조금', '나왔지만', '너무', '슬펐다']",-4.160461131245266,-1.84
2,PfSkdz7Ara0,"세편 영화 중 다른영화들은 관람객평이 대충 비슷하게 나오는 것 같은데,<br>미스터리는 왜이렇게 유독 평이 극과극일까요?<br>일단 전 재밌게 본 작품이었고 전반적으로 라이너님의 의견과 비슷한데,<br>정말로 유독 희한하게 극악의 평을 하시는 분들이 많더라구요<br>각자 취향 다른거야 당연한데, 너무 극과극이라 신기..","['세', '편', '영화', '중', '다른', '영화', '들', '은', '관람객', '평이', '대충', '비슷하게', '나오는', '것', '같은데', '미스터리', '는', '왜', '이렇게', '유독', '평이', '극', '과극', '일까', '요일', '단', '전', '재밌게', '본', '작품', '이었고', '전반', '적', '으로', '라이너', '님', '의', '의견', '과', '비슷한데', '정말로', '유독', '희한하게', '극악', '의', '평', '을', '하시는', '분', '들', '이', '많더라구요', '각자', '취향', '다른거야', '당연한데', '너무', '극', '과극', '이라', '신기']",-2.87376654255089,-1.03
3,PfSkdz7Ara0,갠적으로 이사람평좋아해서 믿고 미스터리 봤다<br>갠적으로 내가본 쓰레기 탑10안에든다<br>다신 이시람 방송 안본다,"['갠', '적', '으로', '이', '사람', '평', '좋아해서', '믿고', '미스터리', '봤다', '갠', '적', '으로', '내', '가본', '쓰레기', '탑', '10', '안', '에든', '다다', '신', '이', '시', '람', '방송', '안', '본다']",0.9951418726638431,0.41
4,PfSkdz7Ara0,킹신 느끼는건 뭐 사람마다 다르지만 쓰레기까진 아닌거 같아요.,"['킹신', '느끼는건', '뭐', '사람', '마다', '다르지만', '쓰레기', '까진', '아닌거', '같아요']",-1.7777145273598263,-0.89
5,PfSkdz7Ara0,cj 하고 커넥션있나요..;; 나쁜녀석들보고 볼만한 영화라니..; 오랜만에 보다 나왔는데; 연기며 개연성이며 토나오는 수준인데..,"['cj', '하고', '커넥션있나', '요', '나쁜', '녀석', '들', '보고', '볼', '만', '한', '영화', '라니', '오랜', '만', '에', '보다', '나왔는데', '연기', '며', '개연', '성', '이며', '토나오는', '수준', '인데']",-6.889070500891579,-2.85
6,PfSkdz7Ara0,결국 미스터리가 제일 재밌더라 진심,"['결국', '미스터리', '가', '제일', '재밌더라', '진심']",-1.55062648839521,-0.87
7,PfSkdz7Ara0,"이번 추석영화는 안보려다가 라이너님 영상보고 “힘을내요, 미스터리”를 봤어요. 코메디로 꼭 만들고 포장을 했어야 했는지 아쉬워요. 코메디 연기가 너무 어색해서 ㅜ..ㅜ 오버하지 않는 드라마로 만들었으면 좋았을거 같아요~~ 너무 아쉬운 영화 였어요 ㅜ..ㅜ","['이번', '추석', '영화', '는', '안', '보려다가', '라이너', '님', '영상', '보고', '힘', '을', '내', '요', '미스터리', '를', '봤어요', '코메디', '로', '꼭', '만들고', '포장', '을', '했어야', '했는지', '아쉬워요', '코', '메디', '연기', '가', '너무', '어색해서', '오버', '하지', '않는', '드라마', '로', '만들었으면', '좋았을거', '같아요', '너무', '아쉬운', '영화', '였어요']",-2.773608855828975,-1.05
8,PfSkdz7Ara0,타짜는 재미없을 것 같고 나쁜녀석들은 엄마가 안본대서 힘내요 미스터리 골라서 봤어요 가벼운 개그 영화라 생각했는데 사람들이 울었단 후기가 있어서 뭘까 궁금했는데 초반에 지루해서 재미없다 싶었는데 중반부에 뒷통수 제대로 맞고 눈물이 났네요,"['타짜', '는', '재미없을', '것', '같고', '나쁜', '녀석', '들', '은', '엄마', '가', '안', '본대', '서', '힘내요', '미스터리', '골', '라서', '봤어요', '가벼운', '개그', '영화', '라', '생각', '했는데', '사람', '들', '이', '울었단', '후기', '가', '있어서', '뭘', '까', '궁금했는데', '초반', '에', '지루해서', '재미없다', '싶었는데', '중반', '부', '에', '뒷', '통수', '제대로', '맞고', '눈물', '이', '났네요']",-10.28896626346922,-3.81
9,PfSkdz7Ara0,미스터리는 진짜 별한개도 아까움 스토리는  조각조각 떠다녀서 조합이 전혀안되고 억지웃음 감동구걸 깡패미화 어이가없어 헛웃음이납니다 박해준이란 사람 투덜 연기는 정말 어색해서 못봐주겠네요 요즘 초딩들도 안볼꺼같은 1차원 적인 캐릭터들이 마구잡이 쏟아나와 사람을지치게 만듬,"['미스터리', '는', '진짜', '별', '한개', '도', '아까', '움', '스토리', '는', '조각', '조각', '떠다녀서', '조합', '이', '전혀', '안되고', '억지', '웃음', '감동', '구걸', '깡패', '미화', '어이', '가', '없어', '헛', '웃음', '이', '납니다', '박해준이란', '사람', '투덜', '연기', '는', '정말', '어색해서', '못', '봐주겠네요', '요즘', '초딩', '들', '도', '안', '볼꺼', '같은', '1', '차원', '적', '인', '캐릭터', '들', '이', '마구잡이', '쏟아나와', '사람', '을', '지치게', '만듬']",-8.956981723508411,-3.23
10,PfSkdz7Ara0,개인적으로 연출적인부분이나 눈이 정화되는 기분은 나쁜녀석들 보다 타짜가 훨신 나았다는점.. 나쁜녀석들 흥행하고 반응이 좋은게 이해가 안가네요 물론 개인적인 이유지만..,"['개인', '적', '으로', '연출', '적', '인', '부분', '이나', '눈', '이', '정화', '되는', '기분', '은', '나쁜', '녀석', '들', '보다', '타짜', '가', '훨신', '나았다는', '점', '나쁜', '녀석', '들', '흥행', '하고', '반응', '이', '좋', '은', '게', '이해', '가', '안가네요', '물론', '개인', '적', '인', '이유', '지만']",-6.029798671629768,-2.3
11,PfSkdz7Ara0,근데 영화가한참 상영중일때는 이런 리뷰는 안하는 게 좋지 않을까요? 제가 너무 무른가요? 그래도 보고 평가 하는 게 좋지 않을까... 싶네용. 전 이 채널 즐겨보지만 이 영상은 아직 안 봤습니다만 ..,"['근데', '영화', '가', '한참', '상영', '중', '일', '때', '는', '이런', '리뷰', '는', '안', '하는', '게', '좋지', '않을까요', '제', '가', '너무', '무른가', '요', '그래도', '보고', '평가', '하는', '게', '좋지', '않을까', '싶네용', '전', '이', '채널', '즐겨', '보지', '만', '이', '영상', '은', '아직', '안', '봤습니다만']",3.172818087721369,1.21
12,PfSkdz7Ara0,"다 고만고만해서 좀 결정장애가 있었지만, 결정했음 이것만은 안볼랬는데.미스터리 보러가야 겠네.","['다', '고만고만해서', '좀', '결정', '장애', '가', '있었지만', '결정', '했음', '이', '것', '만은', '안', '볼', '랬', '는데', '미스터리', '보러가야', '겠네']",-4.581271317714877,-2.01
13,PfSkdz7Ara0,항상 잘보고있어요,"['항상', '잘', '보고있어요']",2.3823600947216246,1.61
14,PfSkdz7Ara0,여름 작품들 중 예고편만 봤을땐 엑시트가 제일 구릴줄 알았는데 제일 좋았고...<br><br>추석 삼파전에선 힘을내요 미스터리가<br>제일 구릴것 같았는데 셋중에 그나마 제일 낫다니... 놀랍네욬ㅋㅋㅋ,"['여름', '작품', '들', '중', '예고편', '만', '봤을', '땐', '엑', '시트', '가', '제일', '구릴줄', '알았는데', '제일', '좋았고', '추석', '삼파전', '에선', '힘', '을', '내', '요', '미스터리', '가', '제일', '구릴것', '같았는데', '셋', '중', '에', '그나마', '제일', '낫다', '니', '놀랍', '네', '욬']",-1.7427364627639632,-0.68
15,PfSkdz7Ara0,미스터리를 보고 생각해 볼 거리라고는 이런 사건을 최루성 멜로를 위해 소비하는게 옳바른 방식일까? 정도?]<br>딱 20년전 감성.,"['미스터리', '를', '보고', '생각', '해', '볼', '거리', '라고는', '이런', '사건', '을', '최루성', '멜로', '를', '위해', '소비', '하는게', '옳', '바른', '방식', '일까', '정', '도딱', '20년', '전', '감성']",-4.956030916561744,-2.05
16,PfSkdz7Ara0,역시 라이너님. 정확하고 확실한 평가!!,"['역시', '라이너', '님', '정확하고', '확실한', '평가']",4.341551131573751,2.44
17,PfSkdz7Ara0,타짜는 보다가 하품나오고 졸렸어요.<br>잔인하기도하고..헷갈리고,"['타짜', '는', '보다가', '하품', '나오고', '졸렸어요', '잔인하', '기도', '하고', '헷갈리고']",-3.043698279718219,-1.52
18,PfSkdz7Ara0,진짜 도일출 짝귀 아들인거 빼면 전혀 특별할게 없음. 원작의 경우 진짜 실력 제일 좋은 타짜였는데 영화는 그냥 민폐 그자체,"['진짜', '도', '일출', '짝귀', '아들', '인거', '빼면', '전혀', '특별할게', '없음', '원작', '의', '경우', '진짜', '실력', '제일', '좋은', '타짜', '였는데', '영화', '는', '그냥', '민폐', '그', '자체']",3.9869662831000903,1.66
