영상 id,영화 제목,검색 키워드,영상 제목,조회수,좋아요수,댓글 수,생성된 날짜
RtPb4NMkT-s,오징어 게임,오징어 게임 넷플릭스,Squid Game (acapella),141826256,3111004,62984,2021-10-01T12:00:13Z
iRBQGFN-PEY,오징어 게임,오징어 게임 넷플릭스,오징어 게임 3분 요약 [Squid Game 3 minutes summary],81297852,1518213,54102,2021-09-26T07:31:20Z
TYd_pT9hZrM,오징어 게임,오징어 게임 넷플릭스,Squid Game stars take on the Dalgona Challenge [ENG SUB],28530339,942859,20316,2021-10-09T09:00:10Z
SXr8Rb97nIk,오징어 게임,오징어 게임 넷플릭스,Squid Game Season 2 Teaser Trailer | Life is a Bet | Netflix Series | TeaserPRO&#39;s Concept Version,27981563,483174,13088,2021-10-15T18:22:00Z
9OZczRT14DA,오징어 게임,오징어 게임 넷플릭스,SQUID GAME Ending: Every Clue About Il-Nam | Things You Missed And Hidden Details | 오징어게임,19987714,401253,24801,2021-09-25T16:01:30Z
U872VWMv4C0,오징어 게임,오징어 게임 넷플릭스,"Making Of SQUID GAME Part 2 - Best Of Behind The Scenes, On Set Bloopers &amp; Outtakes | Netflix",18808352,215933,3632,2021-10-08T08:46:18Z
Ao9LWJqtiIg,오징어 게임,오징어 게임 넷플릭스,우산 달고나 불티나게 팔리는 오징어 게임 칠백개 납품 업체 대학로 혜화역 달고나 달인 / Squid Game Umbrella Shaped Dalgona Honeycomb Candy,18126775,116439,4952,2021-10-01T13:36:56Z
o4EF1NG_xks,오징어 게임,오징어 게임 넷플릭스,Cast of Squid Game ditches tracksuits for suits to play charades [ENG SUB],18019761,759540,9778,2021-09-25T01:00:08Z
PSGKK1YXg5g,오징어 게임,오징어 게임 넷플릭스,오징어게임 그 피규어 만들기,14676145,172181,7244,2021-10-08T08:10:41Z
qo9Ri1qPInM,오징어 게임,오징어 게임 넷플릭스,"The Squid Game Cast Reveals All Including Origin of The Red Light, Green Light Doll | Tonight Show",11301138,469865,14572,2021-10-07T03:38:52Z
