,movie_name,comments_num
0,1987,4474
1,23 아이덴티티,279
2,PMC: 더 벙커,1535
3,가디언즈 오브 갤럭시 VOL. 2,244
4,강철비,392
5,겟 아웃,3782
6,곤지암,8944
7,골든슬럼버,214
8,공작,2387
9,공조,189
10,국가부도의 날,1211
11,군함도,5137
12,궁합,303
13,그것만이 내 세상,576
14,기억의 밤,233
15,꾼,551
16,남한산성,384
17,너의 결혼식,666
18,너의 이름은.,7335
19,노무현입니다,407
20,더 킹,267
21,덩케르크,1455
22,데드풀 2,4583
23,도어락,535
24,독전,2950
25,램페이지,446
26,레디 플레이어 원,4526
27,로건,8025
28,리틀 포레스트,840
29,마녀,2776
30,마스터,1322
31,마약왕,819
32,맘마미아!2,988
33,메이즈 러너: 데스 큐어,1211
34,명당,652
35,모아나,880
36,목격자,1337
37,미녀와 야수,8356
38,미션 임파서블: 폴아웃,2547
39,미이라,2352
40,바람 바람 바람,309
41,박열,91
42,범블비,4954
43,범죄도시,1121
44,베놈,9484
45,보스 베이비,86
46,보안관,30
47,보헤미안 랩소디,8268
48,부라더,140
49,분노의 질주: 더 익스트림,527
50,브이아이피,513
51,블랙 팬서,10504
52,사라진 밤,271
53,살인자의 기억법,393
54,서치,2561
55,성난황소,1315
56,슈퍼배드 3,375
57,스윙키즈,1352
58,스파이더맨: 홈 커밍,4721
59,신과함께-인과 연,10235
60,신과함께-죄와 벌,9782
61,신비한 동물들과 그린델왈드의 범죄,2246
62,아이 캔 스피크,298
63,안시성,4372
64,암수살인,808
65,애나벨 : 인형의 주인,778
66,앤트맨과 와스프,4549
67,어벤져스: 인피니티 워,20728
68,에이리언: 커버넌트,2871
69,엑시트,2218
70,오션스8,3837
71,완벽한 타인,1544
72,원더 우먼,2945
73,인크레더블 2,860
74,임금님의 사건수첩,2573
75,재심,94
76,저스티스 리그,3410
77,조선명탐정: 흡혈괴마의 비밀,355
78,조작된 도시,100
79,쥬라기 월드: 폴른 킹덤,2022
80,쥬만지: 새로운 세계,412
81,지금 만나러 갑니다,3685
82,창궐,4048
83,청년경찰,3193
84,캐리비안의 해적: 죽은 자는 말이 없다,537
85,코코,3587
86,콩: 스컬 아일랜드,1565
87,킬러의 보디가드,3234
88,킹스맨: 골든 서클,1677
89,탐정: 리턴즈,136
90,택시운전사,3188
91,토르: 라그나로크,20189
92,트랜스포머: 최후의 기사,2889
93,특별시민,2573
94,해피 데스데이,3404
95,협상,4036
96,혹성탈출: 종의 전쟁,423
97,#살아있다,4845
98,1917,1321
99,82년생 김지영,12706
100,가장 보통의 연애,283
101,강철비2: 정상회담,6156
102,걸캅스,6916
103,검객,531
104,겨울왕국 2,20661
105,결백,459
106,국제수사,758
107,그린랜드,345
108,극한직업,9518
109,기생충,10215
110,나쁜 녀석들: 더 무비,1397
111,나쁜 녀석들: 포에버,412
112,나의 특별한 형제,116
113,남산의 부장들,2895
114,내가 죽던 날,298
115,내안의 그놈,969
116,다만 악에서 구하소서,5709
117,닥터 두리틀,930
118,담보,897
119,도굴,4159
120,돈,602
121,드래곤 길들이기 3,1251
122,라이온 킹,8290
123,롱 리브 더 킹: 목포 영웅,1046
124,마이펫의 이중생활 2,207
125,말레피센트 2,2897
126,말모이,721
127,뮬란,9686
128,미드웨이,1879
129,미스터 주: 사라진 VIP,658
130,반도,17674
131,밤쉘: 세상을 바꾼 폭탄선언,142
132,백두산,13381
133,버즈 오브 프레이(할리 퀸의 황홀한 해방),2292
134,변신,1204
135,봉오동 전투,10006
136,분노의 질주: 홉스&쇼,2299
137,블랙머니,1759
138,뺑반,579
139,사라진 시간,780
140,사바하,3087
141,사자,1899
142,삼진그룹 영어토익반,3404
143,생일,808
144,소리도 없이,682
145,스타워즈: 라이즈 오브 스카이워커,4501
146,스파이 지니어스,63
147,스파이더맨: 파 프롬 홈,7007
148,시동,852
149,신비아파트 극장판 하늘도깨비 대 요르문간드,639
150,신의 한 수: 귀수편,4056
151,아쿠아맨,11746
152,악인전,1494
153,알라딘,6934
154,알리타: 배틀 엔젤,8272
155,어벤져스: 엔드게임,26299
156,어스,1068
157,오! 문희,397
158,오케이 마담,1634
159,온워드: 단 하루의 기적,200
160,원더 우먼 1984,4195
161,위대한 쇼맨,10374
162,유열의 음악앨범,713
163,이웃사촌,479
164,인비저블맨,1249
165,작은 아씨들,1043
166,장사리 : 잊혀진 영웅들,1453
167,정직한 후보,503
168,조제,1132
169,조커,10806
170,존 윅 3: 파라벨룸,2188
171,주먹왕 랄프 2: 인터넷 속으로,2479
172,쥬만지: 넥스트 레벨,272
173,증인,777
174,지푸라기라도 잡고 싶은 짐승들,1209
175,천문: 하늘에 묻는다,2343
176,침입자,866
177,캡틴 마블,10251
178,클로젯,995
179,타짜: 원 아이드 잭,5392
180,터미네이터: 다크 페이트,6796
181,테넷,6537
182,토이 스토리 4,5412
183,퍼펙트맨,360
184,포드 V 페라리,845
185,프리즌 이스케이프,207
186,항거:유관순 이야기,1216
187,해치지않아,631
188,히트맨,929
189,"힘을 내요, 미스터 리",609
